patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,316,286,0
0,2,0,-2,315,286,0
0,3,0,-2,313,285,0
1,3,0,-2,602,333,0
0,4,0,-2,320,286,0
2,4,0,-2,604,333,0
0,5,0,-2,320,285,0
2,5,0,-2,607,333,0
0,6,0,-2,322,285,0
3,6,0,-2,605,332,0
0,7,0,-2,319,285,0
3,7,0,-2,601,332,0
0,8,0,-2,323,285,0
4,8,0,-2,605,331,0
0,9,0,-2,323,284,0
4,9,0,-2,604,331,0
0,10,0,-2,315,284,0
5,10,0,-2,602,331,0
0,11,0,-2,320,284,0
5,11,0,-2,603,331,0
0,12,0,-2,318,284,0
6,12,0,-2,602,330,0
0,13,0,-2,308,296,3
6,13,0,-2,597,334,3
0,14,0,-2,309,296,3
7,14,0,-2,601,335,3
0,15,0,-2,311,298,4
7,15,0,-2,598,337,4
0,16,0,-2,312,298,4
8,16,0,-2,596,336,4
0,17,0,-2,311,298,4
8,17,0,-2,598,336,4
0,18,0,-2,311,298,4
9,18,0,-2,598,336,4
0,19,0,-2,311,298,4
9,19,0,-2,596,335,4
0,20,0,-2,308,298,5
10,20,0,-2,596,337,4
0,21,0,-2,311,298,5
10,21,0,-2,599,335,4
0,22,0,-2,314,309,9
11,22,0,-2,601,339,8
0,23,0,-2,314,314,9
11,23,0,-2,600,339,9
0,24,0,-2,311,313,9
12,24,0,-2,598,340,9
0,25,0,-2,314,311,10
12,25,0,-2,599,338,9
0,26,0,-2,314,311,10
13,26,0,-2,589,335,6
0,27,0,-2,314,311,10
13,27,0,-2,589,335,6
0,28,0,-2,314,310,10
14,28,0,-2,587,335,6
0,29,0,-2,312,311,10
14,29,0,-2,588,335,6
0,30,0,-2,313,311,10
15,30,0,-2,592,334,5
0,31,0,-2,314,311,10
15,31,0,-2,590,335,5
0,32,0,-2,313,312,10
16,32,0,-2,589,335,5
0,33,0,-2,311,324,12
16,33,0,-2,588,336,7
0,34,0,-2,309,324,12
17,34,0,-2,589,336,7
0,35,0,-2,311,325,12
17,35,0,-2,587,339,7
0,36,0,-2,310,326,12
18,36,0,-2,591,338,7
0,37,0,-2,313,327,12
18,37,0,-2,590,339,7
0,38,0,-2,315,331,16
19,38,0,-2,590,342,11
0,39,0,-2,313,336,16
19,39,0,-2,590,341,11
0,40,0,-2,312,332,17
20,40,0,-2,587,343,12
0,41,0,-2,311,331,16
20,41,0,-2,590,344,13
0,42,0,-2,313,337,16
21,42,0,-2,588,350,13
0,43,0,-2,307,338,16
21,43,0,-2,585,349,13
0,44,0,-2,309,337,16
22,44,0,-2,593,346,9
0,45,0,-2,308,334,16
22,45,0,-2,595,346,9
0,46,0,-2,309,334,16
23,46,0,-2,595,344,8
0,47,0,-2,308,330,16
23,47,0,-2,587,345,8
0,48,0,-2,315,330,16
24,48,0,-2,588,345,8
0,49,0,-2,308,330,16
24,49,0,-2,592,338,8
0,50,0,-2,305,330,16
25,50,0,-2,589,338,8
0,51,0,-2,329,365,16
25,51,0,-2,586,348,8
0,52,0,-2,306,331,16
26,52,0,-2,590,344,8
0,53,0,-2,311,333,16
26,53,0,-2,596,347,8
0,54,0,-2,309,332,16
27,54,0,-2,598,350,8
0,55,0,-2,308,332,16
27,55,0,-2,586,338,8
0,56,0,-2,331,365,16
28,56,0,-2,586,343,8
0,57,0,-2,308,330,16
28,57,0,-2,595,337,8
0,58,0,-2,331,365,16
29,58,0,-2,586,337,8
0,59,0,-2,305,331,16
29,59,0,-2,588,336,8
0,60,0,-2,327,365,16
30,60,0,-2,593,337,8
0,61,0,-2,309,331,16
30,61,0,-2,589,339,8
0,62,0,-2,331,366,16
31,62,0,-2,587,335,8
0,63,0,-2,309,331,16
31,63,0,-2,596,336,8
0,64,0,-2,330,365,16
32,64,0,-2,585,335,8
0,65,0,-2,310,330,16
32,65,0,-2,598,335,8
0,66,0,-2,308,331,16
33,66,0,-2,594,331,6
0,67,0,-2,309,330,16
33,67,0,-2,586,331,6
0,68,0,-2,314,330,16
34,68,0,-2,598,331,6
0,69,0,-2,315,331,16
34,69,0,-2,599,337,6
0,70,0,-2,320,333,16
35,70,0,-2,598,334,6
0,71,0,-2,321,333,16
35,71,0,-2,603,331,6
0,72,0,-2,328,332,16
36,72,0,-2,589,330,6
0,73,0,-2,315,330,16
36,73,0,-2,588,330,6
0,74,0,-2,315,334,17
37,74,0,-2,593,331,7
0,75,0,-2,315,332,17
37,75,0,-2,592,331,7
0,76,0,-2,316,332,17
38,76,0,-2,595,326,3
0,77,0,-2,315,333,17
38,77,0,-2,593,326,3
0,78,0,-2,315,334,17
39,78,0,-2,593,327,3
0,79,0,-2,313,335,17
39,79,0,-2,596,327,3
0,80,0,-2,315,333,17
40,80,0,-2,596,324,2
0,81,0,-2,316,333,17
40,81,0,-2,594,325,2
0,82,0,-2,315,334,17
41,82,0,-2,595,324,1
0,83,0,-2,313,333,17
41,83,0,-2,593,323,1
0,84,0,-2,316,333,17
42,84,0,-2,593,323,1
0,85,0,-2,313,334,17
42,85,0,-2,596,322,1
0,86,0,-2,315,333,17
43,86,0,-2,595,322,1
0,87,0,-2,314,333,17
43,87,0,-2,595,326,1
0,88,0,-2,317,334,17
44,88,0,-2,596,322,1
