patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,434,396,0
0,2,0,-2,433,397,0
0,3,0,-2,437,396,0
1,3,0,-2,833,550,0
0,4,0,-2,436,397,0
2,4,0,-2,839,549,0
0,5,0,-2,482,438,0
2,5,0,-2,834,550,0
0,6,0,-2,435,397,0
3,6,0,-2,833,550,0
0,7,0,-2,434,398,0
3,7,0,-2,834,548,0
0,8,0,-2,436,397,0
4,8,0,-2,835,550,0
0,9,0,-2,437,397,0
4,9,0,-2,837,550,0
0,10,0,-2,434,397,0
5,10,0,-2,833,551,0
0,11,0,-2,435,398,0
5,11,0,-2,835,550,0
0,12,0,-2,438,398,0
6,12,0,-2,835,577,0
0,13,0,-2,482,439,0
6,13,0,-2,928,588,0
0,14,0,-2,487,447,0
7,14,0,-2,927,586,0
0,15,0,-2,480,446,0
7,15,0,-2,917,586,0
0,16,0,-2,481,445,0
8,16,0,-2,916,594,0
0,17,0,-2,476,446,0
8,17,0,-2,918,603,0
0,18,0,-2,477,449,0
9,18,0,-2,921,594,0
0,19,0,-2,479,446,0
9,19,0,-2,921,593,0
0,20,0,-2,479,446,0
10,20,0,-2,920,597,0
0,21,0,-2,480,448,0
10,21,0,-2,923,595,0
0,22,0,-2,480,453,0
11,22,0,-2,927,594,0
0,23,0,-2,485,442,0
11,23,0,-2,921,595,0
0,24,0,-2,488,441,0
12,24,0,-2,924,594,0
0,25,0,-2,488,439,0
12,25,0,-2,921,577,0
0,26,0,-2,440,395,0
13,26,0,-2,851,549,0
0,27,0,-2,434,396,0
13,27,0,-2,831,548,0
0,28,0,-2,434,396,0
14,28,0,-2,832,555,0
0,29,0,-2,434,395,0
14,29,0,-2,831,549,0
0,30,0,-2,435,396,0
15,30,0,-2,832,548,0
0,31,0,-2,435,396,0
15,31,0,-2,834,548,0
0,32,0,-2,433,396,0
16,32,0,-2,831,551,0
0,33,0,-2,433,397,0
16,33,0,-2,837,548,0
0,34,0,-2,436,395,0
17,34,0,-2,836,549,0
0,35,0,-2,434,395,0
17,35,0,-2,832,549,0
0,36,0,-2,433,395,0
18,36,0,-2,832,549,0
0,37,0,-2,433,396,0
18,37,0,-2,832,561,0
0,38,0,-2,482,440,0
19,38,0,-2,910,587,0
0,39,0,-2,480,439,0
19,39,0,-2,916,586,0
0,40,0,-2,484,440,0
20,40,0,-2,916,586,0
0,41,0,-2,486,441,0
20,41,0,-2,926,588,0
0,42,0,-2,484,439,0
21,42,0,-2,916,587,0
0,43,0,-2,475,440,0
21,43,0,-2,914,587,0
0,44,0,-2,487,602,27
22,44,0,-2,934,627,27
0,45,0,-2,492,603,27
22,45,0,-2,934,622,27
0,46,0,-2,488,601,27
23,46,0,-2,934,621,27
0,47,0,-2,489,602,27
23,47,0,-2,931,600,27
0,48,0,-2,449,559,27
24,48,0,-2,844,578,27
0,49,0,-2,447,559,27
24,49,0,-2,850,576,27
0,50,0,-2,448,557,27
25,50,0,-2,845,577,27
0,51,0,-2,446,559,27
25,51,0,-2,844,577,27
0,52,0,-2,450,558,27
26,52,0,-2,843,576,27
0,53,0,-2,449,559,27
26,53,0,-2,842,577,27
0,54,0,-2,446,560,27
27,54,0,-2,932,618,27
0,55,0,-2,489,603,27
27,55,0,-2,937,619,27
0,56,0,-2,499,608,27
28,56,0,-2,941,625,27
0,57,0,-2,499,602,27
28,57,0,-2,943,617,27
0,58,0,-2,496,610,27
29,58,0,-2,945,623,27
0,59,0,-2,492,609,27
29,59,0,-2,939,632,27
0,60,0,-2,495,601,27
30,60,0,-2,950,617,27
0,61,0,-2,497,607,27
30,61,0,-2,940,602,27
0,62,0,-2,447,566,27
31,62,0,-2,856,589,27
0,63,0,-2,444,565,27
31,63,0,-2,848,587,27
0,64,0,-2,447,558,27
32,64,0,-2,846,580,27
0,65,0,-2,447,559,27
32,65,0,-2,843,573,27
0,66,0,-2,447,559,27
33,66,0,-2,843,574,27
0,67,0,-2,448,558,27
33,67,0,-2,845,572,27
0,68,0,-2,446,578,27
34,68,0,-2,943,615,27
0,69,0,-2,491,603,27
34,69,0,-2,942,613,27
0,70,0,-2,489,606,27
35,70,0,-2,932,615,27
0,71,0,-2,487,602,27
35,71,0,-2,933,618,27
0,72,0,-2,488,600,27
36,72,0,-2,941,619,27
0,73,0,-2,487,603,27
36,73,0,-2,933,615,27
0,74,0,-2,488,609,27
37,74,0,-2,934,613,27
0,75,0,-2,488,600,27
37,75,0,-2,932,586,27
0,76,0,-2,448,560,27
38,76,0,-2,844,572,27
0,77,0,-2,448,560,27
38,77,0,-2,843,573,27
0,78,0,-2,446,559,27
39,78,0,-2,843,572,27
0,79,0,-2,445,566,27
39,79,0,-2,849,571,27
0,80,0,-2,449,560,27
40,80,0,-2,844,571,27
0,81,0,-2,445,559,27
40,81,0,-2,844,570,27
0,82,0,-2,447,580,27
41,82,0,-2,930,614,27
0,83,0,-2,489,605,27
41,83,0,-2,932,613,27
0,84,0,-2,491,602,27
42,84,0,-2,933,610,27
0,85,0,-2,490,610,27
42,85,0,-2,934,611,27
0,86,0,-2,489,602,27
43,86,0,-2,930,612,27
0,87,0,-2,489,600,27
43,87,0,-2,937,608,27
0,88,0,-2,488,601,27
44,88,0,-2,933,573,0
