patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,14,15,0
1,0,-2,105,68,0
2,0,-2,93,68,0
3,0,-2,93,68,0
4,0,-2,91,68,0
5,0,-2,93,75,0
6,0,-2,93,68,0
7,0,-2,93,68,0
8,0,-2,93,68,0
9,0,-2,93,68,0
10,0,-2,96,68,0
11,0,-2,94,67,0
12,0,-2,91,67,0
13,0,-2,94,67,0
14,0,-2,89,68,0
15,0,-2,94,68,0
16,0,-2,91,67,0
17,0,-2,94,67,0
18,0,-2,98,81,0
19,0,-2,94,81,0
20,0,-2,96,81,0
21,0,-2,94,81,0
22,0,-2,96,81,0
23,0,-2,94,68,0
24,0,-2,92,75,0
25,0,-2,94,68,0
26,0,-2,94,68,0
27,0,-2,91,67,0
28,0,-2,94,68,0
29,0,-2,96,71,0
30,0,-2,94,68,0
31,0,-2,93,68,0
32,0,-2,91,67,0
33,0,-2,93,67,0
34,0,-2,95,68,0
35,0,-2,94,67,0
36,0,-2,94,67,0
37,0,-2,93,68,0
38,0,-2,93,67,0
39,0,-2,100,68,0
40,0,-2,88,68,0
41,0,-2,87,74,0
42,0,-2,84,75,0
43,0,-2,84,75,0
44,0,-2,85,75,0
45,0,-2,84,74,0
46,0,-2,85,75,0
47,0,-2,82,81,0
48,0,-2,84,76,0
49,0,-2,87,69,0
50,0,-2,87,69,0
51,0,-2,86,69,0
52,0,-2,87,69,0
53,0,-2,86,69,0
54,0,-2,87,69,0
55,0,-2,87,69,0
56,0,-2,87,69,0
57,0,-2,86,69,0
58,0,-2,84,69,0
59,0,-2,83,69,0
60,0,-2,86,69,0
61,0,-2,82,69,0
62,0,-2,86,70,0
63,0,-2,82,69,0
64,0,-2,89,69,0
65,0,-2,86,69,0
66,0,-2,86,69,0
67,0,-2,86,69,0
68,0,-2,87,69,0
69,0,-2,93,68,0
70,0,-2,86,75,0
71,0,-2,85,69,0
72,0,-2,87,69,0
73,0,-2,87,69,0
74,0,-2,93,69,0
75,0,-2,87,69,0
76,0,-2,87,69,0
77,0,-2,87,69,0
78,0,-2,87,69,0
79,0,-2,93,69,0
80,0,-2,86,76,0
81,0,-2,84,69,0
82,0,-2,87,70,0
83,0,-2,87,69,0
84,0,-2,94,69,0
85,0,-2,87,69,0
86,0,-2,86,76,0
87,0,-2,85,69,0
88,0,-2,87,69,0
