patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,11,15,0
1,0,-2,125,75,0
2,0,-2,100,75,0
3,0,-2,98,74,0
4,0,-2,98,74,0
5,0,-2,101,74,0
6,0,-2,100,74,0
7,0,-2,96,74,0
8,0,-2,97,82,0
9,0,-2,95,75,0
10,0,-2,98,75,0
11,0,-2,97,75,0
12,0,-2,98,83,0
13,0,-2,96,83,0
14,0,-2,96,74,0
15,0,-2,97,74,0
16,0,-2,97,76,1
17,0,-2,97,83,1
18,0,-2,95,83,1
19,0,-2,96,75,1
20,0,-2,97,75,1
21,0,-2,98,76,1
22,0,-2,97,83,1
23,0,-2,95,75,1
24,0,-2,97,75,1
25,0,-2,93,75,1
26,0,-2,97,83,1
27,0,-2,95,75,1
28,0,-2,99,76,1
29,0,-2,95,75,1
30,0,-2,97,83,1
31,0,-2,95,83,1
32,0,-2,95,76,1
33,0,-2,97,75,1
34,0,-2,97,83,1
35,0,-2,95,75,1
36,0,-2,96,75,1
37,0,-2,98,83,1
38,0,-2,93,75,1
39,0,-2,97,75,1
40,0,-2,97,76,1
41,0,-2,97,84,1
42,0,-2,95,83,1
43,0,-2,96,75,1
44,0,-2,97,75,1
45,0,-2,98,75,1
46,0,-2,98,83,1
47,0,-2,96,75,1
48,0,-2,97,75,1
49,0,-2,97,75,1
50,0,-2,97,84,1
51,0,-2,95,83,1
52,0,-2,94,75,1
53,0,-2,98,75,1
54,0,-2,97,82,1
55,0,-2,96,83,1
56,0,-2,95,75,1
57,0,-2,97,75,1
58,0,-2,97,76,1
59,0,-2,97,84,1
60,0,-2,92,83,1
61,0,-2,95,75,1
62,0,-2,97,75,1
63,0,-2,97,83,1
64,0,-2,90,83,1
65,0,-2,95,76,2
66,0,-2,91,75,2
67,0,-2,97,76,2
68,0,-2,97,84,2
69,0,-2,95,83,2
70,0,-2,95,75,2
71,0,-2,97,75,2
72,0,-2,97,78,2
73,0,-2,100,86,2
74,0,-2,96,77,2
75,0,-2,98,77,2
76,0,-2,98,77,2
77,0,-2,98,85,2
78,0,-2,96,77,2
79,0,-2,98,78,2
80,0,-2,97,77,2
81,0,-2,98,85,2
82,0,-2,97,77,2
83,0,-2,99,77,2
84,0,-2,97,77,2
85,0,-2,97,86,2
86,0,-2,96,78,2
87,0,-2,96,77,2
88,0,-2,98,77,2
