patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,12,13,0
1,0,-2,142,76,0
2,0,-2,99,77,0
3,0,-2,98,76,0
4,0,-2,98,83,0
5,0,-2,95,76,0
6,0,-2,97,76,0
7,0,-2,96,75,0
8,0,-2,98,75,0
9,0,-2,97,76,0
10,0,-2,98,76,0
11,0,-2,97,76,0
12,0,-2,97,76,0
13,0,-2,97,76,0
14,0,-2,98,75,0
15,0,-2,97,76,0
16,0,-2,99,76,0
17,0,-2,98,75,0
18,0,-2,97,76,0
19,0,-2,96,78,1
20,0,-2,98,78,1
21,0,-2,100,78,1
22,0,-2,98,78,1
23,0,-2,99,79,1
24,0,-2,99,78,1
25,0,-2,100,79,1
26,0,-2,99,79,1
27,0,-2,99,79,1
28,0,-2,99,85,1
29,0,-2,94,78,1
30,0,-2,98,77,1
31,0,-2,99,78,1
32,0,-2,99,77,1
33,0,-2,98,78,1
34,0,-2,98,78,1
35,0,-2,98,77,1
36,0,-2,96,78,1
37,0,-2,99,78,1
38,0,-2,99,86,1
39,0,-2,96,76,1
40,0,-2,98,77,1
41,0,-2,97,77,1
42,0,-2,97,77,1
43,0,-2,95,76,1
44,0,-2,98,76,1
45,0,-2,97,77,1
46,0,-2,97,76,1
47,0,-2,97,77,1
48,0,-2,98,77,1
49,0,-2,97,85,1
50,0,-2,95,77,1
51,0,-2,98,80,3
52,0,-2,114,79,3
53,0,-2,96,79,3
54,0,-2,98,79,3
55,0,-2,98,80,3
56,0,-2,96,80,3
57,0,-2,98,79,3
58,0,-2,97,79,3
59,0,-2,95,79,3
60,0,-2,98,79,3
61,0,-2,100,79,3
62,0,-2,96,79,3
63,0,-2,96,79,3
64,0,-2,98,79,3
65,0,-2,96,80,3
66,0,-2,98,79,3
67,0,-2,98,79,3
68,0,-2,99,79,3
69,0,-2,98,80,3
70,0,-2,99,79,3
71,0,-2,98,79,3
72,0,-2,96,79,3
73,0,-2,99,79,3
74,0,-2,99,80,3
75,0,-2,98,79,3
76,0,-2,98,79,3
77,0,-2,98,79,3
78,0,-2,98,80,3
79,0,-2,96,79,3
80,0,-2,98,79,3
81,0,-2,99,79,3
82,0,-2,96,79,3
83,0,-2,99,87,3
84,0,-2,96,79,3
85,0,-2,98,79,3
86,0,-2,98,79,3
87,0,-2,98,85,3
88,0,-2,98,79,3
