patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,11,15,0
1,0,-2,302,233,0
2,0,-2,254,231,0
3,0,-2,259,231,0
4,0,-2,258,231,0
5,0,-2,257,231,0
6,0,-2,258,232,0
7,0,-2,258,231,0
8,0,-2,271,231,0
9,0,-2,258,232,0
10,0,-2,258,231,0
11,0,-2,262,231,0
12,0,-2,262,231,0
13,0,-2,262,231,0
14,0,-2,264,239,0
15,0,-2,258,232,0
16,0,-2,265,232,0
17,0,-2,275,265,0
18,0,-2,257,233,2
19,0,-2,263,236,5
20,0,-2,258,235,5
21,0,-2,276,260,5
22,0,-2,269,265,5
23,0,-2,252,235,5
24,0,-2,259,234,5
25,0,-2,269,265,5
26,0,-2,251,235,5
27,0,-2,261,237,6
28,0,-2,252,221,5
29,0,-2,246,235,5
30,0,-2,229,222,5
31,0,-2,229,213,5
32,0,-2,239,217,5
33,0,-2,249,236,5
34,0,-2,239,214,5
35,0,-2,270,243,5
36,0,-2,234,215,5
37,0,-2,244,214,5
38,0,-2,236,214,5
39,0,-2,243,216,6
40,0,-2,234,223,6
41,0,-2,236,215,6
42,0,-2,238,229,6
43,0,-2,238,216,6
44,0,-2,243,215,6
45,0,-2,237,215,6
46,0,-2,238,215,6
47,0,-2,236,223,6
48,0,-2,236,216,6
49,0,-2,236,222,6
50,0,-2,236,216,6
51,0,-2,244,215,6
52,0,-2,237,216,6
53,0,-2,245,216,6
54,0,-2,237,223,6
55,0,-2,236,218,6
56,0,-2,239,235,6
57,0,-2,236,216,6
58,0,-2,237,217,6
59,0,-2,237,215,6
60,0,-2,238,217,6
61,0,-2,236,217,6
62,0,-2,235,216,6
63,0,-2,233,218,6
64,0,-2,233,216,6
65,0,-2,235,217,6
66,0,-2,246,237,6
67,0,-2,231,217,6
68,0,-2,234,223,6
69,0,-2,234,215,6
70,0,-2,247,239,6
71,0,-2,230,216,6
72,0,-2,235,215,6
73,0,-2,232,215,6
74,0,-2,248,239,6
75,0,-2,231,216,6
76,0,-2,232,215,6
77,0,-2,234,216,6
78,0,-2,248,237,6
79,0,-2,249,238,6
80,0,-2,230,216,6
81,0,-2,234,215,6
82,0,-2,232,217,6
83,0,-2,247,237,6
84,0,-2,247,236,6
85,0,-2,229,216,6
86,0,-2,235,216,6
87,0,-2,234,216,6
88,0,-2,247,237,6
