patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,18,15,0
1,0,-2,139,105,0
2,0,-2,132,105,0
3,0,-2,133,105,0
4,0,-2,130,113,0
5,0,-2,134,106,0
6,0,-2,135,105,0
7,0,-2,130,113,0
8,0,-2,135,105,0
9,0,-2,135,105,0
10,0,-2,134,105,0
11,0,-2,132,105,0
12,0,-2,135,105,0
13,0,-2,129,105,1
14,0,-2,140,104,1
15,0,-2,129,105,1
16,0,-2,132,105,1
17,0,-2,133,112,1
18,0,-2,132,104,0
19,0,-2,134,105,0
20,0,-2,134,105,0
21,0,-2,139,105,0
22,0,-2,130,105,0
23,0,-2,132,105,1
24,0,-2,142,104,1
25,0,-2,133,104,1
26,0,-2,128,104,1
27,0,-2,132,105,1
28,0,-2,129,105,1
29,0,-2,133,104,1
30,0,-2,132,105,1
31,0,-2,135,105,1
32,0,-2,128,105,1
33,0,-2,132,104,1
34,0,-2,134,105,1
35,0,-2,132,104,1
36,0,-2,142,127,0
37,0,-2,142,114,1
38,0,-2,142,115,2
39,0,-2,142,114,1
40,0,-2,141,115,1
41,0,-2,141,113,1
42,0,-2,141,113,1
43,0,-2,142,114,1
44,0,-2,141,113,1
45,0,-2,141,113,1
46,0,-2,137,115,1
47,0,-2,141,113,1
48,0,-2,141,113,1
49,0,-2,141,115,1
50,0,-2,141,113,1
51,0,-2,142,114,1
52,0,-2,138,113,1
53,0,-2,140,114,1
54,0,-2,142,113,1
55,0,-2,135,113,1
56,0,-2,142,113,1
57,0,-2,143,113,1
58,0,-2,137,113,1
59,0,-2,142,113,1
60,0,-2,142,113,1
61,0,-2,141,113,1
62,0,-2,139,113,1
63,0,-2,141,114,1
64,0,-2,142,113,1
65,0,-2,142,113,1
66,0,-2,138,113,1
67,0,-2,141,114,1
68,0,-2,138,114,1
69,0,-2,141,113,1
70,0,-2,142,114,1
71,0,-2,144,117,1
72,0,-2,138,114,1
73,0,-2,142,114,1
74,0,-2,141,116,1
75,0,-2,143,113,1
76,0,-2,141,113,1
77,0,-2,141,114,1
78,0,-2,137,113,1
79,0,-2,142,113,1
80,0,-2,137,112,1
81,0,-2,140,113,1
82,0,-2,140,114,1
83,0,-2,142,113,1
84,0,-2,142,113,1
85,0,-2,141,113,1
86,0,-2,144,113,1
87,0,-2,139,114,1
88,0,-2,141,113,1
