patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,12,13,0
1,0,-2,560,482,0
2,0,-2,512,485,0
3,0,-2,507,480,0
4,0,-2,506,479,0
5,0,-2,508,483,0
6,0,-2,507,483,0
7,0,-2,505,482,0
8,0,-2,509,482,0
9,0,-2,513,487,0
10,0,-2,511,503,0
11,0,-2,509,484,0
12,0,-2,530,484,0
13,0,-2,528,498,3
14,0,-2,520,506,3
15,0,-2,517,500,3
16,0,-2,525,497,6
17,0,-2,526,504,8
18,0,-2,428,411,6
19,0,-2,428,416,6
20,0,-2,434,418,7
21,0,-2,434,420,7
22,0,-2,436,423,8
23,0,-2,522,499,8
24,0,-2,524,499,8
25,0,-2,520,507,10
26,0,-2,519,507,10
27,0,-2,526,500,10
28,0,-2,529,511,11
29,0,-2,523,511,11
30,0,-2,457,440,9
31,0,-2,462,425,8
32,0,-2,449,429,13
33,0,-2,450,431,14
34,0,-2,460,431,14
35,0,-2,445,432,14
36,0,-2,446,425,0
37,0,-2,445,433,14
38,0,-2,446,426,0
39,0,-2,447,438,17
40,0,-2,446,425,0
41,0,-2,448,424,0
42,0,-2,445,426,0
43,0,-2,446,424,0
44,0,-2,447,424,0
45,0,-2,446,435,17
46,0,-2,449,425,0
47,0,-2,449,424,0
48,0,-2,449,426,0
49,0,-2,450,429,0
50,0,-2,454,439,18
51,0,-2,451,428,0
52,0,-2,454,439,19
53,0,-2,451,438,19
54,0,-2,454,429,10
55,0,-2,451,427,0
56,0,-2,450,439,19
57,0,-2,455,427,0
58,0,-2,451,425,0
59,0,-2,451,425,0
60,0,-2,450,425,0
61,0,-2,448,424,0
62,0,-2,451,424,0
63,0,-2,450,425,0
64,0,-2,452,425,0
65,0,-2,452,436,19
66,0,-2,449,436,19
67,0,-2,449,424,0
68,0,-2,447,439,19
69,0,-2,450,426,0
70,0,-2,454,423,0
71,0,-2,449,424,0
72,0,-2,461,447,18
73,0,-2,457,447,18
74,0,-2,456,447,18
75,0,-2,458,446,18
76,0,-2,489,453,18
77,0,-2,464,446,18
78,0,-2,464,443,18
79,0,-2,464,443,18
80,0,-2,463,451,18
81,0,-2,457,454,18
82,0,-2,455,452,18
83,0,-2,456,453,18
84,0,-2,463,445,18
85,0,-2,464,445,18
86,0,-2,464,443,18
87,0,-2,463,450,18
88,0,-2,457,452,18
