patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,11,13,0
1,0,-2,145,84,0
2,0,-2,101,92,0
3,0,-2,98,83,0
4,0,-2,106,92,0
5,0,-2,102,92,0
6,0,-2,104,92,0
7,0,-2,103,92,0
8,0,-2,104,92,0
9,0,-2,100,93,0
10,0,-2,100,92,0
11,0,-2,100,93,0
12,0,-2,100,92,0
13,0,-2,100,94,0
14,0,-2,104,91,0
15,0,-2,104,94,1
16,0,-2,103,92,0
17,0,-2,104,99,0
18,0,-2,101,94,1
19,0,-2,101,95,2
20,0,-2,100,94,1
21,0,-2,101,95,1
22,0,-2,106,94,1
23,0,-2,102,94,1
24,0,-2,101,93,1
25,0,-2,101,95,1
26,0,-2,101,94,1
27,0,-2,100,94,1
28,0,-2,101,93,1
29,0,-2,102,94,1
30,0,-2,101,93,1
31,0,-2,101,93,1
32,0,-2,106,94,1
33,0,-2,101,97,1
34,0,-2,107,95,1
35,0,-2,103,94,1
36,0,-2,106,95,1
37,0,-2,100,96,1
38,0,-2,105,93,1
39,0,-2,100,93,1
40,0,-2,105,94,1
41,0,-2,101,99,1
42,0,-2,103,85,1
43,0,-2,102,85,1
44,0,-2,107,93,1
45,0,-2,100,95,1
46,0,-2,104,93,1
47,0,-2,103,85,1
48,0,-2,108,93,1
49,0,-2,110,100,1
50,0,-2,106,94,1
51,0,-2,103,85,1
52,0,-2,110,85,1
53,0,-2,106,93,1
54,0,-2,109,93,1
55,0,-2,104,85,1
56,0,-2,112,94,1
57,0,-2,108,92,1
58,0,-2,112,94,1
59,0,-2,108,85,1
60,0,-2,112,94,1
61,0,-2,104,86,1
62,0,-2,111,94,1
63,0,-2,103,85,1
64,0,-2,112,94,1
65,0,-2,103,91,1
66,0,-2,107,94,1
67,0,-2,108,85,1
68,0,-2,111,93,1
69,0,-2,104,86,1
70,0,-2,108,94,1
71,0,-2,107,85,1
72,0,-2,107,94,1
73,0,-2,108,86,1
74,0,-2,107,93,1
75,0,-2,108,85,1
76,0,-2,106,85,1
77,0,-2,106,86,1
78,0,-2,108,93,1
79,0,-2,108,85,1
80,0,-2,106,93,1
81,0,-2,108,94,1
82,0,-2,113,94,1
83,0,-2,103,84,1
84,0,-2,109,84,1
85,0,-2,109,86,1
86,0,-2,112,93,1
87,0,-2,108,94,1
88,0,-2,108,85,1
