patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,12,14,0
1,0,-2,374,304,0
2,0,-2,328,304,0
3,0,-2,329,304,0
4,0,-2,328,302,0
5,0,-2,328,303,0
6,0,-2,329,303,0
7,0,-2,328,303,0
8,0,-2,329,304,0
9,0,-2,328,303,0
10,0,-2,330,303,0
11,0,-2,331,302,0
12,0,-2,327,303,0
13,0,-2,335,300,1
14,0,-2,322,296,1
15,0,-2,324,300,2
16,0,-2,324,302,2
17,0,-2,324,301,2
18,0,-2,322,300,2
19,0,-2,325,300,2
20,0,-2,323,301,3
21,0,-2,323,301,3
22,0,-2,328,307,7
23,0,-2,325,304,7
24,0,-2,326,304,7
25,0,-2,326,305,8
26,0,-2,323,307,8
27,0,-2,326,307,8
28,0,-2,324,304,8
29,0,-2,343,306,8
30,0,-2,333,304,8
31,0,-2,325,313,8
32,0,-2,326,311,8
33,0,-2,323,304,10
34,0,-2,329,306,10
35,0,-2,330,305,10
36,0,-2,324,313,10
37,0,-2,324,312,10
38,0,-2,326,310,14
39,0,-2,330,311,14
40,0,-2,331,310,15
41,0,-2,324,317,14
42,0,-2,325,318,14
43,0,-2,324,310,14
44,0,-2,330,311,14
45,0,-2,344,310,14
46,0,-2,324,318,14
47,0,-2,325,317,14
48,0,-2,323,308,14
49,0,-2,324,310,14
50,0,-2,331,310,14
51,0,-2,323,316,14
52,0,-2,325,316,14
53,0,-2,324,308,14
54,0,-2,324,311,14
55,0,-2,330,308,14
56,0,-2,324,316,14
57,0,-2,323,317,14
58,0,-2,323,310,14
59,0,-2,325,310,14
60,0,-2,333,309,14
61,0,-2,323,328,14
62,0,-2,323,311,14
63,0,-2,323,308,14
64,0,-2,325,309,14
65,0,-2,325,310,14
66,0,-2,324,311,14
67,0,-2,324,311,14
68,0,-2,322,309,14
69,0,-2,325,309,14
70,0,-2,325,309,14
71,0,-2,324,311,14
72,0,-2,323,310,14
73,0,-2,322,309,14
74,0,-2,326,310,15
75,0,-2,326,311,15
76,0,-2,324,311,15
77,0,-2,325,310,15
78,0,-2,322,311,15
79,0,-2,325,310,15
80,0,-2,325,311,15
81,0,-2,321,311,15
82,0,-2,323,311,15
83,0,-2,323,310,15
84,0,-2,325,310,15
85,0,-2,325,311,15
86,0,-2,323,312,15
87,0,-2,322,311,15
88,0,-2,326,311,15
