patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,14,10,0
1,0,-2,2444,2342,0
2,0,-2,2344,2324,0
3,0,-2,2347,2321,0
4,0,-2,2346,2323,0
5,0,-2,2346,2325,0
6,0,-2,2346,2319,0
7,0,-2,2346,2321,0
8,0,-2,2347,2321,0
9,0,-2,2346,2321,0
10,0,-2,2348,2329,0
11,0,-2,2346,2320,0
12,0,-2,2346,2321,0
13,0,-2,2346,2321,1
14,0,-2,2346,2322,1
15,0,-2,2344,2331,2
16,0,-2,2348,2326,2
17,0,-2,2348,2328,2
18,0,-2,2350,2349,4
19,0,-2,2368,2347,4
20,0,-2,2369,2359,4
21,0,-2,2373,2348,4
22,0,-2,2376,2347,4
23,0,-2,2372,2328,4
24,0,-2,2356,2327,4
25,0,-2,2351,2335,4
26,0,-2,2351,2338,4
27,0,-2,2351,2330,4
28,0,-2,2354,2333,4
29,0,-2,2348,2333,4
30,0,-2,2351,2331,4
31,0,-2,2604,2591,4
32,0,-2,2366,2354,4
33,0,-2,2379,2352,4
34,0,-2,2375,2354,4
35,0,-2,2381,2353,4
36,0,-2,2368,2353,4
37,0,-2,2364,2348,2
38,0,-2,2348,2334,2
39,0,-2,2350,2350,2
40,0,-2,2603,2596,2
41,0,-2,2597,2549,2
42,0,-2,2368,2355,2
43,0,-2,2370,2352,2
44,0,-2,2394,2334,3
45,0,-2,2350,2336,4
46,0,-2,2351,2337,4
47,0,-2,2584,2581,4
48,0,-2,2532,2342,4
49,0,-2,2356,2338,3
50,0,-2,2364,2352,3
51,0,-2,2357,2344,3
52,0,-2,2414,2363,4
53,0,-2,2377,2357,3
54,0,-2,2578,2358,4
55,0,-2,2372,2359,4
56,0,-2,2373,2353,4
57,0,-2,2355,2348,4
58,0,-2,2353,2341,4
59,0,-2,2587,2584,4
60,0,-2,2501,2374,4
61,0,-2,2373,2359,4
62,0,-2,2375,2368,4
63,0,-2,2377,2362,4
64,0,-2,2381,2364,2
65,0,-2,2357,2348,2
66,0,-2,2364,2343,3
67,0,-2,2591,2565,3
68,0,-2,2357,2344,3
69,0,-2,2362,2345,3
70,0,-2,2373,2362,3
71,0,-2,2378,2358,3
72,0,-2,2375,2360,3
73,0,-2,2356,2349,3
74,0,-2,2356,2343,3
75,0,-2,2588,2585,3
76,0,-2,2586,2593,3
77,0,-2,2355,2343,3
78,0,-2,2363,2348,3
79,0,-2,2358,2343,3
80,0,-2,2358,2343,3
81,0,-2,2593,2615,3
82,0,-2,2605,2606,3
83,0,-2,2379,2359,2
84,0,-2,2376,2361,2
85,0,-2,2374,2357,2
86,0,-2,2355,2343,2
87,0,-2,2359,2341,2
88,0,-2,2595,2584,2
