patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,79,47,0
0,2,0,-2,86,46,0
0,3,0,-2,88,46,0
1,3,0,-2,132,46,0
0,4,0,-2,86,45,0
2,4,0,-2,134,46,0
0,5,0,-2,87,45,0
2,5,0,-2,134,46,0
0,6,0,-2,85,46,0
3,6,0,-2,134,46,0
0,7,0,-2,85,46,0
3,7,0,-2,146,46,0
0,8,0,-2,87,46,0
4,8,0,-2,137,46,0
0,9,0,-2,83,46,0
4,9,0,-2,135,46,0
0,10,0,-2,83,46,0
5,10,0,-2,134,46,0
0,11,0,-2,82,45,0
5,11,0,-2,135,46,0
0,12,0,-2,80,46,0
6,12,0,-2,141,46,0
0,13,0,-2,80,45,0
6,13,0,-2,141,49,0
0,14,0,-2,81,46,0
7,14,0,-2,135,47,0
0,15,0,-2,80,53,0
7,15,0,-2,136,46,0
0,16,0,-2,84,45,0
8,16,0,-2,136,46,0
0,17,0,-2,83,46,0
8,17,0,-2,140,46,0
0,18,0,-2,81,46,0
9,18,0,-2,133,46,0
0,19,0,-2,84,47,0
9,19,0,-2,136,46,0
0,20,0,-2,83,52,0
10,20,0,-2,136,46,0
0,21,0,-2,82,46,0
10,21,0,-2,134,46,0
0,22,0,-2,79,46,0
11,22,0,-2,135,52,0
0,23,0,-2,82,46,0
11,23,0,-2,134,45,0
0,24,0,-2,87,46,0
12,24,0,-2,133,46,0
0,25,0,-2,82,53,0
12,25,0,-2,136,46,0
0,26,0,-2,84,46,0
13,26,0,-2,134,45,0
0,27,0,-2,79,46,0
13,27,0,-2,130,53,0
0,28,0,-2,82,46,0
14,28,0,-2,136,46,0
0,29,0,-2,89,46,0
14,29,0,-2,138,46,0
0,30,0,-2,83,53,0
15,30,0,-2,138,46,0
0,31,0,-2,87,45,0
15,31,0,-2,134,46,0
0,32,0,-2,83,46,0
16,32,0,-2,129,53,0
0,33,0,-2,86,46,0
16,33,0,-2,134,46,0
0,34,0,-2,85,51,0
17,34,0,-2,134,46,0
0,35,0,-2,83,52,0
17,35,0,-2,140,46,0
0,36,0,-2,82,46,0
18,36,0,-2,131,46,0
0,37,0,-2,87,46,0
18,37,0,-2,133,52,0
0,38,0,-2,84,46,0
19,38,0,-2,140,46,0
0,39,0,-2,82,46,0
19,39,0,-2,138,46,0
0,40,0,-2,87,53,0
20,40,0,-2,134,46,0
0,41,0,-2,83,46,0
20,41,0,-2,137,45,0
0,42,0,-2,83,46,0
21,42,0,-2,133,53,0
0,43,0,-2,82,45,0
21,43,0,-2,133,46,0
0,44,0,-2,90,46,0
22,44,0,-2,139,46,0
0,45,0,-2,83,50,0
22,45,0,-2,135,46,0
0,46,0,-2,83,45,0
23,46,0,-2,133,45,0
0,47,0,-2,83,45,0
23,47,0,-2,133,53,0
0,48,0,-2,89,45,0
24,48,0,-2,132,46,0
0,49,0,-2,86,46,0
24,49,0,-2,137,46,0
0,50,0,-2,81,45,0
25,50,0,-2,135,46,0
0,51,0,-2,84,46,0
25,51,0,-2,135,46,0
0,52,0,-2,86,45,0
26,52,0,-2,134,52,0
0,53,0,-2,81,46,0
26,53,0,-2,133,45,0
0,54,0,-2,82,46,0
27,54,0,-2,132,46,0
0,55,0,-2,89,46,0
27,55,0,-2,141,46,0
0,56,0,-2,87,46,0
28,56,0,-2,137,46,0
0,57,0,-2,83,46,0
28,57,0,-2,133,50,0
0,58,0,-2,91,45,0
29,58,0,-2,138,46,0
0,59,0,-2,84,45,0
29,59,0,-2,133,46,0
0,60,0,-2,89,46,0
30,60,0,-2,134,46,0
0,61,0,-2,89,46,0
30,61,0,-2,132,46,0
0,62,0,-2,83,45,0
31,62,0,-2,131,46,0
0,63,0,-2,90,46,0
31,63,0,-2,132,46,0
0,64,0,-2,84,46,0
32,64,0,-2,137,46,0
0,65,0,-2,87,46,0
32,65,0,-2,138,46,0
0,66,0,-2,84,46,0
33,66,0,-2,137,46,0
0,67,0,-2,87,45,0
33,67,0,-2,138,45,0
0,68,0,-2,90,45,0
34,68,0,-2,136,45,0
0,69,0,-2,89,45,0
34,69,0,-2,137,46,0
0,70,0,-2,80,45,0
35,70,0,-2,133,45,0
0,71,0,-2,88,45,0
35,71,0,-2,139,45,0
0,72,0,-2,80,45,0
36,72,0,-2,132,45,0
0,73,0,-2,91,45,0
36,73,0,-2,137,45,0
0,74,0,-2,80,45,0
37,74,0,-2,132,45,0
0,75,0,-2,88,45,0
37,75,0,-2,140,45,0
0,76,0,-2,82,45,0
38,76,0,-2,132,45,0
0,77,0,-2,87,45,0
38,77,0,-2,135,45,0
0,78,0,-2,83,45,0
39,78,0,-2,134,46,0
0,79,0,-2,83,45,0
39,79,0,-2,133,45,0
0,80,0,-2,80,45,0
40,80,0,-2,133,45,0
0,81,0,-2,81,45,0
40,81,0,-2,132,45,0
0,82,0,-2,81,45,0
41,82,0,-2,131,46,0
0,83,0,-2,82,46,0
41,83,0,-2,134,45,0
0,84,0,-2,82,45,0
42,84,0,-2,132,45,0
0,85,0,-2,80,45,0
42,85,0,-2,135,52,0
0,86,0,-2,80,45,0
43,86,0,-2,130,45,0
0,87,0,-2,86,45,0
43,87,0,-2,137,45,0
0,88,0,-2,81,45,0
44,88,0,-2,135,45,0
