patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,6,3,0
1,0,-2,104,76,0
2,0,-2,107,75,0
3,0,-2,115,76,0
4,0,-2,115,75,0
5,0,-2,114,75,0
6,0,-2,114,76,0
7,0,-2,113,77,0
8,0,-2,114,75,0
9,0,-2,114,76,0
10,0,-2,111,75,0
11,0,-2,115,79,0
12,0,-2,115,75,0
13,0,-2,109,75,0
14,0,-2,110,75,0
15,0,-2,111,75,0
16,0,-2,114,75,0
17,0,-2,108,75,0
18,0,-2,108,75,0
19,0,-2,110,75,0
20,0,-2,113,75,0
21,0,-2,111,75,0
22,0,-2,110,75,0
23,0,-2,108,76,0
24,0,-2,111,77,0
25,0,-2,110,75,0
26,0,-2,108,76,0
27,0,-2,110,75,0
28,0,-2,111,76,0
29,0,-2,108,77,0
30,0,-2,111,78,0
31,0,-2,113,78,0
32,0,-2,112,78,0
33,0,-2,134,76,0
34,0,-2,113,77,0
35,0,-2,114,95,0
36,0,-2,111,77,0
37,0,-2,112,77,0
38,0,-2,113,76,0
39,0,-2,117,76,0
40,0,-2,112,77,0
41,0,-2,110,76,0
42,0,-2,112,76,0
43,0,-2,110,77,0
44,0,-2,111,76,0
45,0,-2,112,76,0
46,0,-2,112,77,0
47,0,-2,112,76,0
48,0,-2,110,77,0
49,0,-2,114,77,0
50,0,-2,112,77,0
51,0,-2,110,77,0
52,0,-2,112,76,0
53,0,-2,109,78,0
54,0,-2,110,77,0
55,0,-2,112,76,0
56,0,-2,109,76,0
57,0,-2,109,78,0
58,0,-2,112,77,0
59,0,-2,109,77,0
60,0,-2,112,77,0
61,0,-2,112,77,0
62,0,-2,114,77,0
63,0,-2,111,76,0
64,0,-2,112,76,0
65,0,-2,112,76,0
66,0,-2,111,76,0
67,0,-2,112,76,0
68,0,-2,109,76,0
69,0,-2,113,77,0
70,0,-2,111,77,0
71,0,-2,110,76,0
72,0,-2,112,77,0
73,0,-2,112,77,0
74,0,-2,109,78,0
75,0,-2,110,77,0
76,0,-2,111,76,0
77,0,-2,110,76,0
78,0,-2,116,77,0
79,0,-2,111,76,0
80,0,-2,108,76,0
81,0,-2,110,76,0
82,0,-2,111,76,0
83,0,-2,117,76,0
84,0,-2,111,76,0
85,0,-2,111,75,0
86,0,-2,113,76,0
87,0,-2,112,76,0
88,0,-2,108,76,0
