patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,543,1037,0
0,2,0,-2,542,1017,0
0,3,0,-2,541,1014,0
0,4,0,-2,541,1019,0
0,5,0,-2,540,1025,0
0,6,0,-2,542,1020,0
0,7,0,-2,542,1018,0
0,8,0,-2,540,1018,0
0,9,0,-2,540,1017,0
0,10,0,-2,540,1017,0
0,11,0,-2,541,1015,0
0,12,0,-2,542,1015,0
0,13,0,-2,543,1015,0
0,14,0,-2,541,1014,0
0,15,0,-2,541,1016,0
0,16,0,-2,543,1014,0
0,17,0,-2,542,1014,0
0,18,0,-2,540,1014,0
0,19,0,-2,541,1015,0
0,20,0,-2,541,1015,0
0,21,0,-2,541,1014,0
0,22,0,-2,543,1015,0
0,23,0,-2,542,1016,0
0,24,0,-2,540,1015,0
0,25,0,-2,541,1018,0
0,26,0,-2,550,1016,0
0,27,0,-2,540,1016,0
0,28,0,-2,540,1015,0
0,29,0,-2,540,1026,0
0,30,0,-2,540,1015,0
0,31,0,-2,541,1016,0
0,32,0,-2,542,1015,0
0,33,0,-2,541,1026,0
0,34,0,-2,543,1015,0
0,35,0,-2,541,1014,0
0,36,0,-2,541,1016,0
0,37,0,-2,544,1016,0
0,38,0,-2,542,1017,0
0,39,0,-2,551,1018,0
0,40,0,-2,543,1018,0
0,41,0,-2,543,1016,0
0,42,0,-2,542,1018,0
0,43,0,-2,543,1017,0
0,44,0,-2,544,1018,2
0,45,0,-2,554,1026,4
0,46,0,-2,544,1025,4
0,47,0,-2,543,1020,4
0,48,0,-2,541,1022,4
0,49,0,-2,543,1022,5
0,50,0,-2,541,1024,7
0,51,0,-2,542,1025,7
0,52,0,-2,542,1025,7
0,53,0,-2,542,1024,7
0,54,0,-2,543,1025,7
0,55,0,-2,543,1023,7
0,56,0,-2,545,1022,7
0,57,0,-2,544,1023,7
0,58,0,-2,544,1024,7
0,59,0,-2,546,1024,7
0,60,0,-2,544,1023,7
0,61,0,-2,544,1025,7
0,62,0,-2,543,1024,7
0,63,0,-2,545,1023,7
