patch_start,patch_end,offset,limit,count-ms,lookup-mus,results
0,1,0,-2,986,7756,2
0,2,0,-2,987,7595,2
0,3,0,-2,989,7590,2
0,4,0,-2,989,7592,2
0,5,0,-2,988,7593,2
0,6,0,-2,987,7598,2
0,7,0,-2,987,7640,2
0,8,0,-2,989,7632,2
0,9,0,-2,986,7613,2
0,10,0,-2,988,7592,2
0,11,0,-2,989,7592,2
0,12,0,-2,1007,7597,2
0,13,0,-2,988,7672,2
0,14,0,-2,989,7588,2
0,15,0,-2,988,7596,2
0,16,0,-2,991,7596,2
0,17,0,-2,988,7601,2
0,18,0,-2,988,7598,2
0,19,0,-2,989,7589,2
0,20,0,-2,999,7611,2
0,21,0,-2,990,7589,2
0,22,0,-2,988,7590,2
0,23,0,-2,988,7594,2
0,24,0,-2,995,7594,2
0,25,0,-2,988,7602,2
0,26,0,-2,999,7590,2
0,27,0,-2,988,7604,2
0,28,0,-2,989,7594,2
0,29,0,-2,990,7592,2
0,30,0,-2,988,7590,2
0,31,0,-2,997,7591,2
0,32,0,-2,988,7622,2
0,33,0,-2,990,7603,2
0,34,0,-2,988,7591,2
0,35,0,-2,989,7603,2
0,36,0,-2,989,7596,2
0,37,0,-2,988,7590,2
0,38,0,-2,991,7591,2
0,39,0,-2,987,7593,2
0,40,0,-2,987,7589,2
0,41,0,-2,989,7590,2
0,42,0,-2,989,7590,2
0,43,0,-2,990,7591,2
0,44,0,-2,987,7591,3
0,45,0,-2,988,7604,9
0,46,0,-2,992,7608,10
0,47,0,-2,988,7594,10
0,48,0,-2,990,7605,15
0,49,0,-2,988,7614,20
0,50,0,-2,990,7634,24
0,51,0,-2,987,7618,24
0,52,0,-2,986,7618,24
0,53,0,-2,987,7621,24
0,54,0,-2,990,7616,26
0,55,0,-2,989,7617,26
0,56,0,-2,988,7655,26
0,57,0,-2,989,7618,26
0,58,0,-2,987,7635,26
0,59,0,-2,989,7614,26
0,60,0,-2,988,7721,26
0,61,0,-2,989,7612,26
0,62,0,-2,986,7615,26
0,63,0,-2,989,7618,26
0,64,0,-2,990,7613,26
0,65,0,-2,987,7616,26
0,66,0,-2,988,7623,26
0,67,0,-2,989,7614,26
0,68,0,-2,988,7614,27
0,69,0,-2,989,7718,27
0,70,0,-2,988,7618,27
0,71,0,-2,988,7628,27
0,72,0,-2,990,7617,27
0,73,0,-2,988,7637,28
0,74,0,-2,990,7625,28
0,75,0,-2,988,7621,28
0,76,0,-2,987,7621,28
0,77,0,-2,989,7624,28
0,78,0,-2,989,7637,28
0,79,0,-2,989,7659,28
0,80,0,-2,988,7624,28
0,81,0,-2,988,7640,28
0,82,0,-2,990,7631,28
0,83,0,-2,988,7624,32
0,84,0,-2,989,7626,32
0,85,0,-2,990,7624,32
0,86,0,-2,987,7626,32
0,87,0,-2,992,7631,32
0,88,0,-2,989,7627,33
0,89,0,-2,988,7627,33
0,90,0,-2,989,7622,33
0,91,0,-2,990,7628,34
0,92,0,-2,988,7628,36
0,93,0,-2,988,7625,36
0,94,0,-2,987,7630,36
0,95,0,-2,989,7627,36
0,96,0,-2,988,7630,36
0,97,0,-2,988,7657,36
0,98,0,-2,988,7635,36
0,99,0,-2,986,7629,36
0,100,0,-2,990,7629,38
0,101,0,-2,988,7634,38
0,102,0,-2,988,7666,38
0,103,0,-2,988,7631,38
0,104,0,-2,1007,7654,38
0,105,0,-2,988,7634,40
0,106,0,-2,988,7636,40
0,107,0,-2,1007,7642,40
0,108,0,-2,988,7632,40
0,109,0,-2,987,7635,41
0,110,0,-2,991,7632,41
0,111,0,-2,988,7634,41
0,112,0,-2,987,7649,41
0,113,0,-2,989,7657,41
0,114,0,-2,989,7630,41
0,115,0,-2,988,7640,41
