patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,233,259,0
1,0,-2,232,259,0
2,0,-2,233,260,0
3,0,-2,232,260,0
4,0,-2,232,260,0
5,0,-2,234,259,0
6,0,-2,231,260,0
7,0,-2,232,260,0
8,0,-2,232,260,0
9,0,-2,232,260,0
10,0,-2,234,259,0
11,0,-2,232,260,0
12,0,-2,232,262,0
13,0,-2,234,259,0
14,0,-2,231,258,0
15,0,-2,231,263,0
16,0,-2,232,259,0
17,0,-2,232,262,0
18,0,-2,233,259,0
19,0,-2,232,258,0
20,0,-2,231,262,0
21,0,-2,233,259,0
22,0,-2,231,259,0
23,0,-2,233,259,0
24,0,-2,232,258,0
25,0,-2,231,261,0
26,0,-2,233,259,0
27,0,-2,232,260,0
28,0,-2,232,261,0
29,0,-2,232,260,0
30,0,-2,231,260,0
31,0,-2,233,260,0
32,0,-2,233,264,0
33,0,-2,232,261,0
34,0,-2,233,260,0
35,0,-2,233,259,0
36,0,-2,231,291,0
37,0,-2,231,259,0
38,0,-2,232,261,0
39,0,-2,234,259,0
40,0,-2,232,259,0
41,0,-2,231,260,0
42,0,-2,234,259,0
43,0,-2,255,258,0
44,0,-2,372,405,0
45,0,-2,374,402,0
46,0,-2,372,404,0
47,0,-2,373,403,0
48,0,-2,373,403,0
49,0,-2,373,403,0
50,0,-2,372,403,0
51,0,-2,373,404,0
52,0,-2,373,404,0
53,0,-2,373,403,0
54,0,-2,374,402,0
55,0,-2,373,401,0
56,0,-2,374,402,0
57,0,-2,374,401,0
58,0,-2,377,402,0
59,0,-2,374,401,0
60,0,-2,374,402,0
61,0,-2,374,401,0
62,0,-2,375,402,0
63,0,-2,377,401,0
64,0,-2,379,401,0
65,0,-2,374,401,0
66,0,-2,374,402,0
67,0,-2,377,401,0
68,0,-2,375,402,0
69,0,-2,374,402,0
70,0,-2,374,400,0
71,0,-2,374,401,0
72,0,-2,372,400,0
73,0,-2,373,402,0
74,0,-2,372,401,0
75,0,-2,372,403,0
76,0,-2,372,402,0
77,0,-2,372,402,0
78,0,-2,372,402,0
79,0,-2,372,402,0
80,0,-2,372,402,0
81,0,-2,372,402,0
82,0,-2,372,403,0
83,0,-2,373,403,0
84,0,-2,373,404,0
85,0,-2,374,403,0
86,0,-2,372,402,0
87,0,-2,374,403,0
