patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,1321,1300,0
1,0,-2,1324,1303,0
2,0,-2,1323,1312,0
3,0,-2,1325,1305,0
4,0,-2,1323,1302,0
5,0,-2,1322,1305,0
6,0,-2,1322,1303,0
7,0,-2,1322,1302,0
8,0,-2,1321,1302,0
9,0,-2,1320,1304,0
10,0,-2,1323,1301,0
11,0,-2,1323,1302,0
12,0,-2,1322,1300,0
13,0,-2,1323,1304,0
14,0,-2,1324,1301,0
15,0,-2,1320,1304,0
16,0,-2,1324,1304,0
17,0,-2,1321,1306,0
18,0,-2,1320,1301,0
19,0,-2,1321,1302,0
20,0,-2,1324,1303,0
21,0,-2,1325,1301,0
22,0,-2,1321,1304,0
23,0,-2,1324,1303,0
24,0,-2,1323,1307,0
25,0,-2,1325,1301,0
26,0,-2,1322,1303,0
27,0,-2,1323,1304,0
28,0,-2,1320,1303,0
29,0,-2,1319,1300,0
30,0,-2,1324,1302,0
31,0,-2,1324,1305,0
32,0,-2,1324,1302,0
33,0,-2,1325,1306,0
34,0,-2,1325,1302,0
35,0,-2,1323,1304,0
36,0,-2,1324,1301,0
37,0,-2,1318,1303,0
38,0,-2,1338,1301,0
39,0,-2,1323,1299,0
40,0,-2,1321,1304,0
41,0,-2,1323,1302,0
42,0,-2,1323,1305,0
43,0,-2,1324,1302,0
44,0,-2,1322,1305,0
45,0,-2,1324,1302,0
46,0,-2,1324,1344,14
47,0,-2,1320,1303,0
48,0,-2,1324,1301,0
49,0,-2,1324,1302,0
50,0,-2,1325,1303,0
51,0,-2,1324,1304,0
52,0,-2,1332,1325,9
53,0,-2,1323,1311,0
54,0,-2,1324,1303,0
55,0,-2,1324,1306,0
56,0,-2,1326,1306,0
57,0,-2,1324,1306,0
58,0,-2,1323,1303,0
59,0,-2,1324,1295,3
60,0,-2,1326,1305,0
61,0,-2,1327,1305,0
62,0,-2,1327,1302,0
63,0,-2,1322,1303,0
64,0,-2,1324,1303,0
65,0,-2,1323,1305,0
66,0,-2,1323,1308,0
67,0,-2,1320,1333,11
68,0,-2,1325,1301,0
69,0,-2,1325,1302,0
70,0,-2,1322,1320,0
71,0,-2,1325,1303,0
72,0,-2,1324,1304,0
73,0,-2,1336,1302,0
74,0,-2,1321,1317,0
75,0,-2,1325,1313,0
76,0,-2,1323,1326,10
77,0,-2,1320,1305,0
78,0,-2,1395,1302,0
79,0,-2,1335,1304,0
80,0,-2,1324,1303,0
81,0,-2,1324,1306,0
82,0,-2,1326,1302,0
83,0,-2,1324,1305,0
84,0,-2,1331,1304,0
85,0,-2,1324,1308,0
86,0,-2,1325,1301,0
87,0,-2,1324,1304,0
88,0,-2,1327,1305,0
89,0,-2,1328,1303,0
90,0,-2,1325,1353,22
91,0,-2,1326,1304,0
92,0,-2,1325,1305,0
93,0,-2,1328,1302,0
94,0,-2,1324,1305,0
95,0,-2,1326,1305,0
96,0,-2,1324,1305,0
97,0,-2,1324,1304,0
98,0,-2,1328,1305,0
99,0,-2,1327,1305,0
100,0,-2,1328,1303,0
101,0,-2,1329,1306,0
102,0,-2,1327,1303,0
103,0,-2,1323,1305,0
104,0,-2,1327,1302,0
105,0,-2,1322,1304,0
106,0,-2,1320,1301,0
107,0,-2,1325,1300,0
108,0,-2,1334,1310,0
109,0,-2,1325,1302,0
110,0,-2,1326,1306,0
111,0,-2,1327,1305,0
112,0,-2,1324,1304,0
113,0,-2,1324,1302,0
114,0,-2,1340,1307,0
115,0,-2,1324,1302,0
116,0,-2,1326,1302,0
117,0,-2,1325,1301,0
118,0,-2,1324,1305,0
119,0,-2,1327,1303,0
120,0,-2,1325,1305,0
121,0,-2,1340,1305,0
122,0,-2,1325,1311,0
123,0,-2,1326,1303,0
124,0,-2,1322,1308,0
125,0,-2,1325,1301,0
126,0,-2,1326,1305,0
127,0,-2,1326,1301,0
128,0,-2,1321,1306,0
129,0,-2,1326,1302,0
130,0,-2,1323,1303,0
131,0,-2,1321,1302,0
132,0,-2,1322,1300,0
133,0,-2,1330,1344,15
134,0,-2,1366,1384,16
135,0,-2,1360,1380,16
136,0,-2,1360,1379,16
137,0,-2,1362,1384,16
138,0,-2,1355,1381,16
139,0,-2,1356,1381,16
140,0,-2,1359,1382,16
141,0,-2,1356,1379,16
142,0,-2,1357,1382,16
143,0,-2,1359,1383,16
144,0,-2,1357,1379,16
145,0,-2,1360,1379,16
146,0,-2,1357,1389,16
147,0,-2,1355,1381,16
148,0,-2,1358,1381,16
149,0,-2,1357,1389,16
150,0,-2,1360,1381,16
151,0,-2,1362,1384,16
152,0,-2,1360,1380,16
153,0,-2,1358,1382,16
154,0,-2,1360,1391,25
155,0,-2,1355,1387,25
156,0,-2,1365,1393,25
157,0,-2,1357,1381,16
158,0,-2,1356,1379,16
159,0,-2,1356,1378,16
160,0,-2,1367,1393,16
161,0,-2,1357,1375,15
162,0,-2,1356,1378,16
163,0,-2,1358,1381,16
164,0,-2,1358,1377,16
165,0,-2,1360,1383,16
166,0,-2,1371,1384,16
167,0,-2,1359,1381,16
168,0,-2,1359,1381,16
169,0,-2,1361,1384,16
170,0,-2,1358,1381,16
171,0,-2,1357,1383,16
172,0,-2,1360,1385,16
173,0,-2,1356,1378,16
174,0,-2,1357,1381,16
175,0,-2,1358,1386,16
176,0,-2,1355,1379,16
177,0,-2,1358,1380,16
178,0,-2,1360,1382,16
179,0,-2,1357,1380,16
180,0,-2,1359,1378,16
181,0,-2,1360,1384,16
182,0,-2,1359,1381,16
183,0,-2,1360,1385,16
184,0,-2,1359,1382,16
185,0,-2,1360,1382,16
186,0,-2,1360,1385,16
187,0,-2,1360,1381,16
188,0,-2,1360,1403,16
189,0,-2,1361,1380,16
190,0,-2,1353,1384,16
191,0,-2,1358,1380,16
192,0,-2,1352,1383,17
193,0,-2,1354,1377,17
194,0,-2,1355,1377,17
195,0,-2,1354,1378,17
196,0,-2,1357,1376,17
197,0,-2,1355,1383,17
198,0,-2,1359,1384,17
199,0,-2,1381,1398,9
200,0,-2,1383,1393,9
201,0,-2,1381,1396,9
202,0,-2,1382,1393,9
203,0,-2,1381,1394,9
204,0,-2,1383,1392,9
205,0,-2,1377,1394,9
206,0,-2,1382,1391,9
207,0,-2,1378,1395,9
208,0,-2,1381,1393,9
209,0,-2,1377,1394,9
210,0,-2,1377,1391,9
211,0,-2,1380,1390,9
212,0,-2,1381,1392,9
213,0,-2,1383,1392,9
214,0,-2,1389,1395,9
215,0,-2,1383,1393,9
216,0,-2,1380,1396,9
217,0,-2,1383,1395,9
218,0,-2,1379,1407,9
219,0,-2,1382,1392,9
220,0,-2,1379,1393,9
221,0,-2,1381,1390,9
222,0,-2,1378,1394,9
223,0,-2,1381,1392,9
224,0,-2,1377,1394,9
225,0,-2,1387,1392,9
226,0,-2,2091,1395,9
227,0,-2,1378,1390,9
228,0,-2,1391,1392,9
229,0,-2,1381,1393,9
230,0,-2,1392,1396,9
231,0,-2,1383,1393,9
232,0,-2,1381,1398,9
233,0,-2,1382,1394,9
234,0,-2,1387,1396,9
235,0,-2,1382,1402,9
236,0,-2,1378,1394,9
237,0,-2,1381,1389,9
238,0,-2,1379,1393,9
239,0,-2,1390,1389,9
240,0,-2,1378,1397,9
241,0,-2,1382,1392,9
242,0,-2,1378,1396,9
243,0,-2,1382,1391,9
244,0,-2,1385,1398,9
245,0,-2,1383,1392,9
246,0,-2,1385,1408,9
247,0,-2,1384,1394,9
248,0,-2,1381,1399,9
249,0,-2,1381,1394,9
250,0,-2,1379,1396,9
251,0,-2,1381,1393,9
252,0,-2,1377,1395,9
253,0,-2,1394,1389,9
254,0,-2,1378,1395,9
255,0,-2,1382,1390,9
256,0,-2,1380,1396,9
257,0,-2,1382,1391,9
258,0,-2,1378,1394,9
259,0,-2,1381,1392,9
260,0,-2,1382,1412,9
261,0,-2,1384,1391,9
262,0,-2,1390,1398,9
263,0,-2,1392,1403,8
264,0,-2,1386,1397,8
265,0,-2,1386,1396,8
266,0,-2,1383,1399,8
267,0,-2,1385,1395,8
268,0,-2,1381,1407,8
269,0,-2,1384,1394,8
270,0,-2,1382,1397,8
271,0,-2,1384,1392,8
272,0,-2,1383,1396,8
273,0,-2,1380,1391,8
274,0,-2,1382,1392,8
275,0,-2,1387,1395,8
276,0,-2,1384,1397,8
277,0,-2,1385,1396,8
278,0,-2,1385,1398,8
279,0,-2,1387,1395,8
280,0,-2,1386,1398,8
281,0,-2,1391,1395,8
282,0,-2,1384,1399,8
283,0,-2,1386,1394,8
284,0,-2,1383,1398,8
285,0,-2,1383,1395,8
286,0,-2,1382,1397,8
287,0,-2,1385,1392,8
288,0,-2,1382,1396,8
289,0,-2,1393,1392,8
290,0,-2,1383,1397,8
291,0,-2,1385,1394,8
292,0,-2,1387,1400,8
293,0,-2,1396,1396,8
294,0,-2,1385,1399,8
295,0,-2,1387,1394,8
296,0,-2,1387,1396,8
297,0,-2,1384,1399,8
298,0,-2,1386,1395,8
299,0,-2,1382,1398,8
300,0,-2,1389,1397,8
301,0,-2,1381,1400,8
302,0,-2,1394,1416,8
303,0,-2,1382,1424,8
304,0,-2,1384,1413,8
305,0,-2,1383,1398,8
306,0,-2,1384,1393,8
307,0,-2,1386,1395,8
308,0,-2,1383,1406,8
309,0,-2,1386,1398,8
310,0,-2,1383,1399,8
311,0,-2,1386,1396,8
312,0,-2,1384,1406,8
313,0,-2,1387,1396,8
314,0,-2,1383,1397,8
315,0,-2,1385,1394,8
316,0,-2,1382,1396,8
317,0,-2,1388,1396,8
318,0,-2,1383,1397,8
319,0,-2,1384,1394,8
320,0,-2,1383,1397,8
321,0,-2,1384,1393,8
322,0,-2,1386,1394,8
323,0,-2,1386,1395,8
324,0,-2,1385,1398,8
325,0,-2,1384,1404,8
326,0,-2,1386,1395,8
327,0,-2,1386,1399,8
328,0,-2,1387,1395,8
329,0,-2,1383,1399,8
330,0,-2,1384,1394,8
331,0,-2,1381,1396,8
332,0,-2,1385,1410,8
333,0,-2,1379,1397,8
334,0,-2,1383,1393,8
335,0,-2,1380,1398,8
336,0,-2,1384,1394,8
337,0,-2,1384,1397,8
338,0,-2,1385,1401,8
339,0,-2,1385,1396,8
340,0,-2,1385,1399,8
341,0,-2,1385,1397,8
342,0,-2,1385,1400,8
343,0,-2,1386,1396,8
344,0,-2,1416,1399,8
345,0,-2,1385,1396,8
346,0,-2,1382,1398,8
347,0,-2,1385,1392,8
348,0,-2,1383,1396,8
349,0,-2,1384,1392,8
350,0,-2,1383,1398,8
351,0,-2,1386,1394,8
352,0,-2,1381,1397,8
353,0,-2,1380,1393,8
354,0,-2,1384,1395,8
355,0,-2,1387,1396,8
356,0,-2,1387,1397,8
357,0,-2,1423,1400,8
358,0,-2,1837,1863,9
359,0,-2,1838,1857,9
360,0,-2,1837,1861,9
361,0,-2,1841,1857,9
362,0,-2,1837,1861,9
363,0,-2,1856,1875,9
364,0,-2,1839,1871,9
365,0,-2,1838,1857,9
366,0,-2,1836,1860,9
367,0,-2,1891,1855,9
368,0,-2,1843,1860,9
369,0,-2,1841,1857,9
370,0,-2,1836,1860,9
371,0,-2,1838,1857,9
372,0,-2,1846,1859,9
373,0,-2,1838,1856,9
374,0,-2,1836,1860,9
375,0,-2,1841,1856,9
376,0,-2,1837,1860,9
377,0,-2,1839,1866,9
378,0,-2,1835,1860,9
379,0,-2,1839,1857,9
380,0,-2,1839,1861,9
381,0,-2,1840,1884,9
382,0,-2,1838,1863,9
383,0,-2,1840,1873,9
384,0,-2,1838,1863,9
385,0,-2,1840,1859,9
386,0,-2,1837,1862,9
387,0,-2,1845,1859,9
388,0,-2,1838,1859,9
389,0,-2,1834,1857,9
390,0,-2,1837,1857,9
391,0,-2,1887,1861,9
392,0,-2,1362,1300,0
393,0,-2,1351,1305,0
394,0,-2,1351,1301,0
395,0,-2,1350,1297,0
396,0,-2,1351,1300,0
397,0,-2,1351,1299,0
398,0,-2,1348,1300,0
399,0,-2,1351,1298,0
400,0,-2,1349,1301,0
401,0,-2,1352,1300,0
402,0,-2,1350,1300,0
403,0,-2,1351,1300,0
404,0,-2,1352,1300,0
405,0,-2,1351,1297,0
406,0,-2,1349,1299,0
407,0,-2,1351,1299,0
408,0,-2,1349,1300,0
409,0,-2,1350,1299,0
410,0,-2,1389,1300,0
411,0,-2,2520,2542,10
412,0,-2,2521,2541,10
413,0,-2,2521,2540,10
414,0,-2,2522,2542,10
415,0,-2,2530,2541,9
416,0,-2,2520,2539,9
417,0,-2,2533,2540,9
418,0,-2,2518,2540,9
419,0,-2,2519,2544,9
420,0,-2,2519,2540,9
421,0,-2,2518,2538,9
422,0,-2,2524,2540,9
423,0,-2,2520,3199,9
424,0,-2,2521,2539,9
425,0,-2,2522,2543,9
426,0,-2,2521,2543,9
427,0,-2,2525,2549,9
428,0,-2,2519,2540,9
429,0,-2,2520,2540,9
430,0,-2,2524,2545,9
431,0,-2,1731,1752,8
432,0,-2,1731,1752,8
433,0,-2,1732,1748,8
434,0,-2,1742,1748,8
435,0,-2,1731,1748,8
436,0,-2,1732,1749,8
437,0,-2,1734,1751,8
438,0,-2,1731,1751,8
439,0,-2,1732,1752,8
440,0,-2,1742,1763,8
441,0,-2,1733,1750,8
442,0,-2,1730,1752,8
443,0,-2,1731,1751,8
444,0,-2,1729,1750,8
445,0,-2,1730,1759,8
446,0,-2,1729,1747,8
447,0,-2,1731,1750,8
448,0,-2,1731,1751,8
449,0,-2,1730,1752,8
450,0,-2,1731,1752,8
451,0,-2,1732,1751,8
452,0,-2,1733,1748,8
453,0,-2,1731,1751,8
454,0,-2,1730,1751,8
455,0,-2,1729,1749,8
456,0,-2,1730,1749,8
457,0,-2,1729,1749,8
458,0,-2,1733,1761,8
459,0,-2,1732,1753,8
460,0,-2,1733,1752,8
461,0,-2,1732,1752,8
462,0,-2,1736,1750,8
463,0,-2,1733,1754,8
464,0,-2,1733,1753,8
465,0,-2,1732,1752,8
466,0,-2,1730,1753,8
467,0,-2,1728,1749,8
468,0,-2,1730,1749,8
469,0,-2,1732,1749,8
470,0,-2,1733,1753,8
471,0,-2,1732,1754,8
472,0,-2,1733,1751,8
473,0,-2,1739,1750,8
474,0,-2,1745,1768,8
475,0,-2,1731,1750,8
476,0,-2,1730,1750,8
477,0,-2,1731,1796,8
478,0,-2,1727,1748,8
479,0,-2,1729,1748,8
480,0,-2,1732,1747,8
481,0,-2,1733,1751,8
482,0,-2,1733,1749,8
483,0,-2,1733,1751,8
484,0,-2,1733,1761,8
485,0,-2,1732,1755,8
486,0,-2,1731,1752,8
487,0,-2,1742,1762,8
488,0,-2,1730,1750,8
489,0,-2,1730,1750,8
490,0,-2,1729,1752,8
491,0,-2,1732,1747,8
492,0,-2,1734,1750,8
493,0,-2,1734,1756,8
494,0,-2,1732,1752,8
495,0,-2,1736,1752,8
496,0,-2,1731,1756,8
497,0,-2,1736,1752,8
498,0,-2,1732,1750,8
499,0,-2,1730,1748,8
500,0,-2,1728,1749,8
501,0,-2,1729,1749,8
502,0,-2,1730,1757,8
503,0,-2,1732,1751,8
504,0,-2,1732,1760,8
505,0,-2,1732,1751,8
506,0,-2,1731,2364,8
507,0,-2,1733,1750,8
508,0,-2,1732,1749,8
509,0,-2,1732,1750,8
510,0,-2,1731,1750,8
511,0,-2,1729,1749,8
512,0,-2,1727,1748,8
513,0,-2,1729,1749,8
514,0,-2,1732,1747,8
515,0,-2,1743,1754,8
516,0,-2,1732,1749,8
517,0,-2,1733,1749,8
518,0,-2,1733,1751,8
519,0,-2,1732,1751,8
520,0,-2,1732,1750,8
521,0,-2,1732,1752,8
522,0,-2,1730,1750,8
523,0,-2,1729,1749,8
524,0,-2,1729,1749,8
525,0,-2,1729,1748,8
526,0,-2,1731,1750,8
527,0,-2,1732,1750,8
528,0,-2,1732,1750,8
529,0,-2,1732,1752,8
530,0,-2,1731,1751,8
531,0,-2,1732,1751,8
532,0,-2,1735,1754,8
533,0,-2,1732,1756,8
534,0,-2,1729,1751,8
535,0,-2,1729,1795,8
536,0,-2,1728,1748,8
537,0,-2,1731,1749,8
538,0,-2,1733,1752,8
539,0,-2,1734,1751,8
540,0,-2,1732,1751,8
541,0,-2,1734,1753,8
542,0,-2,1742,1756,8
543,0,-2,1734,1754,8
544,0,-2,1734,1756,8
545,0,-2,1653,1683,0
546,0,-2,1656,1683,0
547,0,-2,1698,1694,0
548,0,-2,2442,2458,0
549,0,-2,2441,2455,0
550,0,-2,2439,2456,0
551,0,-2,2448,2453,0
552,0,-2,2440,2458,0
553,0,-2,2440,2452,0
554,0,-2,2438,2457,0
555,0,-2,2440,2458,0
556,0,-2,2439,2468,0
557,0,-2,2443,2451,0
558,0,-2,2438,2457,0
559,0,-2,3028,2452,0
560,0,-2,2439,2457,0
561,0,-2,2446,2451,0
562,0,-2,2440,2457,0
563,0,-2,2440,2450,0
564,0,-2,2439,2457,0
565,0,-2,2442,2464,1
566,0,-2,2445,2460,1
567,0,-2,2444,2455,1
568,0,-2,2441,2463,1
569,0,-2,2443,2455,1
570,0,-2,2442,2460,1
571,0,-2,2442,2455,1
572,0,-2,2442,2460,1
573,0,-2,2443,2456,1
574,0,-2,2453,2460,1
575,0,-2,2456,2468,1
576,0,-2,2442,2465,1
577,0,-2,2443,2455,1
578,0,-2,2446,2461,1
579,0,-2,2443,2455,1
580,0,-2,2437,2550,1
581,0,-2,2447,2448,1
582,0,-2,2438,2470,1
583,0,-2,2441,2449,1
584,0,-2,2439,2456,1
585,0,-2,2440,2449,1
586,0,-2,2438,2472,1
587,0,-2,2440,2450,1
588,0,-2,2439,2456,1
589,0,-2,2444,2449,1
590,0,-2,2439,2454,1
591,0,-2,2445,2448,1
592,0,-2,2438,2455,1
593,0,-2,2440,2448,1
594,0,-2,2439,2455,1
595,0,-2,2440,2448,1
596,0,-2,2470,2460,1
597,0,-2,2438,2462,1
598,0,-2,2439,2453,1
599,0,-2,2450,2452,1
600,0,-2,2441,2457,1
601,0,-2,2440,2490,1
602,0,-2,2439,2455,1
603,0,-2,2441,2450,1
604,0,-2,2439,2485,1
605,0,-2,2441,2450,1
606,0,-2,2439,2457,1
607,0,-2,2440,2449,1
608,0,-2,2441,2457,1
609,0,-2,2441,2450,1
610,0,-2,2437,2454,1
611,0,-2,2438,2449,1
612,0,-2,2439,2454,1
613,0,-2,2449,2448,1
614,0,-2,2438,2454,1
615,0,-2,2440,2450,1
616,0,-2,2437,2454,1
617,0,-2,2438,2448,1
618,0,-2,2437,2455,1
619,0,-2,2440,2449,1
620,0,-2,2439,2455,1
621,0,-2,2570,2451,1
622,0,-2,2438,2454,1
623,0,-2,2440,2449,1
624,0,-2,2440,2456,1
625,0,-2,2440,2449,1
626,0,-2,2440,2455,1
627,0,-2,2450,2451,1
628,0,-2,2438,2454,1
629,0,-2,2441,2451,1
630,0,-2,2444,2457,1
631,0,-2,2439,2453,1
632,0,-2,2438,2461,1
633,0,-2,2436,2447,0
634,0,-2,2436,2454,0
635,0,-2,2440,2449,0
636,0,-2,2436,2445,0
637,0,-2,2446,2448,0
638,0,-2,2444,2446,0
639,0,-2,2438,2449,0
640,0,-2,2437,2451,0
641,0,-2,2438,2446,0
642,0,-2,2435,2447,0
643,0,-2,2443,2450,0
644,0,-2,2449,2448,0
645,0,-2,2436,2447,0
646,0,-2,2438,2452,0
647,0,-2,3369,2498,0
648,0,-2,2598,2452,0
649,0,-2,13,11,0
650,0,-2,901,844,0
651,0,-2,833,842,0
652,0,-2,832,840,0
653,0,-2,832,844,0
654,0,-2,837,840,0
655,0,-2,832,844,0
656,0,-2,832,841,0
657,0,-2,843,859,0
658,0,-2,832,842,0
659,0,-2,832,843,0
660,0,-2,834,843,0
661,0,-2,832,842,0
662,0,-2,843,841,0
663,0,-2,831,842,0
664,0,-2,833,843,0
665,0,-2,832,842,0
666,0,-2,833,841,0
667,0,-2,832,841,0
668,0,-2,832,842,0
669,0,-2,834,841,0
670,0,-2,832,841,0
671,0,-2,832,866,0
672,0,-2,834,842,0
673,0,-2,832,842,0
674,0,-2,834,843,0
675,0,-2,834,845,0
676,0,-2,834,844,0
677,0,-2,833,842,0
678,0,-2,832,842,0
679,0,-2,831,843,0
680,0,-2,833,842,0
681,0,-2,831,839,0
682,0,-2,831,841,0
683,0,-2,833,841,0
684,0,-2,831,842,0
685,0,-2,834,873,0
686,0,-2,834,843,0
687,0,-2,831,843,0
688,0,-2,833,842,0
689,0,-2,831,842,0
690,0,-2,834,842,0
691,0,-2,843,853,1
692,0,-2,841,852,1
693,0,-2,842,851,1
694,0,-2,840,851,1
695,0,-2,843,852,1
696,0,-2,841,851,1
697,0,-2,840,852,1
698,0,-2,842,852,1
699,0,-2,840,882,1
700,0,-2,843,852,1
701,0,-2,843,850,1
702,0,-2,841,852,1
703,0,-2,843,852,1
704,0,-2,840,852,1
705,0,-2,842,851,1
706,0,-2,841,850,1
707,0,-2,839,851,1
708,0,-2,842,851,1
709,0,-2,841,852,1
710,0,-2,843,851,1
711,0,-2,842,850,1
712,0,-2,840,852,1
713,0,-2,847,880,1
714,0,-2,842,853,1
715,0,-2,841,850,1
716,0,-2,840,852,1
717,0,-2,839,850,1
718,0,-2,840,850,1
719,0,-2,841,853,1
720,0,-2,845,853,1
721,0,-2,843,852,1
722,0,-2,844,850,1
723,0,-2,841,874,1
724,0,-2,828,833,0
725,0,-2,822,833,0
726,0,-2,822,832,0
727,0,-2,836,848,1
728,0,-2,822,836,1
729,0,-2,825,834,1
730,0,-2,822,833,1
731,0,-2,821,833,1
732,0,-2,824,837,1
733,0,-2,822,832,1
734,0,-2,821,832,1
735,0,-2,821,833,1
736,0,-2,823,834,1
737,0,-2,822,832,1
738,0,-2,822,832,1
739,0,-2,819,832,1
740,0,-2,843,853,2
741,0,-2,844,877,2
742,0,-2,842,854,2
743,0,-2,841,852,2
744,0,-2,841,854,2
745,0,-2,842,854,2
746,0,-2,842,855,2
747,0,-2,842,854,2
748,0,-2,842,856,2
749,0,-2,845,855,2
750,0,-2,842,855,2
751,0,-2,844,853,2
752,0,-2,842,856,2
753,0,-2,846,855,2
754,0,-2,843,856,2
755,0,-2,843,874,2
756,0,-2,845,855,2
757,0,-2,843,856,2
758,0,-2,843,855,2
759,0,-2,843,855,2
760,0,-2,843,855,2
761,0,-2,843,856,2
762,0,-2,843,854,2
763,0,-2,843,855,2
764,0,-2,843,855,2
765,0,-2,844,855,2
766,0,-2,843,854,2
767,0,-2,843,854,2
768,0,-2,842,854,2
769,0,-2,857,855,2
770,0,-2,842,856,2
771,0,-2,844,854,2
772,0,-2,846,856,2
773,0,-2,899,917,10
774,0,-2,900,915,10
775,0,-2,898,915,10
776,0,-2,898,916,10
777,0,-2,900,915,10
778,0,-2,898,916,10
779,0,-2,897,916,10
780,0,-2,902,915,10
781,0,-2,899,916,10
782,0,-2,898,948,10
783,0,-2,901,917,10
784,0,-2,899,918,10
785,0,-2,898,917,10
786,0,-2,901,916,10
787,0,-2,901,916,10
788,0,-2,900,917,10
789,0,-2,900,916,10
790,0,-2,899,918,10
791,0,-2,898,918,10
792,0,-2,900,916,10
793,0,-2,902,917,10
794,0,-2,899,917,10
795,0,-2,901,945,10
796,0,-2,899,916,10
797,0,-2,898,919,10
798,0,-2,902,918,10
799,0,-2,901,915,10
800,0,-2,899,916,10
801,0,-2,899,916,10
802,0,-2,901,916,10
803,0,-2,903,926,15
804,0,-2,903,924,15
805,0,-2,905,930,15
806,0,-2,906,924,14
807,0,-2,906,926,14
808,0,-2,906,955,14
809,0,-2,904,927,14
810,0,-2,905,927,14
811,0,-2,905,927,15
812,0,-2,907,929,15
813,0,-2,906,928,15
814,0,-2,907,929,15
815,0,-2,908,926,15
816,0,-2,906,930,15
817,0,-2,907,928,15
818,0,-2,906,927,15
819,0,-2,905,928,15
820,0,-2,906,927,15
821,0,-2,932,928,15
822,0,-2,903,924,15
823,0,-2,903,925,15
824,0,-2,907,926,15
825,0,-2,909,926,15
826,0,-2,905,927,15
827,0,-2,908,925,15
828,0,-2,906,924,15
829,0,-2,902,925,15
830,0,-2,904,924,15
831,0,-2,900,924,15
832,0,-2,903,924,15
833,0,-2,901,922,15
834,0,-2,921,925,15
835,0,-2,903,925,15
836,0,-2,904,924,15
837,0,-2,888,864,11
838,0,-2,909,930,15
839,0,-2,907,930,15
840,0,-2,908,931,15
841,0,-2,905,929,15
842,0,-2,905,930,15
843,0,-2,906,935,15
844,0,-2,906,929,15
845,0,-2,904,929,15
846,0,-2,907,928,15
847,0,-2,935,926,15
848,0,-2,904,926,15
849,0,-2,903,922,15
850,0,-2,902,922,15
851,0,-2,904,926,15
852,0,-2,906,924,15
853,0,-2,906,926,15
854,0,-2,903,926,15
855,0,-2,901,923,15
856,0,-2,903,923,15
857,0,-2,901,921,15
858,0,-2,906,928,15
859,0,-2,906,928,15
860,0,-2,936,925,15
861,0,-2,904,926,15
862,0,-2,901,926,15
863,0,-2,902,924,15
864,0,-2,903,923,15
865,0,-2,902,922,15
866,0,-2,903,924,15
867,0,-2,904,924,15
868,0,-2,903,924,15
869,0,-2,901,924,15
870,0,-2,904,924,15
871,0,-2,902,923,15
