patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,1919,1955,0
1,0,-2,1927,1945,0
2,0,-2,1919,1946,0
3,0,-2,1919,1946,0
4,0,-2,1920,1956,0
5,0,-2,1918,1946,0
6,0,-2,1918,1946,0
7,0,-2,1935,1948,0
8,0,-2,1919,1958,0
9,0,-2,1919,1947,0
10,0,-2,1920,1947,0
11,0,-2,1920,1947,0
12,0,-2,1916,1946,0
13,0,-2,1917,1945,0
14,0,-2,1928,1946,0
15,0,-2,1925,1945,0
16,0,-2,1917,1951,0
17,0,-2,1918,1960,0
18,0,-2,1918,1946,0
19,0,-2,1919,1948,0
20,0,-2,1920,1971,0
21,0,-2,1919,1945,0
22,0,-2,1918,1946,0
23,0,-2,1919,1945,0
24,0,-2,1918,1948,0
25,0,-2,1918,1946,0
26,0,-2,1920,1946,0
27,0,-2,1919,1946,0
28,0,-2,1918,1946,0
29,0,-2,1920,1946,0
30,0,-2,1918,1951,0
31,0,-2,1919,1947,0
32,0,-2,1919,1954,0
33,0,-2,1919,1946,0
34,0,-2,1919,1948,0
35,0,-2,1919,1946,0
36,0,-2,1921,1947,0
37,0,-2,1918,1947,0
38,0,-2,1918,1946,0
39,0,-2,1918,1945,0
40,0,-2,1952,1970,0
41,0,-2,1919,1948,0
42,0,-2,1917,1947,0
43,0,-2,1918,1950,0
44,0,-2,1917,1946,0
45,0,-2,1918,1945,0
46,0,-2,1919,1945,0
47,0,-2,1917,1945,0
48,0,-2,1919,1946,0
49,0,-2,1920,1948,0
50,0,-2,1919,1949,0
51,0,-2,1920,1945,0
52,0,-2,1929,1945,0
53,0,-2,1920,1954,0
54,0,-2,1920,1946,0
55,0,-2,1921,1948,0
56,0,-2,1921,1947,0
57,0,-2,1920,1947,0
58,0,-2,1923,1954,0
59,0,-2,1921,1947,0
60,0,-2,1921,1946,0
61,0,-2,1922,1956,0
62,0,-2,1925,1947,0
63,0,-2,1920,1948,0
64,0,-2,1922,1946,0
65,0,-2,1922,1946,0
66,0,-2,1921,1947,0
67,0,-2,1929,1952,0
68,0,-2,1923,1947,0
69,0,-2,1924,1947,0
70,0,-2,1923,1946,0
71,0,-2,1946,1956,0
72,0,-2,1922,1947,0
73,0,-2,1921,1947,0
74,0,-2,1925,1947,0
75,0,-2,1921,1946,0
76,0,-2,1921,1948,0
77,0,-2,1921,1946,0
78,0,-2,1921,1945,0
79,0,-2,1919,1947,0
80,0,-2,1920,1948,0
81,0,-2,1938,1946,0
82,0,-2,1922,1946,0
83,0,-2,1921,1947,0
84,0,-2,1921,1947,0
85,0,-2,1926,1948,0
86,0,-2,1921,1947,0
87,0,-2,1922,1947,0
88,0,-2,1921,1946,0
89,0,-2,1922,1946,0
90,0,-2,1922,1947,0
91,0,-2,1921,1924,0
92,0,-2,1923,1932,0
93,0,-2,1921,1924,0
94,0,-2,1922,1924,0
95,0,-2,1923,1925,0
96,0,-2,1923,1926,0
97,0,-2,1923,1924,0
98,0,-2,1923,1948,0
99,0,-2,1922,1949,0
100,0,-2,1922,1948,0
101,0,-2,1921,1948,0
102,0,-2,1923,1948,0
103,0,-2,1921,1946,0
104,0,-2,1919,1946,0
105,0,-2,1931,1948,0
106,0,-2,1920,1949,0
107,0,-2,1922,1948,0
108,0,-2,1921,1949,0
109,0,-2,1922,1948,0
110,0,-2,1919,1946,0
111,0,-2,1919,1948,0
112,0,-2,1919,1949,0
113,0,-2,1920,1945,0
114,0,-2,1921,1951,0
115,0,-2,1919,1946,0
116,0,-2,1920,1949,0
117,0,-2,1930,1948,0
118,0,-2,1927,1948,0
119,0,-2,1920,1954,0
120,0,-2,1921,1946,0
121,0,-2,1923,1948,0
122,0,-2,1927,1959,0
123,0,-2,1980,1932,0
124,0,-2,1957,1966,0
125,0,-2,1957,1966,0
126,0,-2,1956,1967,0
127,0,-2,1957,1965,0
128,0,-2,1958,1974,1
129,0,-2,1959,1966,1
130,0,-2,1984,1967,1
131,0,-2,2714,2734,2
132,0,-2,2708,2721,1
133,0,-2,2710,2722,1
134,0,-2,2709,2730,1
135,0,-2,2708,2726,1
136,0,-2,2710,2725,1
137,0,-2,2709,2720,1
138,0,-2,2708,2723,1
139,0,-2,2712,2727,1
140,0,-2,2715,2727,1
141,0,-2,2709,2723,1
142,0,-2,2711,2718,0
143,0,-2,2728,2744,0
144,0,-2,2709,2725,1
145,0,-2,2710,2722,1
146,0,-2,2710,2719,1
147,0,-2,2711,2721,1
148,0,-2,2708,2721,1
149,0,-2,2709,2728,1
150,0,-2,2722,2722,1
151,0,-2,2710,2721,1
152,0,-2,2710,2720,1
153,0,-2,2708,2722,0
154,0,-2,2707,2720,1
155,0,-2,2710,2720,1
156,0,-2,2712,2721,1
157,0,-2,2706,2719,0
158,0,-2,2706,2717,0
159,0,-2,2707,2741,0
160,0,-2,2709,2718,0
161,0,-2,2709,2721,0
162,0,-2,2711,2749,1
163,0,-2,2710,2726,1
164,0,-2,2711,2722,1
165,0,-2,2711,2723,1
166,0,-2,2711,2722,1
167,0,-2,2719,2723,1
168,0,-2,2712,2726,1
169,0,-2,2717,2726,1
170,0,-2,2715,2721,1
171,0,-2,2720,2725,1
172,0,-2,2709,2724,1
173,0,-2,2709,2722,1
174,0,-2,2712,2720,1
175,0,-2,2711,2722,1
176,0,-2,2722,2722,1
177,0,-2,2709,2723,1
178,0,-2,2710,2719,1
179,0,-2,2710,2723,1
180,0,-2,2710,2722,1
181,0,-2,2717,2721,1
182,0,-2,2711,2719,1
183,0,-2,2708,2721,1
184,0,-2,2723,2721,1
185,0,-2,2719,2721,1
186,0,-2,2729,2727,1
187,0,-2,2728,2739,1
188,0,-2,2729,2746,1
189,0,-2,2728,2741,1
190,0,-2,2732,2741,1
191,0,-2,2732,2740,1
192,0,-2,2715,2735,1
193,0,-2,2709,2719,1
194,0,-2,2709,2721,1
195,0,-2,2718,2722,1
196,0,-2,2716,2727,1
197,0,-2,2709,2720,1
198,0,-2,2712,2721,1
199,0,-2,2710,2746,1
200,0,-2,2715,2725,1
201,0,-2,2713,2724,1
202,0,-2,2710,2718,1
203,0,-2,2718,2722,1
204,0,-2,2710,2722,1
205,0,-2,2709,2720,1
206,0,-2,2709,2720,1
207,0,-2,2712,2718,1
208,0,-2,2712,2732,1
209,0,-2,2711,2718,1
210,0,-2,2710,2722,1
211,0,-2,2709,2719,1
212,0,-2,2710,2734,0
213,0,-2,2716,2722,1
214,0,-2,2709,2730,1
215,0,-2,2709,2721,1
216,0,-2,2713,2722,1
217,0,-2,2714,2721,1
218,0,-2,2715,2724,1
219,0,-2,2711,2725,1
220,0,-2,2710,2723,1
221,0,-2,2713,2723,1
222,0,-2,2715,2724,1
223,0,-2,2711,2725,1
224,0,-2,2709,2724,1
225,0,-2,2723,2723,1
226,0,-2,2715,2724,1
227,0,-2,2713,2723,1
228,0,-2,2715,2725,1
229,0,-2,2717,2727,1
230,0,-2,2743,2738,1
231,0,-2,2726,2736,1
232,0,-2,2762,2744,1
233,0,-2,2738,2753,1
234,0,-2,2722,2754,1
235,0,-2,2768,2733,1
236,0,-2,2707,2762,1
237,0,-2,2706,2732,1
238,0,-2,2707,2717,1
239,0,-2,2710,2726,1
240,0,-2,2707,2718,1
241,0,-2,2715,2718,1
242,0,-2,2710,2720,1
243,0,-2,2709,2717,1
244,0,-2,2712,2718,1
245,0,-2,2707,2724,1
246,0,-2,2708,2721,1
247,0,-2,2713,2725,1
248,0,-2,2721,2722,1
249,0,-2,2710,2720,1
250,0,-2,2710,2719,1
251,0,-2,2712,2722,1
252,0,-2,2717,2726,1
253,0,-2,2711,2722,1
254,0,-2,2713,2722,1
255,0,-2,2714,2725,1
256,0,-2,2714,2726,1
257,0,-2,2713,2724,1
258,0,-2,2716,2721,1
259,0,-2,2712,2718,1
260,0,-2,2713,2718,1
261,0,-2,2713,2724,1
262,0,-2,2714,2722,1
263,0,-2,2730,2722,1
264,0,-2,2707,2720,1
265,0,-2,2714,2717,1
266,0,-2,2706,2719,1
267,0,-2,2709,2716,1
268,0,-2,2709,2717,1
269,0,-2,2709,2729,1
270,0,-2,2708,2721,1
271,0,-2,2709,2718,1
272,0,-2,2735,2717,1
273,0,-2,2717,2719,1
274,0,-2,2706,2716,1
275,0,-2,2708,2718,1
276,0,-2,2711,2717,1
277,0,-2,2718,2715,1
278,0,-2,2707,2717,1
279,0,-2,2740,2715,1
280,0,-2,4367,2728,1
281,0,-2,2712,2721,1
282,0,-2,2708,2717,1
283,0,-2,2709,2725,1
284,0,-2,2708,2717,1
285,0,-2,2706,2716,1
286,0,-2,2718,2717,1
287,0,-2,2707,2714,1
288,0,-2,2714,2716,1
289,0,-2,2724,2718,1
290,0,-2,2718,2738,1
291,0,-2,2707,2753,1
292,0,-2,2705,2716,1
293,0,-2,2707,2714,1
294,0,-2,2706,2716,1
295,0,-2,2707,2718,1
296,0,-2,2709,2717,1
297,0,-2,2707,2718,1
298,0,-2,2708,2717,1
299,0,-2,2717,2717,1
300,0,-2,2716,2718,1
301,0,-2,2731,2718,1
302,0,-2,2709,2715,1
303,0,-2,2706,2720,1
304,0,-2,2706,2714,1
305,0,-2,2718,2719,1
306,0,-2,2707,2715,1
307,0,-2,2705,2723,1
308,0,-2,2739,2741,1
309,0,-2,2712,2736,1
310,0,-2,2708,2724,1
311,0,-2,2706,2716,1
312,0,-2,2711,2715,1
313,0,-2,2707,2717,1
314,0,-2,2708,2715,1
315,0,-2,2706,2717,1
316,0,-2,2705,2715,1
317,0,-2,2707,2716,1
318,0,-2,2706,2726,1
319,0,-2,2716,2719,1
320,0,-2,2702,2718,0
321,0,-2,2705,2711,0
322,0,-2,2707,2714,0
323,0,-2,2705,2712,0
324,0,-2,2702,2711,0
325,0,-2,2703,2711,0
326,0,-2,2704,2711,0
327,0,-2,2704,2726,0
328,0,-2,2704,2710,0
329,0,-2,2715,2714,1
330,0,-2,2706,2717,1
331,0,-2,2706,2714,1
332,0,-2,2704,2712,1
333,0,-2,2703,2713,1
334,0,-2,2704,2710,1
335,0,-2,2702,2710,1
336,0,-2,2704,2712,1
337,0,-2,2705,2713,1
338,0,-2,2712,2711,1
339,0,-2,2707,2712,1
340,0,-2,2794,2736,1
341,0,-2,2704,2713,1
342,0,-2,2716,2718,1
343,0,-2,2709,2716,1
344,0,-2,2708,2730,1
345,0,-2,2719,2716,1
346,0,-2,2706,2722,1
347,0,-2,2728,2717,1
348,0,-2,2706,2755,1
349,0,-2,2705,2718,1
350,0,-2,2707,2717,1
351,0,-2,2703,2713,1
352,0,-2,2707,2720,1
353,0,-2,2708,2721,1
354,0,-2,2708,2717,1
355,0,-2,2708,2720,1
356,0,-2,2706,2716,1
357,0,-2,2706,2718,1
358,0,-2,2720,2717,1
359,0,-2,2704,2717,1
360,0,-2,2722,2723,1
361,0,-2,2705,2719,1
362,0,-2,2705,2716,1
363,0,-2,2704,2718,1
364,0,-2,2708,2717,1
365,0,-2,2705,2717,1
366,0,-2,2707,2716,1
367,0,-2,2716,2718,1
368,0,-2,2704,2717,1
369,0,-2,2706,2717,1
370,0,-2,2704,2724,1
371,0,-2,2705,2716,1
372,0,-2,2705,2719,1
373,0,-2,2706,2715,1
374,0,-2,2707,2720,1
375,0,-2,2704,2715,1
376,0,-2,2704,2731,1
377,0,-2,2716,2719,1
378,0,-2,2713,2716,1
379,0,-2,2719,2714,1
380,0,-2,2709,2716,1
381,0,-2,2705,2716,1
382,0,-2,2728,2717,1
383,0,-2,2711,2722,1
384,0,-2,2709,2719,1
385,0,-2,2712,2718,1
386,0,-2,2717,2722,1
387,0,-2,2707,2719,1
388,0,-2,2706,2719,1
389,0,-2,2707,2719,1
390,0,-2,2706,2721,1
391,0,-2,2705,2716,1
392,0,-2,2705,2715,1
393,0,-2,2703,2710,1
394,0,-2,2702,2709,1
395,0,-2,2706,2710,1
396,0,-2,2703,2710,1
397,0,-2,2704,2709,1
398,0,-2,2702,2708,1
399,0,-2,2703,2717,1
400,0,-2,2703,2712,1
401,0,-2,2706,2721,1
