patch,offset,limit,count-ms,lookup-mus,results
0,0,-2,272,285,0
1,0,-2,270,285,0
2,0,-2,269,287,0
3,0,-2,270,287,0
4,0,-2,271,285,0
5,0,-2,270,286,0
6,0,-2,269,287,0
7,0,-2,271,285,0
8,0,-2,270,285,0
9,0,-2,271,286,0
10,0,-2,272,286,0
11,0,-2,279,286,0
12,0,-2,269,288,0
13,0,-2,270,287,0
14,0,-2,272,286,0
15,0,-2,271,287,0
16,0,-2,270,287,0
17,0,-2,271,287,0
18,0,-2,271,286,0
19,0,-2,272,288,0
20,0,-2,272,285,0
21,0,-2,271,287,0
22,0,-2,270,289,0
23,0,-2,271,286,0
24,0,-2,272,286,0
25,0,-2,271,286,0
26,0,-2,271,288,0
27,0,-2,272,287,0
28,0,-2,270,287,0
29,0,-2,271,288,0
30,0,-2,272,286,0
31,0,-2,270,286,0
32,0,-2,270,288,0
33,0,-2,272,288,0
34,0,-2,273,286,0
35,0,-2,269,287,0
36,0,-2,270,288,0
37,0,-2,273,286,0
38,0,-2,270,286,0
39,0,-2,270,287,0
40,0,-2,271,286,0
41,0,-2,271,287,0
42,0,-2,270,288,0
43,0,-2,270,289,0
44,0,-2,271,285,0
45,0,-2,270,286,0
46,0,-2,271,273,2
47,0,-2,273,295,0
48,0,-2,272,272,2
49,0,-2,270,289,0
50,0,-2,272,287,0
51,0,-2,271,286,0
52,0,-2,272,287,0
53,0,-2,271,286,0
54,0,-2,272,288,0
55,0,-2,272,286,0
56,0,-2,271,288,0
57,0,-2,273,286,0
58,0,-2,271,285,0
59,0,-2,271,287,0
60,0,-2,272,286,0
61,0,-2,271,286,0
62,0,-2,271,287,0
63,0,-2,272,287,0
64,0,-2,273,286,0
65,0,-2,272,286,0
66,0,-2,272,287,0
67,0,-2,272,285,0
68,0,-2,270,286,0
69,0,-2,271,289,0
70,0,-2,273,286,0
71,0,-2,271,285,0
72,0,-2,270,287,0
73,0,-2,272,288,0
74,0,-2,274,286,0
75,0,-2,270,286,0
76,0,-2,272,288,0
77,0,-2,272,285,0
78,0,-2,270,287,0
79,0,-2,272,288,0
80,0,-2,272,287,0
81,0,-2,272,285,0
82,0,-2,271,286,0
83,0,-2,271,297,0
84,0,-2,272,285,0
85,0,-2,273,286,0
86,0,-2,270,288,0
87,0,-2,271,272,2
88,0,-2,271,270,2
89,0,-2,270,272,2
90,0,-2,272,286,0
91,0,-2,271,273,2
92,0,-2,272,274,2
93,0,-2,271,289,0
94,0,-2,272,286,0
95,0,-2,270,286,0
96,0,-2,271,289,0
97,0,-2,272,286,0
98,0,-2,271,286,0
99,0,-2,271,288,0
100,0,-2,271,272,2
101,0,-2,271,286,0
102,0,-2,270,288,0
103,0,-2,272,287,0
104,0,-2,271,271,2
105,0,-2,269,285,0
106,0,-2,271,287,0
107,0,-2,274,287,0
108,0,-2,271,286,0
109,0,-2,270,287,0
110,0,-2,274,286,0
111,0,-2,270,286,0
112,0,-2,270,288,0
113,0,-2,271,286,0
114,0,-2,271,271,2
115,0,-2,271,286,0
116,0,-2,270,274,2
117,0,-2,274,285,0
118,0,-2,276,286,0
119,0,-2,271,277,2
120,0,-2,272,286,0
121,0,-2,270,285,0
122,0,-2,270,286,0
123,0,-2,271,287,0
124,0,-2,271,272,2
125,0,-2,272,287,0
126,0,-2,272,273,2
127,0,-2,272,272,2
128,0,-2,271,285,0
129,0,-2,271,273,2
130,0,-2,272,286,0
131,0,-2,271,286,0
132,0,-2,275,298,0
133,0,-2,276,270,0
134,0,-2,309,308,1
135,0,-2,306,307,1
136,0,-2,306,306,1
137,0,-2,308,306,1
138,0,-2,306,306,1
139,0,-2,306,306,1
140,0,-2,305,307,1
141,0,-2,305,308,1
142,0,-2,308,306,1
143,0,-2,306,305,1
144,0,-2,305,306,1
145,0,-2,306,307,1
146,0,-2,307,305,1
147,0,-2,307,306,1
148,0,-2,305,306,1
149,0,-2,306,307,1
150,0,-2,307,306,1
151,0,-2,307,305,1
152,0,-2,314,305,1
153,0,-2,306,307,1
154,0,-2,306,308,1
155,0,-2,306,306,1
156,0,-2,307,306,1
157,0,-2,306,307,1
158,0,-2,306,307,1
159,0,-2,307,305,1
160,0,-2,307,305,1
161,0,-2,306,305,1
162,0,-2,306,306,1
163,0,-2,305,306,1
164,0,-2,308,306,1
165,0,-2,305,305,1
166,0,-2,306,308,1
167,0,-2,306,307,1
168,0,-2,308,305,1
169,0,-2,306,306,1
170,0,-2,308,306,1
171,0,-2,305,310,1
172,0,-2,306,305,1
173,0,-2,307,307,1
174,0,-2,306,305,1
175,0,-2,307,306,1
176,0,-2,306,305,1
177,0,-2,306,305,1
178,0,-2,306,305,1
179,0,-2,305,307,1
180,0,-2,306,309,1
181,0,-2,308,307,1
182,0,-2,308,307,1
183,0,-2,307,306,1
184,0,-2,306,307,1
185,0,-2,307,314,1
186,0,-2,307,305,1
187,0,-2,306,306,1
188,0,-2,307,310,1
189,0,-2,308,309,1
190,0,-2,309,306,1
191,0,-2,309,306,1
192,0,-2,304,306,2
193,0,-2,303,307,2
194,0,-2,304,303,2
195,0,-2,305,303,2
196,0,-2,302,304,2
197,0,-2,303,306,2
198,0,-2,305,305,2
199,0,-2,307,305,1
200,0,-2,308,306,1
201,0,-2,308,308,1
202,0,-2,306,307,1
203,0,-2,311,314,1
204,0,-2,306,307,1
205,0,-2,306,308,1
206,0,-2,305,307,1
207,0,-2,308,306,1
208,0,-2,308,305,1
209,0,-2,307,306,1
210,0,-2,306,307,1
211,0,-2,306,307,1
212,0,-2,307,306,1
213,0,-2,306,307,1
214,0,-2,305,308,1
215,0,-2,306,307,1
216,0,-2,309,305,1
217,0,-2,317,306,1
218,0,-2,307,306,1
219,0,-2,305,307,1
220,0,-2,306,306,1
221,0,-2,306,306,1
222,0,-2,306,306,1
223,0,-2,306,308,1
224,0,-2,306,307,1
225,0,-2,308,306,1
226,0,-2,306,306,1
227,0,-2,307,309,1
228,0,-2,305,307,1
229,0,-2,306,306,1
230,0,-2,307,306,1
231,0,-2,307,306,1
232,0,-2,307,307,1
233,0,-2,308,306,1
234,0,-2,308,307,1
235,0,-2,306,306,1
236,0,-2,306,310,1
237,0,-2,305,310,1
238,0,-2,306,306,1
239,0,-2,306,305,1
240,0,-2,306,307,1
241,0,-2,306,307,1
242,0,-2,308,305,1
243,0,-2,307,307,1
244,0,-2,305,307,1
245,0,-2,307,307,1
246,0,-2,306,306,1
247,0,-2,306,305,1
248,0,-2,306,305,1
249,0,-2,307,306,1
250,0,-2,306,315,1
251,0,-2,307,306,1
252,0,-2,305,307,1
253,0,-2,307,308,1
254,0,-2,306,308,1
255,0,-2,307,306,1
