version,ms
0,0.187449
1,0.180265
2,0.178163
3,0.177163
4,0.17902
5,0.176449
6,0.175429
7,0.173653
8,0.175429
9,0.175184
10,0.179265
11,0.180245
12,0.180184
13,0.18051
14,0.185102
15,0.183469
16,0.18302
17,0.182245
18,0.185796
19,0.189449
20,0.188061
21,0.185857
22,0.190265
23,0.193143
24,0.194878
25,0.192673
26,0.194184
27,0.197102
28,0.197143
29,0.200816
30,0.199918
31,0.201122
32,0.201612
33,0.206265
34,0.204673
35,0.223143
36,0.206041
37,0.205367
38,0.212143
39,0.209796
40,0.213367
41,0.213306
42,0.209653
43,0.217408
44,0.219449
45,0.221122
46,0.225898
47,0.226
48,0.231408
49,0.23902
50,0.237469
51,0.244367
52,0.24751
53,0.246612
54,0.252122
55,0.257204
56,0.263041
57,0.261286
58,0.25598
59,0.264612
60,0.268776
61,0.26451
62,0.272694
63,0.271755
64,0.278265
65,0.276837
66,0.277347
67,0.280939
68,0.27602
69,0.277
70,0.281367
71,0.286694
72,0.281653
73,0.286429
74,0.291224
75,0.297531
76,0.291633
77,0.295673
78,0.299122
79,0.304633
80,0.307923
81,0.310538
82,0.313615
83,0.325077
84,0.335462
85,0.334154
86,0.336462
87,0.333769
88,0.343923
89,0.350308
90,0.346308
91,0.342077
92,0.360615
93,0.356462
94,0.376
95,0.373615
96,0.374462
97,0.376385
98,0.395462
99,0.388846
100,0.395923
101,0.393615
102,0.394846
103,0.398231
104,0.397231
105,0.408385
106,0.41
107,0.411385
108,0.425231
109,0.423923
110,0.427538
111,0.423385
112,0.432538
113,0.421846
114,0.427
115,0.422385
116,0.422
117,0.422154
118,0.435231
119,0.444077
120,0.443923
121,0.451385
122,0.450538
123,0.461462
124,0.453077
125,0.466692
126,0.472692
127,0.487692
128,0.471615
129,0.486385
130,0.480769
131,0.487154
132,0.482692
133,0.499692
134,0.486077
135,0.504923
136,0.491692
137,0.506923
138,0.498308
139,0.513462
140,0.503308
141,0.515231
142,0.502846
143,0.505154
144,0.508692
145,0.518
146,0.523769
147,0.522231
148,0.521923
149,0.519231
150,0.525846
151,0.526615
152,0.540615
153,0.534385
154,0.548846
155,0.540923
156,0.558923
157,0.548308
158,0.562615
159,0.556923
160,0.563154
161,0.577615
162,0.566231
163,0.577692
164,0.580615
165,0.575462
166,0.571538
167,0.564462
168,0.571692
169,0.58
170,0.577077
171,0.589615
172,0.587077
173,0.601154
174,0.587
175,0.594308
176,0.597846
177,0.613846
178,0.620846
179,0.617385
180,0.611385
181,0.612077
182,0.614
183,0.628615
184,0.619231
185,0.637846
186,0.632308
187,0.637385
188,0.637308
189,0.634231
190,0.620692
191,0.628538
192,0.628538
193,0.634538
194,0.621462
195,0.643
196,0.644231
197,0.651
198,0.649
199,0.646385
200,0.656
201,0.660462
202,0.676
203,0.674077
204,0.665462
205,0.683615
206,0.686462
207,0.668231
208,0.684769
209,0.679385
210,0.684308
211,0.678154
212,0.688846
213,0.700385
214,0.702308
215,0.705538
216,0.696692
217,0.688385
218,0.697538
219,0.694308
220,0.696077
221,0.704231
222,0.719538
223,0.706615
224,0.716769
225,0.710231
226,0.717538
227,0.730615
228,0.733615
229,0.731385
230,0.737462
231,0.728154
232,0.742846
233,0.738308
234,0.757538
235,0.756385
236,0.756154
237,0.756846
238,0.761385
239,0.758308
240,0.760385
241,0.760615
242,0.748846
243,0.764692
244,0.758385
245,0.766923
246,0.772692
247,0.774692
248,0.779
249,0.774231
250,0.781385
251,0.788769
252,0.792615
253,0.800615
254,0.794769
255,0.800923
256,0.800385
257,0.809846
258,0.803077
259,0.795846
260,0.809615
261,0.822385
262,0.816769
263,0.827231
264,0.817231
265,0.821538
266,0.826538
267,0.813846
268,0.817
269,0.816231
270,0.830923
271,0.835615
272,0.846615
273,0.836692
274,0.829077
275,0.848231
276,0.846385
277,0.867231
278,0.860385
279,0.857769
280,0.864462
281,0.876846
282,0.860615
283,0.874
284,0.869923
285,0.885538
286,0.875231
287,0.894154
288,0.882154
289,0.896077
290,0.898231
291,0.898615
292,0.884846
293,0.886
294,0.885846
295,0.901462
296,0.907077
297,0.910385
298,0.905077
299,0.892385
300,0.913385
301,0.922154
302,0.915462
303,0.931692
304,0.925846
305,0.929615
306,0.932615
307,0.929308
308,0.932692
309,0.936308
310,0.939231
311,0.944077
312,0.937923
313,0.950385
314,0.949923
315,0.944308
316,0.943462
317,0.944462
318,0.945385
319,0.964308
320,0.951308
321,0.960077
322,0.961385
323,0.954385
324,0.979385
325,0.973154
326,0.979462
327,0.985077
328,0.980846
329,0.988
330,0.985846
331,0.992769
332,0.997692
333,0.991308
334,1.00508
335,0.998615
336,1.00446
337,1.00223
338,1.00969
339,1.01546
340,1.00692
341,1.00015
342,1.00562
343,1.00223
344,1.02415
345,1.02854
346,1.01615
347,1.02492
348,1.03146
349,1.03308
350,1.04054
351,1.03569
352,1.03546
353,1.04015
354,1.04238
355,1.05731
356,1.03485
357,1.043
358,1.04677
359,1.06223
360,1.055
361,1.06285
362,1.05592
363,1.06446
364,1.05585
365,1.06731
366,1.05885
367,1.07177
368,1.08223
369,1.07708
370,1.08292
371,1.08677
372,1.08131
373,1.08385
374,1.09462
375,1.09315
376,1.09077
377,1.09362
378,1.10215
379,1.09354
380,1.10331
381,1.10877
382,1.10969
383,1.115
384,1.12123
385,1.12415
386,1.12246
387,1.12315
388,1.12262
389,1.11969
390,1.12715
391,1.138
392,1.12454
393,1.138
394,1.12854
395,1.15308
396,1.14046
397,1.14785
398,1.14569
399,1.15577
400,1.15108
401,1.16885
402,1.15131
403,1.17169
404,1.15992
405,1.17669
406,1.16469
407,1.18308
408,1.16731
409,1.18746
410,1.17777
411,1.181
412,1.18508
413,1.18377
414,1.19323
415,1.17915
416,1.18315
417,1.19377
418,1.19115
419,1.21131
420,1.21115
421,1.20423
422,1.20031
423,1.20523
424,1.21585
425,1.216
426,1.21892
427,1.22792
428,1.21885
429,1.22838
430,1.22692
431,1.24408
432,1.22208
433,1.215
434,1.242
435,1.24638
436,1.23538
437,1.23792
438,1.23985
439,1.24508
440,1.25654
441,1.25685
442,1.25654
443,1.25477
444,1.26077
445,1.26377
446,1.27315
447,1.26038
448,1.27162
449,1.27746
450,1.288
451,1.27546
452,1.28831
453,1.28108
454,1.27277
455,1.26246
456,1.29254
457,1.28046
458,1.295
459,1.27869
460,1.29585
461,1.27754
462,1.30192
463,1.29638
464,1.29423
465,1.30046
466,1.29931
467,1.31454
468,1.30438
469,1.31592
470,1.30631
471,1.31592
472,1.31777
473,1.32054
474,1.31877
475,1.33092
476,1.30862
477,1.32177
478,1.31662
479,1.33792
480,1.32954
481,1.34123
482,1.32646
483,1.351
484,1.34038
485,1.35015
486,1.33977
487,1.34738
488,1.35131
489,1.35515
490,1.35869
491,1.35869
492,1.36108
493,1.36592
494,1.359
495,1.37285
496,1.36831
497,1.37562
498,1.36769
499,1.38208
