<version>,<mean_time>,<total>
0,0.000346939,0.017
1,0.00204082,0.1
2,0.00261224,0.128
3,0.00393878,0.193
4,0.00469388,0.23
5,0.00810204,0.397
6,0.0082449,0.404
7,0.0100204,0.491
8,0.00877551,0.43
9,0.00979592,0.48
10,0.0104082,0.51
11,0.012898,0.632
12,0.0109388,0.536
13,0.0134082,0.657
14,0.0130612,0.64
15,0.0148163,0.726
16,0.0150408,0.737
17,0.0181633,0.89
18,0.0181224,0.888
19,0.0188776,0.925
20,0.0192041,0.941
21,0.0208571,1.022
22,0.0241633,1.184
23,0.0237959,1.166
24,0.0270408,1.325
25,0.024898,1.22
26,0.0256122,1.255
27,0.0271633,1.331
28,0.0282041,1.382
29,0.0282857,1.386
30,0.0302041,1.48
31,0.0310612,1.522
32,0.0322449,1.58
33,0.0355918,1.744
34,0.0315306,1.545
35,0.0337143,1.652
36,0.0343061,1.681
37,0.0382653,1.875
38,0.0376939,1.847
39,0.0401224,1.966
40,0.0401429,1.967
41,0.0400612,1.963
42,0.0405918,1.989
43,0.0451837,2.214
44,0.0477959,2.342
45,0.053102,2.602
46,0.0550816,2.699
47,0.0562653,2.757
48,0.0581224,2.848
49,0.0684286,3.353
50,0.0693061,3.396
51,0.072449,3.55
52,0.0706939,3.464
53,0.0743469,3.643
54,0.0795306,3.897
55,0.0818776,4.012
56,0.0837959,4.106
57,0.091,4.459
58,0.0918571,4.501
59,0.0926531,4.54
60,0.0970408,4.755
61,0.0957347,4.691
62,0.0987347,4.838
63,0.102041,5
64,0.101918,4.994
65,0.104531,5.122
66,0.110571,5.418
67,0.106224,5.205
68,0.110633,5.421
69,0.116082,5.688
70,0.116735,5.72
71,0.117388,5.752
72,0.120265,5.893
73,0.117755,5.77
74,0.124306,6.091
75,0.128367,6.29
76,0.132469,6.491
77,0.134469,6.589
78,0.134388,6.585
79,0.134041,6.568
80,0.139347,6.828
81,0.133306,6.532
82,0.140408,6.88
83,0.143082,7.011
84,0.140429,6.881
85,0.144735,7.092
86,0.155041,7.597
87,0.14898,7.3
88,0.157224,7.704
89,0.158796,7.781
90,0.157388,7.712
91,0.162898,7.982
92,0.160082,7.844
93,0.164531,8.062
94,0.170857,8.372
95,0.167837,8.224
96,0.171429,8.4
97,0.176122,8.63
98,0.173612,8.507
99,0.175673,8.608
100,0.18151,8.894
101,0.179163,8.779
102,0.186102,9.119
103,0.182184,8.927
104,0.186612,9.144
105,0.194408,9.526
106,0.191796,9.398
107,0.19298,9.456
108,0.19349,9.481
109,0.194041,9.508
110,0.191939,9.405
111,0.20149,9.873
112,0.204306,10.011
113,0.205163,10.053
114,0.208224,10.203
115,0.209612,10.271
116,0.211612,10.369
117,0.215449,10.557
118,0.215653,10.567
119,0.221694,10.863
120,0.21998,10.779
121,0.219265,10.744
122,0.221408,10.849
123,0.231857,11.361
124,0.237245,11.625
125,0.234571,11.494
126,0.232755,11.405
127,0.239286,11.725
128,0.23802,11.663
129,0.24498,12.004
130,0.240367,11.778
131,0.249571,12.229
132,0.246408,12.074
133,0.25098,12.298
134,0.254469,12.469
135,0.258224,12.653
136,0.262245,12.85
137,0.255878,12.538
138,0.262816,12.878
139,0.268388,13.151
140,0.269184,13.19
141,0.269245,13.193
142,0.270878,13.273
143,0.276469,13.547
144,0.273714,13.412
145,0.273878,13.42
146,0.279612,13.701
147,0.276592,13.553
148,0.28351,13.892
149,0.286592,14.043
150,0.290306,14.225
151,0.291429,14.28
152,0.28649,14.038
153,0.290653,14.242
154,0.290959,14.257
155,0.295,14.455
156,0.294347,14.423
157,0.296592,14.533
158,0.298694,14.636
159,0.301755,14.786
160,0.30251,14.823
161,0.308776,15.13
162,0.312388,15.307
163,0.322122,15.784
164,0.321469,15.752
165,0.315347,15.452
166,0.317449,15.555
167,0.319796,15.67
168,0.325367,15.943
169,0.324306,15.891
170,0.321592,15.758
171,0.32398,15.875
172,0.32202,15.779
173,0.324102,15.881
174,0.32851,16.097
175,0.327041,16.025
176,0.329673,16.154
177,0.330571,16.198
178,0.336286,16.478
179,0.333163,16.325
180,0.336592,16.493
181,0.336592,16.493
182,0.342122,16.764
183,0.340184,16.669
184,0.343327,16.823
185,0.341816,16.749
186,0.339959,16.658
187,0.345449,16.927
188,0.345102,16.91
189,0.348061,17.055
190,0.352061,17.251
191,0.352776,17.286
192,0.357143,17.5
193,0.363265,17.8
194,0.359388,17.61
195,0.361224,17.7
196,0.364,17.836
197,0.365327,17.901
198,0.365143,17.892
199,0.369653,18.113
200,0.364551,17.863
201,0.371837,18.22
202,0.372245,18.24
203,0.372102,18.233
204,0.374714,18.361
205,0.375163,18.383
206,0.378265,18.535
207,0.375286,18.389
208,0.380143,18.627
209,0.379122,18.577
210,0.387694,18.997
211,0.383531,18.793
212,0.389816,19.101
213,0.389776,19.099
214,0.397612,19.483
215,0.396347,19.421
216,0.402959,19.745
217,0.400551,19.627
218,0.405531,19.871
219,0.402837,19.739
220,0.402735,19.734
221,0.40251,19.723
222,0.405347,19.862
223,0.402878,19.741
224,0.408633,20.023
225,0.412367,20.206
226,0.412551,20.215
227,0.41351,20.262
228,0.408959,20.039
229,0.419327,20.547
230,0.417061,20.436
231,0.423878,20.77
232,0.423776,20.765
233,0.422592,20.707
234,0.422041,20.68
235,0.425041,20.827
236,0.429776,21.059
237,0.427347,20.94
238,0.425061,20.828
239,0.426653,20.906
240,0.428633,21.003
241,0.434204,21.276
242,0.433612,21.247
243,0.43202,21.169
244,0.438755,21.499
245,0.433918,21.262
246,0.435796,21.354
247,0.437857,21.455
248,0.444551,21.783
249,0.447612,21.933
250,0.448633,21.983
251,0.44749,21.927
252,0.452408,22.168
253,0.454184,22.255
254,0.445653,21.837
255,0.453224,22.208
256,0.449102,22.006
