versionstart,versionend,ms
0,0,0.388449
0,1,0.371286
0,2,0.378245
0,3,0.37149
0,4,0.372796
0,5,0.371184
0,6,0.370959
0,7,0.373184
0,8,0.373122
0,9,0.370327
0,10,0.370816
0,11,0.369898
0,12,0.370571
0,13,0.368878
0,14,0.387429
0,15,0.370449
0,16,0.369878
0,17,0.370347
0,18,0.371469
0,19,0.369184
0,20,0.371184
0,21,0.374714
0,22,0.372306
0,23,0.368449
0,24,0.371286
0,25,0.372776
0,26,0.371327
0,27,0.371714
0,28,0.372735
0,29,0.371898
0,30,0.388347
0,31,0.36702
0,32,0.370265
0,33,0.370571
0,34,0.372245
0,35,0.367571
0,36,0.374061
0,37,0.374898
0,38,0.372776
0,39,0.371204
0,40,0.371082
0,41,0.370633
0,42,0.375633
0,43,0.369224
0,44,0.371041
0,45,0.370286
0,46,0.372898
0,47,0.372102
0,48,0.371347
0,49,0.370184
0,50,0.371796
0,51,0.372592
0,52,0.372735
0,53,0.376633
0,54,0.376612
0,55,0.378918
0,56,0.376959
0,57,0.37898
0,58,0.381143
0,59,0.377796
0,60,0.376347
0,61,0.379408
0,62,0.382776
0,63,0.387633
0,64,0.378082
0,65,0.377633
0,66,0.374
0,67,0.379571
0,68,0.378449
0,69,0.379694
0,70,0.379163
0,71,0.377122
0,72,0.375347
0,73,0.379286
0,74,0.378878
0,75,0.379041
0,76,0.376286
0,77,0.38
0,78,0.378633
0,79,0.377633
0,80,0.378939
0,81,0.383429
0,82,0.382408
0,83,0.382857
0,84,0.386816
0,85,0.386796
0,86,0.388245
0,87,0.384286
0,88,0.385306
0,89,0.382776
0,90,0.382837
0,91,0.381653
0,92,0.380918
0,93,0.381286
0,94,0.389694
0,95,0.379143
0,96,0.381694
0,97,0.38098
0,98,0.384959
0,99,0.381429
0,100,0.382918
0,101,0.387327
0,102,0.384082
0,103,0.380612
0,104,0.389755
0,105,0.381245
0,106,0.386633
0,107,0.386612
0,108,0.390653
0,109,0.388714
0,110,0.384755
0,111,0.390388
0,112,0.387878
0,113,0.390898
0,114,0.386347
0,115,0.387755
0,116,0.383143
0,117,0.381122
0,118,0.385612
0,119,0.387469
0,120,0.386796
0,121,0.384143
0,122,0.384633
0,123,0.386245
0,124,0.380633
0,125,0.384347
0,126,0.384122
0,127,0.387531
0,128,0.386878
0,129,0.387939
0,130,0.393102
0,131,0.384612
0,132,0.386327
0,133,0.392776
0,134,0.383163
0,135,0.387184
0,136,0.387327
0,137,0.386245
0,138,0.383347
0,139,0.383082
0,140,0.382796
0,141,0.384388
0,142,0.38551
0,143,0.38551
0,144,0.389939
0,145,0.388122
0,146,0.389102
0,147,0.384327
0,148,0.387204
0,149,0.385531
0,150,0.386306
0,151,0.388571
0,152,0.390082
0,153,0.386204
0,154,0.392245
0,155,0.388347
0,156,0.391429
0,157,0.387388
0,158,0.401347
0,159,0.385388
0,160,0.389633
0,161,0.391
0,162,0.391184
0,163,0.391184
0,164,0.386571
0,165,0.385714
0,166,0.388408
0,167,0.385184
0,168,0.385245
0,169,0.389
0,170,0.387388
0,171,0.38498
0,172,0.388551
0,173,0.392163
0,174,0.391265
0,175,0.387224
0,176,0.387
0,177,0.392122
0,178,0.387184
0,179,0.38602
0,180,0.38849
0,181,0.388714
0,182,0.385388
0,183,0.386122
0,184,0.385449
0,185,0.387245
0,186,0.390837
0,187,0.390694
0,188,0.390204
0,189,0.389571
0,190,0.387592
0,191,0.392184
0,192,0.392204
0,193,0.389224
0,194,0.391735
0,195,0.387122
0,196,0.389633
0,197,0.391551
0,198,0.397286
0,199,0.392959
0,200,0.391224
0,201,0.38902
0,202,0.391531
0,203,0.388102
0,204,0.393878
0,205,0.394327
0,206,0.390653
0,207,0.391388
0,208,0.391592
0,209,0.389306
0,210,0.390388
0,211,0.389633
0,212,0.394347
0,213,0.391694
0,214,0.392571
0,215,0.390714
0,216,0.389755
0,217,0.393388
0,218,0.399673
0,219,0.393673
0,220,0.396571
0,221,0.391918
0,222,0.389939
0,223,0.389592
0,224,0.397122
0,225,0.396306
0,226,0.392714
0,227,0.396898
0,228,0.392612
0,229,0.390061
0,230,0.396551
0,231,0.395837
0,232,0.396816
0,233,0.394122
0,234,0.394449
0,235,0.395163
0,236,0.394469
0,237,0.392612
0,238,0.395184
0,239,0.393449
0,240,0.393653
0,241,0.395653
0,242,0.395469
0,243,0.394551
0,244,0.393571
0,245,0.393796
0,246,0.398755
0,247,0.395551
0,248,0.396388
0,249,0.397714
0,250,0.394694
0,251,0.397837
0,252,0.397122
0,253,0.396612
0,254,0.39698
0,255,0.398633
0,256,0.400082
0,257,0.39749
0,258,0.414755
0,259,0.395102
0,260,0.397837
0,261,0.395837
0,262,0.396122
0,263,0.400633
0,264,0.398143
0,265,0.39798
0,266,0.396184
0,267,0.39598
0,268,0.392204
0,269,0.395898
0,270,0.394143
0,271,0.393837
0,272,0.39798
0,273,0.397204
0,274,0.39751
0,275,0.397776
0,276,0.390408
0,277,0.398816
0,278,0.397735
0,279,0.400449
0,280,0.398714
0,281,0.400694
0,282,0.396714
0,283,0.399245
0,284,0.399551
0,285,0.396653
0,286,0.402612
0,287,0.405347
0,288,0.399918
0,289,0.401327
0,290,0.402735
0,291,0.397796
0,292,0.398408
0,293,0.39551
0,294,0.399429
0,295,0.39902
0,296,0.397286
0,297,0.399571
0,298,0.398408
0,299,0.396
0,300,0.397612
0,301,0.395939
0,302,0.398531
0,303,0.394694
0,304,0.40102
0,305,0.400918
0,306,0.396673
0,307,0.399245
0,308,0.398429
0,309,0.398245
0,310,0.404408
0,311,0.403816
0,312,0.397837
0,313,0.402449
0,314,0.398694
0,315,0.398184
0,316,0.399102
0,317,0.402041
0,318,0.397061
0,319,0.402122
0,320,0.40302
0,321,0.400367
0,322,0.396265
0,323,0.399388
0,324,0.401408
0,325,0.404082
0,326,0.402776
0,327,0.405327
0,328,0.423143
0,329,0.398408
0,330,0.40151
0,331,0.40051
0,332,0.398163
0,333,0.401776
0,334,0.404306
0,335,0.405367
0,336,0.401735
0,337,0.398286
0,338,0.398041
0,339,0.40402
0,340,0.405816
0,341,0.395673
0,342,0.401857
0,343,0.402143
0,344,0.396347
0,345,0.403816
0,346,0.402939
0,347,0.398592
0,348,0.398694
0,349,0.398
0,350,0.399
0,351,0.402102
0,352,0.400449
0,353,0.396551
0,354,0.399898
0,355,0.399673
0,356,0.398755
0,357,0.40098
0,358,0.401837
0,359,0.398918
0,360,0.399796
0,361,0.398653
0,362,0.397531
0,363,0.398939
0,364,0.39451
0,365,0.398082
0,366,0.396224
0,367,0.401286
0,368,0.398918
0,369,0.397388
0,370,0.399204
0,371,0.39949
0,372,0.425531
0,373,0.403041
0,374,0.402
0,375,0.398878
0,376,0.401204
0,377,0.396367
0,378,0.397898
0,379,0.402
0,380,0.398347
0,381,0.400857
0,382,0.39702
0,383,0.398714
0,384,0.400694
0,385,0.400837
0,386,0.399796
0,387,0.399694
0,388,0.397327
0,389,0.395429
0,390,0.397224
0,391,0.39598
0,392,0.40249
0,393,0.39549
0,394,0.398592
0,395,0.39551
0,396,0.394306
0,397,0.395592
0,398,0.397327
0,399,0.396633
0,400,0.39351
0,401,0.398612
0,402,0.400776
0,403,0.397286
0,404,0.392347
0,405,0.399633
0,406,0.39651
0,407,0.394816
0,408,0.393082
0,409,0.403551
0,410,0.398878
0,411,0.399918
0,412,0.396082
0,413,0.398735
0,414,0.412857
0,415,0.394449
0,416,0.403796
0,417,0.396143
0,418,0.397714
0,419,0.40202
0,420,0.399653
0,421,0.398306
0,422,0.401714
0,423,0.397306
0,424,0.399082
0,425,0.402714
0,426,0.396143
0,427,0.400082
0,428,0.395735
0,429,0.398429
0,430,0.395694
0,431,0.4
0,432,0.397102
0,433,0.399265
0,434,0.400184
0,435,0.398837
0,436,0.400061
0,437,0.398816
0,438,0.405224
0,439,0.404469
0,440,0.401633
0,441,0.402061
0,442,0.400735
0,443,0.409653
0,444,0.406041
0,445,0.405408
0,446,0.404102
0,447,0.409143
0,448,0.401714
0,449,0.401959
0,450,0.403245
0,451,0.402204
0,452,0.406224
0,453,0.401265
0,454,0.401286
0,455,0.404184
0,456,0.405776
0,457,0.407816
0,458,0.402898
0,459,0.405122
0,460,0.400347
0,461,0.40402
0,462,0.401143
0,463,0.407
0,464,0.403449
0,465,0.402163
0,466,0.402714
0,467,0.403796
0,468,0.404245
0,469,0.400286
0,470,0.403551
0,471,0.405857
0,472,0.404224
0,473,0.402837
0,474,0.405837
0,475,0.403837
0,476,0.410449
0,477,0.408204
0,478,0.406204
0,479,0.403592
0,480,0.408143
0,481,0.405551
0,482,0.402898
0,483,0.403612
0,484,0.402429
0,485,0.400878
0,486,0.406633
0,487,0.404469
0,488,0.405265
0,489,0.408429
0,490,0.403469
0,491,0.405571
0,492,0.407531
0,493,0.405714
0,494,0.407122
0,495,0.405408
0,496,0.405143
0,497,0.407571
0,498,0.40451
0,499,0.405898
0,500,0.410816
0,501,0.409449
0,502,0.411469
0,503,0.403102
0,504,0.409
0,505,0.403224
0,506,0.404265
0,507,0.406592
0,508,0.41198
0,509,0.411327
0,510,0.409612
0,511,0.410592
