patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,525,392,319,316,316,0,0,0,0
0,1,500,520,347,336,334,332,0,0,0,0
0,2,0,549,324,320,314,314,0,0,0,0
0,2,500,517,359,333,332,332,0,0,0,0
0,3,0,527,342,319,316,316,0,0,0,0
0,3,500,529,358,336,336,334,0,0,0,0
1,3,0,875,680,675,672,672,0,0,0,0
1,3,500,876,697,692,693,693,0,0,0,0
0,4,0,516,338,317,315,317,0,0,0,0
0,4,500,481,338,334,334,399,0,0,0,0
2,4,0,878,675,678,670,669,0,0,0,0
2,4,500,869,694,688,692,690,0,0,0,0
0,5,0,528,338,315,316,312,0,0,0,0
0,5,500,534,343,338,333,332,0,0,0,0
2,5,0,871,692,672,674,679,0,0,0,0
2,5,500,866,747,692,696,728,0,0,0,0
0,6,0,506,344,320,314,315,0,0,0,0
0,6,500,526,356,335,334,350,0,0,0,0
3,6,0,886,676,677,675,677,0,0,0,0
3,6,500,872,692,693,690,693,0,0,0,0
0,7,0,525,357,318,316,314,0,0,0,0
0,7,500,529,354,336,333,331,0,0,0,0
3,7,0,869,740,669,684,668,0,0,0,0
3,7,500,860,727,690,687,686,0,0,0,0
0,8,0,525,338,315,314,347,0,0,0,0
0,8,500,524,355,333,331,330,0,0,0,0
4,8,0,870,674,709,694,673,0,0,0,0
4,8,500,877,701,695,730,695,0,0,0,0
0,9,0,528,345,321,316,317,0,0,0,0
0,9,500,525,377,336,335,335,0,0,0,0
4,9,0,874,678,678,730,677,0,0,0,0
4,9,500,874,695,693,690,728,0,0,0,0
0,10,0,529,340,320,314,313,0,0,0,0
0,10,500,538,342,333,332,404,0,0,0,0
5,10,0,871,673,675,670,686,0,0,0,0
5,10,500,866,697,692,697,697,0,0,0,0
0,11,0,548,328,319,315,315,0,0,0,0
0,11,500,520,359,335,335,333,0,0,0,0
5,11,0,879,676,675,672,672,0,0,0,0
5,11,500,877,699,697,693,692,0,0,0,0
0,12,0,529,340,319,321,317,0,0,0,0
0,12,500,541,349,340,335,335,0,0,0,0
6,12,0,876,682,680,674,673,0,0,0,0
6,12,500,871,694,696,691,692,0,0,0,0
0,13,0,538,325,315,314,314,0,0,0,0
0,13,500,539,346,334,330,331,0,0,0,0
6,13,0,863,675,675,676,671,0,0,0,0
6,13,500,876,692,695,693,711,0,0,0,0
0,14,0,518,341,319,316,315,0,0,0,0
0,14,500,538,344,336,334,337,0,0,0,0
7,14,0,872,678,675,674,674,0,0,0,0
7,14,500,881,696,691,692,690,0,0,0,0
0,15,0,530,406,316,313,313,0,0,0,0
0,15,500,531,343,333,332,331,0,0,0,0
7,15,0,896,675,687,672,671,0,0,0,0
7,15,500,891,767,767,768,765,0,0,0,0
0,16,0,528,363,359,352,352,0,0,0,0
0,16,500,534,382,373,373,370,0,0,0,0
8,16,0,900,754,746,743,745,0,0,0,0
8,16,500,895,771,765,764,766,0,0,0,0
0,17,0,527,360,351,352,350,0,0,0,0
0,17,500,529,380,371,368,370,0,0,0,0
8,17,0,896,750,739,737,735,0,0,0,0
8,17,500,871,766,762,784,764,0,0,0,0
0,18,0,527,359,349,351,348,0,0,0,0
0,18,500,527,378,369,367,366,0,0,0,0
9,18,0,892,751,744,744,743,0,0,0,0
9,18,500,891,774,776,772,771,0,0,0,0
0,19,0,529,359,347,345,350,0,0,0,0
0,19,500,531,377,367,367,367,0,0,0,0
9,19,0,892,744,749,744,740,0,0,0,0
9,19,500,892,765,764,762,780,0,0,0,0
0,20,0,525,360,351,349,366,0,0,0,0
0,20,500,539,379,371,371,369,0,0,0,0
10,20,0,896,743,770,740,739,0,0,0,0
10,20,500,892,766,766,765,765,0,0,0,0
0,21,0,531,361,349,347,347,0,0,0,0
0,21,500,535,378,369,370,371,0,0,0,0
10,21,0,903,748,753,674,680,0,0,0,0
10,21,500,888,700,697,694,691,0,0,0,0
0,22,0,543,323,314,311,311,0,0,0,0
0,22,500,539,403,365,363,366,0,0,0,0
11,22,0,887,741,740,742,737,0,0,0,0
11,22,500,888,766,768,800,766,0,0,0,0
0,23,0,531,363,350,349,349,0,0,0,0
0,23,500,527,381,371,368,367,0,0,0,0
11,23,0,896,746,745,748,740,0,0,0,0
11,23,500,895,767,763,767,769,0,0,0,0
0,24,0,528,362,350,348,349,0,0,0,0
0,24,500,531,383,401,369,369,0,0,0,0
12,24,0,895,749,746,751,743,0,0,0,0
12,24,500,895,762,760,774,769,0,0,0,0
0,25,0,527,360,350,346,348,0,0,0,0
0,25,500,518,377,387,378,364,0,0,0,0
12,25,0,817,693,728,673,709,0,0,0,0
12,25,500,882,692,689,690,696,0,0,0,0
0,26,0,546,324,315,312,312,0,0,0,0
0,26,500,540,375,366,364,364,0,0,0,0
13,26,0,897,744,743,742,741,0,0,0,0
13,26,500,900,698,695,692,696,0,0,0,0
0,27,0,552,330,316,314,314,0,0,0,0
0,27,500,539,378,368,368,367,0,0,0,0
13,27,0,899,746,739,738,741,0,0,0,0
13,27,500,895,787,762,772,769,0,0,0,0
0,28,0,531,360,348,344,345,0,0,0,0
0,28,500,530,376,369,365,366,0,0,0,0
14,28,0,894,758,757,755,753,0,0,0,0
14,28,500,897,766,763,763,758,0,0,0,0
0,29,0,526,366,356,349,346,0,0,0,0
0,29,500,528,379,370,369,366,0,0,0,0
14,29,0,891,797,763,744,742,0,0,0,0
14,29,500,903,773,769,761,761,0,0,0,0
0,30,0,528,357,352,349,345,0,0,0,0
0,30,500,528,375,366,364,365,0,0,0,0
15,30,0,890,747,743,740,788,0,0,0,0
15,30,500,901,772,765,768,763,0,0,0,0
0,31,0,527,363,353,350,347,0,0,0,0
0,31,500,531,381,369,370,370,0,0,0,0
15,31,0,894,753,743,745,739,0,0,0,0
15,31,500,892,771,762,763,760,0,0,0,0
0,32,0,526,359,350,351,347,0,0,0,0
0,32,500,530,378,371,367,368,0,0,0,0
16,32,0,896,749,740,739,738,0,0,0,0
16,32,500,891,773,791,765,767,0,0,0,0
0,33,0,530,361,352,353,350,0,0,0,0
0,33,500,530,383,373,372,371,0,0,0,0
16,33,0,899,756,748,746,745,0,0,0,0
16,33,500,899,776,795,770,774,0,0,0,0
0,34,0,532,365,357,359,354,0,0,0,0
0,34,500,536,385,377,374,377,0,0,0,0
17,34,0,906,760,745,738,737,0,0,0,0
17,34,500,891,767,761,766,766,0,0,0,0
0,35,0,532,362,352,350,353,0,0,0,0
0,35,500,534,383,372,371,371,0,0,0,0
17,35,0,901,751,749,745,742,0,0,0,0
17,35,500,897,768,770,767,766,0,0,0,0
0,36,0,529,363,351,350,354,0,0,0,0
0,36,500,532,382,374,371,371,0,0,0,0
18,36,0,899,751,749,744,741,0,0,0,0
18,36,500,897,764,767,761,763,0,0,0,0
0,37,0,529,356,347,345,349,0,0,0,0
0,37,500,527,376,367,366,366,0,0,0,0
18,37,0,894,754,754,750,749,0,0,0,0
18,37,500,891,763,768,761,759,0,0,0,0
0,38,0,529,356,347,346,347,0,0,0,0
0,38,500,535,380,369,367,367,0,0,0,0
19,38,0,899,743,770,762,742,0,0,0,0
19,38,500,891,763,768,766,761,0,0,0,0
0,39,0,526,359,351,348,346,0,0,0,0
0,39,500,532,390,376,373,374,0,0,0,0
19,39,0,891,747,747,742,742,0,0,0,0
19,39,500,892,765,767,761,764,0,0,0,0
0,40,0,528,356,348,350,345,0,0,0,0
