patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,839,648,607,605,604,0,0,0,0
0,1,500,809,681,634,629,628,0,0,0,0
0,2,0,811,623,637,600,600,0,0,0,0
0,2,500,834,708,694,722,694,0,0,0,0
0,3,0,831,664,662,678,676,0,0,0,0
0,3,500,848,694,693,693,724,0,0,0,0
1,3,0,1531,1375,1402,1371,1372,0,0,0,0
1,3,500,1475,1230,1228,1263,1229,0,0,0,0
0,4,0,783,636,604,636,601,0,0,0,0
0,4,500,810,648,629,631,666,0,0,0,0
2,4,0,1511,1329,1354,1325,1322,0,0,0,0
2,4,500,1541,1353,1350,1383,1354,0,0,0,0
0,5,0,829,666,695,665,660,0,0,0,0
0,5,500,836,698,731,696,692,0,0,0,0
2,5,0,1494,1358,1328,1323,1352,0,0,0,0
2,5,500,1520,1356,1383,1353,1351,0,0,0,0
0,6,0,842,685,668,665,663,0,0,0,0
0,6,500,799,690,632,633,632,0,0,0,0
3,6,0,1400,1207,1200,1201,1201,0,0,0,0
3,6,500,1444,1229,1231,1228,1234,0,0,0,0
0,7,0,784,614,610,606,607,0,0,0,0
0,7,500,797,644,636,634,629,0,0,0,0
3,7,0,1424,1212,1212,1206,1199,0,0,0,0
3,7,500,1443,1236,1228,1237,1228,0,0,0,0
0,8,0,783,637,612,607,611,0,0,0,0
0,8,500,790,656,633,642,631,0,0,0,0
4,8,0,1523,1331,1326,1324,1323,0,0,0,0
4,8,500,1460,1235,1232,1267,1238,0,0,0,0
0,9,0,843,695,679,673,679,0,0,0,0
0,9,500,841,727,704,709,710,0,0,0,0
4,9,0,1544,1350,1335,1336,1341,0,0,0,0
4,9,500,1532,1364,1360,1363,1358,0,0,0,0
0,10,0,831,627,606,609,608,0,0,0,0
0,10,500,821,643,641,632,634,0,0,0,0
5,10,0,1435,1216,1212,1206,1205,0,0,0,0
5,10,500,1517,1372,1363,1363,1358,0,0,0,0
0,11,0,863,681,670,664,674,0,0,0,0
0,11,500,850,725,726,705,696,0,0,0,0
5,11,0,1451,1211,1202,1207,1203,0,0,0,0
5,11,500,1430,1237,1235,1232,1240,0,0,0,0
0,12,0,843,683,670,666,668,0,0,0,0
0,12,500,858,717,713,701,695,0,0,0,0
6,12,0,1527,1333,1332,1330,1333,0,0,0,0
6,12,500,1539,1362,1361,1355,1363,0,0,0,0
0,13,0,856,685,671,667,669,0,0,0,0
0,13,500,848,720,701,687,665,0,0,0,0
6,13,0,1442,1207,1204,1217,1206,0,0,0,0
6,13,500,1436,1238,1241,1230,1242,0,0,0,0
0,14,0,843,688,675,674,674,0,0,0,0
0,14,500,860,717,701,700,702,0,0,0,0
7,14,0,1534,1330,1334,1336,1324,0,0,0,0
7,14,500,1541,1370,1356,1358,1358,0,0,0,0
0,15,0,849,670,672,667,672,0,0,0,0
0,15,500,843,705,698,703,701,0,0,0,0
7,15,0,1533,1331,1329,1331,1325,0,0,0,0
7,15,500,1552,1359,1361,1361,1359,0,0,0,0
0,16,0,803,637,612,604,605,0,0,0,0
0,16,500,799,652,635,642,631,0,0,0,0
8,16,0,1433,1204,1213,1198,1203,0,0,0,0
8,16,500,1458,1230,1230,1229,1230,0,0,0,0
0,17,0,781,626,605,611,610,0,0,0,0
0,17,500,814,651,635,633,637,0,0,0,0
8,17,0,1410,1203,1214,1208,1200,0,0,0,0
8,17,500,1500,1370,1357,1364,1355,0,0,0,0
0,18,0,845,689,669,672,672,0,0,0,0
0,18,500,786,658,644,634,638,0,0,0,0
9,18,0,1445,1216,1210,1208,1204,0,0,0,0
