patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,1105,840,829,827,827,0,0,0,0
0,1,500,1016,905,853,854,853,0,0,0,0
0,2,0,1028,825,825,824,829,0,0,0,0
0,2,500,974,849,846,847,853,0,0,0,0
0,3,0,1012,829,825,824,828,0,0,0,0
0,3,500,1028,848,847,852,846,0,0,0,0
1,3,0,1860,1639,1638,1637,1636,0,0,0,0
1,3,500,1848,1663,1658,1659,1657,0,0,0,0
0,4,0,983,827,830,825,824,0,0,0,0
0,4,500,978,852,845,845,844,0,0,0,0
2,4,0,1898,1640,1653,1734,1633,0,0,0,0
2,4,500,1904,1663,1694,1657,1659,0,0,0,0
0,5,0,1070,825,824,825,861,0,0,0,0
0,5,500,1050,846,847,853,886,0,0,0,0
2,5,0,1875,1668,1631,1625,1665,0,0,0,0
2,5,500,1866,1687,1651,1684,1657,0,0,0,0
0,6,0,1055,833,835,832,828,0,0,0,0
0,6,500,974,858,846,846,853,0,0,0,0
3,6,0,1824,1644,1636,1720,1633,0,0,0,0
3,6,500,1869,1663,1654,1650,1658,0,0,0,0
0,7,0,1034,828,825,823,827,0,0,0,0
0,7,500,1042,847,847,852,857,0,0,0,0
3,7,0,1892,1638,1632,1631,1641,0,0,0,0
3,7,500,1867,1661,1660,1663,1661,0,0,0,0
0,8,0,1042,837,841,834,834,0,0,0,0
0,8,500,1040,849,851,849,848,0,0,0,0
4,8,0,1898,1645,1639,1644,1637,0,0,0,0
4,8,500,1884,1660,1661,1665,1664,0,0,0,0
0,9,0,1063,829,826,825,834,0,0,0,0
0,9,500,1050,848,846,846,849,0,0,0,0
4,9,0,1872,1640,1646,1631,1636,0,0,0,0
4,9,500,1864,1660,1650,1651,1655,0,0,0,0
0,10,0,1066,835,832,839,838,0,0,0,0
0,10,500,1065,849,849,851,853,0,0,0,0
5,10,0,1871,1635,1625,1632,1628,0,0,0,0
5,10,500,1886,1654,1653,1655,1657,0,0,0,0
0,11,0,1049,839,834,832,843,0,0,0,0
0,11,500,1044,852,848,847,846,0,0,0,0
5,11,0,1873,1636,1632,1637,1636,0,0,0,0
5,11,500,1872,1657,1654,1656,1658,0,0,0,0
0,12,0,1060,829,830,833,835,0,0,0,0
0,12,500,1035,856,855,852,847,0,0,0,0
6,12,0,1869,1643,1635,1645,1637,0,0,0,0
6,12,500,1875,1666,1647,1658,1656,0,0,0,0
0,13,0,1064,834,829,825,834,0,0,0,0
0,13,500,1051,860,853,854,854,0,0,0,0
6,13,0,1888,1633,1631,1639,1640,0,0,0,0
6,13,500,1880,1663,3061,1660,1649,0,0,0,0
0,14,0,1042,831,831,827,824,0,0,0,0
0,14,500,1039,850,848,847,846,0,0,0,0
7,14,0,1879,1628,1628,1630,1632,0,0,0,0
7,14,500,1869,1660,1653,1652,1645,0,0,0,0
0,15,0,1044,829,828,825,829,0,0,0,0
0,15,500,1029,858,851,848,853,0,0,0,0
7,15,0,1853,1631,1644,1631,1634,0,0,0,0
7,15,500,1884,1666,1650,1656,1654,0,0,0,0
0,16,0,1046,836,834,836,826,0,0,0,0
0,16,500,1056,855,858,855,850,0,0,0,0
8,16,0,1907,1638,1632,1629,1628,0,0,0,0
8,16,500,1873,1650,1654,1660,1650,0,0,0,0
0,17,0,1039,835,830,831,829,0,0,0,0
0,17,500,1044,853,850,851,850,0,0,0,0
8,17,0,1873,1708,1684,1644,1663,0,0,0,0
8,17,500,1885,1659,1690,1651,1687,0,0,0,0
0,18,0,1069,833,832,866,833,0,0,0,0
0,18,500,1044,856,940,852,852,0,0,0,0
9,18,0,1819,1655,1649,1650,1645,0,0,0,0
9,18,500,1783,1663,1653,1682,1645,0,0,0,0
0,19,0,1041,859,827,827,832,0,0,0,0
0,19,500,1077,854,853,851,845,0,0,0,0
9,19,0,1905,1659,1651,1642,1636,0,0,0,0
9,19,500,1868,1654,1656,1652,1656,0,0,0,0
0,20,0,1045,829,826,830,828,0,0,0,0
