patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,26,10,9,8,20,0,0,0,0
0,500,21,9,9,9,9,0,0,0,0
1,0,2150,603,579,583,577,0,0,0,0
1,500,743,602,598,597,600,0,0,0,0
2,0,696,527,525,521,520,0,0,0,0
2,500,752,546,548,545,543,0,0,0,0
3,0,758,527,529,520,525,0,0,0,0
3,500,745,548,542,538,539,0,0,0,0
4,0,759,527,523,521,520,0,0,0,0
4,500,755,543,542,537,536,0,0,0,0
5,0,729,523,520,518,517,0,0,0,0
5,500,731,550,538,535,535,0,0,0,0
6,0,749,525,515,514,514,0,0,0,0
6,500,758,594,589,590,586,0,0,0,0
7,0,693,518,514,511,510,0,0,0,0
7,500,704,538,532,531,532,0,0,0,0
8,0,729,520,517,514,510,0,0,0,0
8,500,754,595,587,587,590,0,0,0,0
9,0,735,525,514,511,528,0,0,0,0
9,500,746,568,534,532,532,0,0,0,0
10,0,750,522,515,549,515,0,0,0,0
10,500,759,592,586,586,613,0,0,0,0
11,0,710,516,513,510,512,0,0,0,0
11,500,721,573,535,530,530,0,0,0,0
12,0,729,518,515,547,513,0,0,0,0
12,500,756,591,585,584,584,0,0,0,0
13,0,700,520,515,512,518,0,0,0,0
13,500,712,545,572,536,535,0,0,0,0
14,0,729,526,520,519,552,0,0,0,0
14,500,712,549,536,536,535,0,0,0,0
15,0,700,563,520,519,518,0,0,0,0
15,500,705,544,535,569,535,0,0,0,0
16,0,693,530,518,517,515,0,0,0,0
16,500,734,537,535,533,532,0,0,0,0
17,0,731,519,547,514,512,0,0,0,0
17,500,724,534,531,530,615,0,0,0,0
18,0,717,524,513,511,513,0,0,0,0
18,500,699,582,533,530,529,0,0,0,0
19,0,716,527,517,548,515,0,0,0,0
19,500,717,537,533,533,531,0,0,0,0
20,0,715,520,516,512,511,0,0,0,0
20,500,714,539,567,532,532,0,0,0,0
21,0,704,526,517,513,545,0,0,0,0
21,500,704,546,533,531,531,0,0,0,0
22,0,706,557,514,513,512,0,0,0,0
22,500,714,538,533,568,534,0,0,0,0
23,0,721,522,514,511,509,0,0,0,0
23,500,727,535,530,529,529,0,0,0,0
24,0,716,524,549,511,511,0,0,0,0
24,500,717,543,532,531,566,0,0,0,0
25,0,716,519,515,511,511,0,0,0,0
25,500,721,571,532,530,529,0,0,0,0
26,0,713,517,511,533,527,0,0,0,0
26,500,723,535,531,530,530,0,0,0,0
27,0,776,518,514,515,513,0,0,0,0
27,500,716,541,536,529,531,0,0,0,0
28,0,707,527,514,510,511,0,0,0,0
28,500,702,545,535,533,533,0,0,0,0
29,0,708,532,515,515,513,0,0,0,0
29,500,701,548,535,532,534,0,0,0,0
30,0,725,516,510,514,511,0,0,0,0
30,500,715,547,533,529,530,0,0,0,0
31,0,717,519,516,517,515,0,0,0,0
31,500,726,538,529,529,532,0,0,0,0
32,0,736,522,516,513,510,0,0,0,0
32,500,714,539,541,535,533,0,0,0,0
33,0,720,528,514,511,515,0,0,0,0
33,500,715,544,534,533,533,0,0,0,0
34,0,729,525,516,514,514,0,0,0,0
34,500,718,540,534,535,530,0,0,0,0
35,0,717,521,514,514,511,0,0,0,0
35,500,714,547,535,532,531,0,0,0,0
36,0,725,519,517,515,515,0,0,0,0
36,500,718,536,532,532,536,0,0,0,0
37,0,718,518,514,513,513,0,0,0,0
37,500,724,578,562,534,532,0,0,0,0
38,0,724,527,515,519,514,0,0,0,0
38,500,718,546,533,533,531,0,0,0,0
39,0,713,527,517,513,514,0,0,0,0
39,500,711,548,541,533,531,0,0,0,0
40,0,716,519,514,513,528,0,0,0,0
40,500,738,536,532,534,534,0,0,0,0
41,0,727,527,519,516,517,0,0,0,0
41,500,721,541,532,534,531,0,0,0,0
42,0,731,523,516,517,514,0,0,0,0
42,500,743,541,535,534,533,0,0,0,0
43,0,699,530,521,515,514,0,0,0,0
43,500,729,538,533,534,533,0,0,0,0
44,0,722,515,513,511,512,0,0,0,0
44,500,716,543,530,528,526,0,0,0,0
45,0,699,522,511,511,517,0,0,0,0
45,500,698,542,533,531,530,0,0,0,0
46,0,723,522,511,509,510,0,0,0,0
46,500,716,534,529,535,533,0,0,0,0
47,0,712,523,518,515,518,0,0,0,0
47,500,728,550,539,536,534,0,0,0,0
48,0,701,531,522,515,515,0,0,0,0
48,500,723,548,537,534,569,0,0,0,0
49,0,740,521,517,512,513,0,0,0,0
49,500,726,545,536,533,533,0,0,0,0
50,0,718,519,515,516,509,0,0,0,0
50,500,719,545,533,532,530,0,0,0,0
51,0,726,526,515,512,575,0,0,0,0
51,500,727,547,540,534,531,0,0,0,0
52,0,726,518,513,511,514,0,0,0,0
52,500,705,536,532,531,530,0,0,0,0
53,0,721,527,514,512,511,0,0,0,0
53,500,706,544,535,535,530,0,0,0,0
54,0,711,518,511,512,512,0,0,0,0
54,500,695,535,533,531,529,0,0,0,0
55,0,715,519,519,513,514,0,0,0,0
55,500,693,539,534,534,532,0,0,0,0
56,0,699,520,512,516,518,0,0,0,0
56,500,741,601,591,590,586,0,0,0,0
57,0,680,524,516,519,514,0,0,0,0
57,500,698,548,537,533,534,0,0,0,0
58,0,723,574,567,567,567,0,0,0,0
58,500,709,596,597,592,592,0,0,0,0
59,0,727,574,570,573,593,0,0,0,0
59,500,729,543,537,534,535,0,0,0,0
60,0,722,530,520,516,516,0,0,0,0
60,500,742,544,544,539,537,0,0,0,0
61,0,744,523,519,518,521,0,0,0,0
61,500,744,543,538,538,539,0,0,0,0
62,0,740,535,524,523,523,0,0,0,0
62,500,738,555,545,546,539,0,0,0,0
63,0,737,532,522,519,519,0,0,0,0
63,500,729,544,539,539,539,0,0,0,0
64,0,747,524,523,519,518,0,0,0,0
64,500,745,547,543,543,547,0,0,0,0
65,0,750,529,523,520,519,0,0,0,0
65,500,743,580,542,539,537,0,0,0,0
66,0,752,525,519,523,518,0,0,0,0
66,500,742,543,538,538,537,0,0,0,0
67,0,751,526,522,519,519,0,0,0,0
67,500,710,556,547,547,542,0,0,0,0
68,0,747,536,525,527,532,0,0,0,0
68,500,749,549,540,538,540,0,0,0,0
69,0,752,526,524,523,522,0,0,0,0
69,500,741,545,574,539,537,0,0,0,0
70,0,743,523,529,522,525,0,0,0,0
70,500,731,549,543,539,539,0,0,0,0
71,0,747,529,521,520,520,0,0,0,0
71,500,742,550,538,539,535,0,0,0,0
72,0,743,520,515,516,515,0,0,0,0
72,500,745,540,531,531,531,0,0,0,0
73,0,746,521,518,512,513,0,0,0,0
73,500,732,546,534,530,533,0,0,0,0
74,0,739,518,511,511,511,0,0,0,0
74,500,742,542,533,530,530,0,0,0,0
75,0,740,520,513,515,514,0,0,0,0
75,500,720,535,530,530,530,0,0,0,0
76,0,742,519,513,513,512,0,0,0,0
76,500,730,542,537,531,531,0,0,0,0
77,0,740,519,514,512,511,0,0,0,0
77,500,702,545,532,533,530,0,0,0,0
78,0,739,522,514,511,511,0,0,0,0
78,500,736,536,531,534,531,0,0,0,0
79,0,739,519,515,515,512,0,0,0,0
79,500,738,548,538,534,531,0,0,0,0
80,0,731,526,517,513,510,0,0,0,0
80,500,730,547,534,533,532,0,0,0,0
81,0,749,522,514,513,512,0,0,0,0
81,500,739,542,533,531,530,0,0,0,0
82,0,732,520,515,513,514,0,0,0,0
82,500,739,537,533,532,531,0,0,0,0
83,0,747,523,519,516,514,0,0,0,0
83,500,742,537,536,533,532,0,0,0,0
84,0,764,548,519,519,518,0,0,0,0
84,500,752,545,538,535,534,0,0,0,0
85,0,745,527,518,516,516,0,0,0,0
85,500,733,550,539,538,538,0,0,0,0
86,0,739,533,521,517,518,0,0,0,0
86,500,745,545,542,540,539,0,0,0,0
87,0,748,525,526,520,520,0,0,0,0
87,500,744,549,541,539,541,0,0,0,0
88,0,749,524,520,518,518,0,0,0,0
88,500,737,549,539,537,537,0,0,0,0
89,0,732,524,520,523,518,0,0,0,0
89,500,740,542,538,536,537,0,0,0,0
90,0,751,524,519,519,519,0,0,0,0
90,500,724,543,546,538,538,0,0,0,0
91,0,746,525,520,518,524,0,0,0,0
91,500,734,543,538,538,538,0,0,0,0
92,0,744,529,524,520,520,0,0,0,0
92,500,741,546,542,541,539,0,0,0,0
93,0,745,522,518,519,582,0,0,0,0
93,500,791,602,596,596,594,0,0,0,0
94,0,736,615,577,576,574,0,0,0,0
94,500,742,629,636,596,596,0,0,0,0
95,0,733,578,574,570,576,0,0,0,0
95,500,688,544,539,541,540,0,0,0,0
96,0,735,532,524,522,572,0,0,0,0
96,500,728,547,542,576,538,0,0,0,0
97,0,723,524,525,520,518,0,0,0,0
97,500,726,546,541,540,539,0,0,0,0
98,0,729,540,538,518,520,0,0,0,0
98,500,726,541,533,531,565,0,0,0,0
99,0,731,520,512,513,513,0,0,0,0
99,500,734,549,531,532,530,0,0,0,0
100,0,724,518,513,547,510,0,0,0,0
100,500,717,537,531,532,530,0,0,0,0
101,0,723,517,512,511,511,0,0,0,0
101,500,707,536,536,533,533,0,0,0,0
102,0,727,521,517,513,517,0,0,0,0
102,500,709,540,535,534,532,0,0,0,0
103,0,721,522,516,513,514,0,0,0,0
103,500,739,535,530,533,530,0,0,0,0
104,0,738,517,514,516,512,0,0,0,0
104,500,718,538,532,531,531,0,0,0,0
105,0,744,521,570,511,511,0,0,0,0
105,500,725,538,535,532,536,0,0,0,0
106,0,733,525,516,513,512,0,0,0,0
106,500,727,541,531,532,532,0,0,0,0
107,0,738,515,512,515,512,0,0,0,0
107,500,723,538,533,532,533,0,0,0,0
108,0,743,519,515,516,514,0,0,0,0
108,500,732,540,539,534,535,0,0,0,0
109,0,718,525,518,514,517,0,0,0,0
109,500,723,539,534,534,533,0,0,0,0
110,0,734,523,515,511,513,0,0,0,0
110,500,728,539,534,535,534,0,0,0,0
111,0,744,525,516,515,514,0,0,0,0
111,500,729,548,540,534,536,0,0,0,0
112,0,743,520,520,516,516,0,0,0,0
112,500,733,546,541,538,543,0,0,0,0
113,0,748,531,523,520,519,0,0,0,0
113,500,725,548,538,537,540,0,0,0,0
114,0,749,526,518,577,518,0,0,0,0
114,500,728,555,545,543,541,0,0,0,0
115,0,727,528,521,519,517,0,0,0,0
115,500,733,542,542,537,542,0,0,0,0
116,0,717,529,521,522,524,0,0,0,0
116,500,731,546,539,539,540,0,0,0,0
117,0,712,531,523,523,522,0,0,0,0
117,500,714,546,540,543,539,0,0,0,0
118,0,719,526,521,520,519,0,0,0,0
118,500,737,544,539,537,537,0,0,0,0
119,0,745,526,524,522,521,0,0,0,0
119,500,729,549,544,541,546,0,0,0,0
120,0,706,537,525,523,521,0,0,0,0
120,500,721,556,540,536,535,0,0,0,0
121,0,697,521,517,521,519,0,0,0,0
121,500,714,546,541,542,539,0,0,0,0
122,0,711,525,520,518,520,0,0,0,0
