patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,25,10,9,8,8,0,0,0,0
0,500,21,9,9,21,9,0,0,0,0
1,0,796,226,197,214,229,0,0,0,0
1,500,347,325,212,204,203,0,0,0,0
2,0,346,249,193,192,225,0,0,0,0
2,500,327,264,202,232,201,0,0,0,0
3,0,289,282,192,216,205,0,0,0,0
3,500,267,291,202,234,201,0,0,0,0
4,0,268,251,192,223,192,0,0,0,0
4,500,266,261,201,231,202,0,0,0,0
5,0,300,265,192,220,191,0,0,0,0
5,500,324,235,201,233,201,0,0,0,0
6,0,285,252,191,223,191,0,0,0,0
6,500,294,256,205,233,202,0,0,0,0
7,0,325,253,194,223,192,0,0,0,0
7,500,323,235,202,231,201,0,0,0,0
8,0,300,240,191,226,192,0,0,0,0
8,500,293,252,202,233,201,0,0,0,0
9,0,294,238,192,222,191,0,0,0,0
9,500,292,247,201,230,200,0,0,0,0
10,0,328,231,191,222,191,0,0,0,0
10,500,282,263,202,232,201,0,0,0,0
11,0,295,241,193,224,191,0,0,0,0
11,500,291,250,202,233,201,0,0,0,0
12,0,315,238,193,222,190,0,0,0,0
12,500,321,234,202,230,201,0,0,0,0
13,0,324,226,191,223,191,0,0,0,0
13,500,301,264,201,231,201,0,0,0,0
14,0,296,234,191,222,191,0,0,0,0
14,500,320,230,230,201,201,0,0,0,0
15,0,322,223,221,192,191,0,0,0,0
15,500,332,243,233,201,201,0,0,0,0
16,0,307,255,191,220,190,0,0,0,0
16,500,362,230,201,246,202,0,0,0,0
17,0,326,245,191,206,207,0,0,0,0
17,500,322,253,201,233,201,0,0,0,0
18,0,334,232,221,191,189,0,0,0,0
18,500,309,256,232,201,199,0,0,0,0
19,0,353,233,220,190,191,0,0,0,0
19,500,357,243,232,201,201,0,0,0,0
20,0,334,248,223,191,191,0,0,0,0
20,500,297,247,233,201,201,0,0,0,0
21,0,337,237,223,192,191,0,0,0,0
21,500,324,255,233,204,201,0,0,0,0
22,0,312,248,224,192,192,0,0,0,0
22,500,336,243,235,203,203,0,0,0,0
23,0,311,227,223,190,191,0,0,0,0
23,500,313,262,233,201,200,0,0,0,0
24,0,325,247,211,204,192,0,0,0,0
24,500,307,286,233,200,200,0,0,0,0
25,0,347,225,224,190,190,0,0,0,0
25,500,335,242,236,203,203,0,0,0,0
26,0,329,228,226,193,192,0,0,0,0
26,500,307,256,201,267,201,0,0,0,0
27,0,308,247,193,225,193,0,0,0,0
27,500,309,255,233,201,201,0,0,0,0
28,0,334,234,210,202,191,0,0,0,0
28,500,343,256,232,200,201,0,0,0,0
29,0,307,246,222,190,192,0,0,0,0
29,500,297,265,217,214,201,0,0,0,0
30,0,333,236,222,190,190,0,0,0,0
30,500,334,244,217,216,201,0,0,0,0
31,0,333,232,223,191,190,0,0,0,0
31,500,294,256,232,217,218,0,0,0,0
32,0,357,229,222,192,192,0,0,0,0
32,500,329,226,230,200,199,0,0,0,0
33,0,352,206,221,190,191,0,0,0,0
33,500,293,283,233,201,203,0,0,0,0
34,0,330,242,222,190,191,0,0,0,0
34,500,318,243,232,201,200,0,0,0,0
35,0,322,264,211,204,191,0,0,0,0
35,500,316,252,231,200,201,0,0,0,0
36,0,328,230,222,191,190,0,0,0,0
36,500,330,251,231,234,202,0,0,0,0
37,0,318,245,223,191,190,0,0,0,0
37,500,309,256,233,200,201,0,0,0,0
38,0,298,249,236,210,210,0,0,0,0
38,500,326,248,233,201,200,0,0,0,0
39,0,331,245,222,190,191,0,0,0,0
39,500,317,252,234,202,202,0,0,0,0
40,0,330,238,223,192,190,0,0,0,0
40,500,309,257,233,201,200,0,0,0,0
41,0,298,249,224,191,191,0,0,0,0
41,500,317,255,232,206,202,0,0,0,0
42,0,316,257,225,190,190,0,0,0,0
