patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,12,22,27,16,9,0,0,0,0
0,500,10,21,9,9,9,0,0,0,0
1,0,652,173,146,143,142,0,0,0,0
1,500,260,194,161,158,158,0,0,0,0
2,0,240,190,179,183,157,0,0,0,0
2,500,264,236,177,170,157,0,0,0,0
3,0,254,215,157,159,143,0,0,0,0
3,500,250,232,178,173,160,0,0,0,0
4,0,254,219,146,172,144,0,0,0,0
4,500,251,233,187,160,159,0,0,0,0
5,0,255,213,157,156,143,0,0,0,0
5,500,251,229,186,159,158,0,0,0,0
6,0,253,213,158,156,143,0,0,0,0
6,500,249,229,190,159,158,0,0,0,0
7,0,253,213,161,153,144,0,0,0,0
7,500,251,228,186,160,158,0,0,0,0
8,0,254,213,159,155,144,0,0,0,0
8,500,253,229,184,162,158,0,0,0,0
9,0,252,212,156,156,142,0,0,0,0
9,500,247,228,174,169,160,0,0,0,0
10,0,253,212,158,154,142,0,0,0,0
10,500,251,228,175,169,163,0,0,0,0
11,0,252,212,156,156,142,0,0,0,0
11,500,249,229,174,169,157,0,0,0,0
12,0,251,212,159,184,143,0,0,0,0
12,500,253,231,172,169,164,0,0,0,0
13,0,252,219,144,160,143,0,0,0,0
13,500,249,231,186,159,158,0,0,0,0
14,0,251,215,143,168,142,0,0,0,0
14,500,249,232,158,184,157,0,0,0,0
15,0,238,231,154,169,142,0,0,0,0
15,500,249,234,174,171,158,0,0,0,0
16,0,252,216,153,157,142,0,0,0,0
16,500,249,231,173,169,158,0,0,0,0
17,0,257,236,155,158,142,0,0,0,0
17,500,251,229,185,158,158,0,0,0,0
18,0,248,219,154,157,143,0,0,0,0
18,500,251,221,174,168,158,0,0,0,0
19,0,250,219,156,156,142,0,0,0,0
19,500,249,231,174,170,160,0,0,0,0
20,0,254,216,155,155,143,0,0,0,0
20,500,251,229,174,168,159,0,0,0,0
21,0,253,216,157,158,142,0,0,0,0
21,500,249,231,174,169,158,0,0,0,0
22,0,255,216,143,170,142,0,0,0,0
22,500,250,221,173,173,157,0,0,0,0
23,0,253,217,154,164,145,0,0,0,0
23,500,250,235,173,172,158,0,0,0,0
24,0,250,205,158,157,143,0,0,0,0
24,500,248,231,174,168,158,0,0,0,0
25,0,251,215,154,158,149,0,0,0,0
25,500,251,233,185,159,158,0,0,0,0
26,0,254,216,155,156,142,0,0,0,0
26,500,249,236,177,169,157,0,0,0,0
27,0,264,222,167,160,146,0,0,0,0
27,500,253,272,183,175,156,0,0,0,0
28,0,243,257,168,162,143,0,0,0,0
28,500,243,248,179,168,157,0,0,0,0
29,0,271,216,169,142,145,0,0,0,0
29,500,281,217,186,159,158,0,0,0,0
30,0,303,215,169,143,142,0,0,0,0
30,500,248,250,184,158,158,0,0,0,0
31,0,290,193,162,154,142,0,0,0,0
31,500,282,226,190,160,159,0,0,0,0
32,0,263,230,171,143,144,0,0,0,0
32,500,239,266,188,161,160,0,0,0,0
33,0,263,197,170,143,142,0,0,0,0
33,500,261,266,185,158,158,0,0,0,0
34,0,224,227,157,169,142,0,0,0,0
34,500,239,243,184,158,158,0,0,0,0
35,0,242,249,169,142,143,0,0,0,0
35,500,265,257,186,160,159,0,0,0,0
36,0,245,251,158,156,142,0,0,0,0
36,500,224,273,184,158,158,0,0,0,0
37,0,268,231,170,142,142,0,0,0,0
37,500,230,276,172,173,159,0,0,0,0
38,0,244,249,158,154,142,0,0,0,0
38,500,224,244,174,169,158,0,0,0,0
39,0,260,229,170,142,143,0,0,0,0
39,500,250,261,186,158,158,0,0,0,0
40,0,252,253,170,144,144,0,0,0,0
40,500,262,257,186,160,159,0,0,0,0
41,0,262,208,171,145,143,0,0,0,0
41,500,250,237,186,158,158,0,0,0,0
42,0,244,249,170,143,142,0,0,0,0
42,500,273,260,159,159,172,0,0,0,0
43,0,271,231,169,159,143,0,0,0,0
43,500,261,259,191,158,158,0,0,0,0
44,0,258,221,161,156,143,0,0,0,0
44,500,251,225,160,160,159,0,0,0,0
45,0,265,199,143,142,142,0,0,0,0
45,500,271,200,191,158,158,0,0,0,0
46,0,243,220,183,143,170,0,0,0,0
46,500,274,245,185,159,159,0,0,0,0
47,0,266,229,169,142,142,0,0,0,0
47,500,251,243,216,158,157,0,0,0,0
