patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,25,10,20,9,10,0,0,0,0
0,500,9,19,18,8,20,0,0,0,0
1,0,8858,2503,2475,2494,2521,0,0,0,0
1,500,2623,2582,2506,2494,2495,0,0,0,0
2,0,2417,2242,2252,2239,2293,0,0,0,0
2,500,2704,2582,2583,2571,2573,0,0,0,0
3,0,2631,2471,2471,2464,2471,0,0,0,0
3,500,2680,2512,2499,2491,2486,0,0,0,0
4,0,2635,2478,2476,2475,2471,0,0,0,0
4,500,2734,2588,2590,2600,2597,0,0,0,0
5,0,2692,2554,2555,2546,2571,0,0,0,0
5,500,2711,2587,2597,2582,2568,0,0,0,0
6,0,2629,2471,2468,2469,2462,0,0,0,0
6,500,2648,2515,2510,2513,2502,0,0,0,0
7,0,2660,2464,2452,2470,2475,0,0,0,0
7,500,2616,2485,2488,2497,2475,0,0,0,0
8,0,2682,2557,2456,2448,2450,0,0,0,0
8,500,2653,2487,2496,2483,2472,0,0,0,0
9,0,2642,2451,2454,2458,2454,0,0,0,0
9,500,2642,2484,2469,2472,2467,0,0,0,0
10,0,2665,2487,2556,2568,2578,0,0,0,0
10,500,2670,2491,2471,2475,2477,0,0,0,0
11,0,2627,2451,2449,2446,2452,0,0,0,0
11,500,2614,2486,2505,2473,2477,0,0,0,0
12,0,2642,2477,2474,2470,2452,0,0,0,0
12,500,2441,2246,2248,2245,2255,0,0,0,0
13,0,2489,2240,2240,2265,2232,0,0,0,0
13,500,2516,2258,2265,2295,2253,0,0,0,0
14,0,2450,2226,2231,2229,2221,0,0,0,0
14,500,2457,2259,2251,2240,2248,0,0,0,0
15,0,2429,2249,2243,2246,2233,0,0,0,0
15,500,2444,2248,2282,2250,2242,0,0,0,0
16,0,2661,2472,2478,2457,2449,0,0,0,0
16,500,2598,2500,2488,2501,2467,0,0,0,0
17,0,2640,2455,2456,2452,2448,0,0,0,0
17,500,2614,2475,2469,2506,2470,0,0,0,0
18,0,2618,2488,2477,2453,2457,0,0,0,0
18,500,2632,2510,2496,2481,2482,0,0,0,0
19,0,2653,2457,2458,2472,2489,0,0,0,0
19,500,2630,2485,2513,2488,2484,0,0,0,0
20,0,2649,2464,2496,2488,2478,0,0,0,0
20,500,2663,2534,2477,2479,2489,0,0,0,0
21,0,2600,2454,2446,2474,2471,0,0,0,0
21,500,2651,2480,2475,2470,2514,0,0,0,0
22,0,2619,2454,2449,2446,2476,0,0,0,0
22,500,2640,2470,2468,2467,2469,0,0,0,0
23,0,2674,2538,2544,2557,2540,0,0,0,0
23,500,2672,2570,2573,2581,2578,0,0,0,0
24,0,2623,2537,2519,2474,2494,0,0,0,0
24,500,2616,2477,2474,2469,2466,0,0,0,0
25,0,2614,2488,2460,2474,2475,0,0,0,0
25,500,2694,2564,2563,2574,2559,0,0,0,0
26,0,2673,2560,2558,2557,2551,0,0,0,0
26,500,2693,2571,2568,2584,2590,0,0,0,0
27,0,2598,2472,2455,2450,2454,0,0,0,0
27,500,2632,2497,2487,2499,2504,0,0,0,0
28,0,2654,2482,2483,2465,2474,0,0,0,0
28,500,2692,2569,2565,2567,2562,0,0,0,0
29,0,2675,2548,2539,2540,2542,0,0,0,0
29,500,2667,2574,2560,2564,2566,0,0,0,0
30,0,2673,2543,2544,2550,2563,0,0,0,0
30,500,2700,2605,2598,2585,2579,0,0,0,0
31,0,2682,2570,2569,2574,2547,0,0,0,0
31,500,2680,2613,2573,2602,2601,0,0,0,0
32,0,2669,2572,2569,2548,2574,0,0,0,0
32,500,2616,2473,2498,2465,2542,0,0,0,0
33,0,2603,2461,2471,2490,2460,0,0,0,0
33,500,2618,2479,2469,2487,2492,0,0,0,0
34,0,2691,2561,2553,2600,2578,0,0,0,0
34,500,2689,2595,2573,2565,2568,0,0,0,0
35,0,2680,2563,2596,2546,2549,0,0,0,0
35,500,2671,2564,2563,2566,2620,0,0,0,0
36,0,2643,2462,2444,2450,2446,0,0,0,0
36,500,2619,2519,2483,2497,2508,0,0,0,0
37,0,2679,2558,2546,2540,2554,0,0,0,0
37,500,2691,2585,2584,2581,2591,0,0,0,0
38,0,2682,2550,2524,2438,2234,0,0,0,0
38,500,2501,2261,2287,2286,2255,0,0,0,0
39,0,2677,2455,2487,2490,2443,0,0,0,0
39,500,2650,2534,2498,2510,2476,0,0,0,0
40,0,2623,2533,2485,2487,2486,0,0,0,0
40,500,2640,2482,2498,2488,2482,0,0,0,0
41,0,2620,2474,2473,2460,2459,0,0,0,0
41,500,2699,2591,2592,2592,2585,0,0,0,0
42,0,2682,2553,2579,2551,2567,0,0,0,0
42,500,2700,2606,2586,2580,2597,0,0,0,0
43,0,2712,2268,2593,2579,2573,1,1,1,1
43,500,2700,2569,2577,2585,2591,0,0,0,0
44,0,2762,2144,2639,2630,2618,1,2,2,2
44,500,2749,2599,2596,2598,2586,0,0,0,0
45,0,2749,806,2620,2623,2619,1,3,3,3
45,500,2770,2577,2580,2592,2592,0,0,0,0
46,0,2686,793,2550,2550,2553,1,3,3,3
46,500,2684,2491,2483,2486,2486,0,0,0,0
47,0,2694,784,2546,2555,2547,1,3,3,3
47,500,2687,2494,2481,3641,2490,0,0,0,0
48,0,2773,258,2619,2634,2615,1,6,6,6
48,500,2765,2501,2494,2491,2489,0,0,0,0
49,0,2872,265,2727,2744,2735,1,7,7,7
49,500,2856,2578,2580,2573,2579,0,0,0,0
50,0,2954,271,2683,2667,2667,1,7,7,7
50,500,2804,2501,2497,2488,2497,0,0,0,0
51,0,2821,258,2662,2670,2669,1,8,8,8
51,500,2887,2571,2608,2582,2582,0,0,0,0
52,0,2892,267,2769,2753,2755,1,8,8,8
52,500,2879,2573,2574,2572,2577,0,0,0,0
53,0,2892,268,2757,2798,2774,1,8,8,8
53,500,2897,2602,2603,2599,2597,0,0,0,0
54,0,2978,740,2782,2773,2754,1,7,7,7
54,500,2835,2496,2520,2508,2523,0,0,0,0
55,0,2854,259,2653,2654,2665,1,8,8,8
55,500,2807,2502,2492,2506,2500,0,0,0,0
56,0,2815,257,2649,2654,2646,1,8,8,8
56,500,2846,2499,2484,2496,2485,0,0,0,0
57,0,2898,266,2756,2750,2752,1,8,8,8
57,500,2823,2495,2487,2492,2487,0,0,0,0
58,0,2880,160,2695,2703,2709,1,10,10,10
58,500,2879,2496,2487,2494,2490,0,0,0,0
59,0,2873,161,2700,2716,2717,1,10,10,10
59,500,2893,2534,2487,2512,2513,0,0,0,0
60,0,2946,166,2836,2822,2813,1,10,10,10
60,500,2918,2578,2522,2513,2516,0,0,0,0
61,0,2884,161,2704,2739,2742,1,10,10,10
61,500,2872,2525,2536,2486,2519,0,0,0,0
62,0,2868,161,2693,2724,2729,1,11,11,11
62,500,2836,2515,2555,2475,2481,0,0,0,0
63,0,2860,160,2690,2695,2690,1,11,11,11
63,500,2849,2493,2507,2486,2484,0,0,0,0
64,0,2938,167,2786,2794,2804,1,11,11,11
64,500,2920,2584,2581,2592,2594,0,0,0,0
65,0,2970,166,2850,2819,2823,1,13,13,13
65,500,2957,2587,2579,2576,2571,0,0,0,0
66,0,2970,166,2828,2825,2823,1,13,13,13
66,500,2957,2612,2592,2600,2613,0,0,0,0
67,0,2953,165,2849,2871,2852,1,13,13,13
67,500,2846,2528,2484,2509,2511,0,0,0,0
68,0,2896,165,2746,2759,2760,1,12,12,12
68,500,2892,2530,2519,2486,2529,0,0,0,0
69,0,2975,160,2726,2729,2738,1,13,13,13
69,500,2894,2506,2508,2486,2500,0,0,0,0
70,0,2922,161,2741,2754,2733,1,13,13,13
70,500,2963,2609,2602,2591,2595,0,0,0,0
71,0,2967,167,2837,2849,2843,1,14,14,14
71,500,2964,2587,2581,2573,2572,0,0,0,0
72,0,2981,166,2859,2770,2764,1,15,15,15
72,500,2934,2505,2486,2519,2481,0,0,0,0
73,0,2902,160,2750,2751,2758,1,15,15,15
73,500,2937,2500,2488,2504,2496,0,0,0,0
74,0,2909,160,2773,2764,2752,1,15,15,15
74,500,2922,2504,2488,2513,2507,0,0,0,0
75,0,2952,159,2770,2785,2770,1,16,16,16
75,500,2958,2509,2479,2506,2491,0,0,0,0
76,0,3010,164,2872,2872,2878,1,16,16,16
76,500,3040,2501,2489,2479,2481,0,0,0,0
77,0,2955,162,2790,2777,2775,1,16,16,16
77,500,2913,2508,2503,2498,2485,0,0,0,0
78,0,3012,165,2865,2869,2875,1,16,16,16
78,500,3014,2579,2575,2567,2616,0,0,0,0
79,0,3005,167,2894,2864,2893,1,16,16,16
79,500,3021,2613,2479,2507,2475,0,0,0,0
80,0,2938,160,2817,2821,2786,1,17,17,17
80,500,2940,2535,2484,2509,2540,0,0,0,0
81,0,2953,160,2820,2820,2811,1,17,17,17
81,500,2977,2526,2506,2498,2511,0,0,0,0
82,0,2975,173,2788,2669,2562,1,17,17,17
82,500,2777,2304,2253,2301,2301,0,0,0,0
83,0,2986,160,2847,2818,2798,1,17,17,17
83,500,2767,2270,2262,2271,2261,0,0,0,0
84,0,2788,146,2532,2537,2544,1,16,16,16
84,500,2765,2262,2263,2251,2254,0,0,0,0
85,0,2985,161,2806,2798,2802,1,16,16,16
85,500,2768,2261,2260,2254,2259,0,0,0,0
86,0,2765,147,2534,2541,2539,1,16,16,16
86,500,2791,2275,2261,2258,2249,0,0,0,0
87,0,3001,161,2795,2803,2795,1,16,16,16
87,500,2768,2265,2256,2268,2270,0,0,0,0
88,0,2766,147,2545,2538,2545,1,17,17,17
88,500,2945,2494,2491,2487,2484,0,0,0,0
89,0,2984,160,2798,2803,2813,1,17,17,17
89,500,2768,2269,2261,2251,2254,0,0,0,0
90,0,2811,146,2564,2566,2568,1,18,18,18
90,500,2769,2263,2259,2253,2257,0,0,0,0
91,0,2801,145,2561,2568,2564,1,18,18,18
91,500,2787,2269,2256,2253,2252,0,0,0,0
92,0,2922,185,2596,2564,2566,1,18,18,18
92,500,2820,2282,2277,2261,2256,0,0,0,0
93,0,2805,146,2572,2608,2569,1,18,18,18
93,500,2777,2270,2254,2255,2255,0,0,0,0
94,0,2782,146,2567,2566,2560,1,18,18,18
94,500,2802,2268,2265,2255,2256,0,0,0,0
95,0,2832,147,2583,2570,2571,1,18,18,18
95,500,2785,2259,2261,2253,2253,0,0,0,0
96,0,2766,146,2560,2563,2564,1,18,18,18
96,500,2809,2267,2255,2257,2249,0,0,0,0
97,0,2791,146,2558,2561,2564,1,18,18,18
97,500,2720,2280,2272,2269,2274,0,0,0,0
98,0,2767,145,2568,2568,2568,1,19,19,19
98,500,2744,2265,2254,2259,2269,0,0,0,0
99,0,2977,159,2855,2856,2854,1,21,21,21
99,500,3020,2498,2487,2484,2494,0,0,0,0
100,0,3004,161,2838,2848,2848,1,21,21,21
100,500,2826,2294,2286,2250,2281,0,0,0,0
101,0,2780,145,2613,2618,2582,1,21,21,21
101,500,2777,2294,2255,2283,2248,0,0,0,0
102,0,2777,146,2608,2579,2609,1,21,21,21
102,500,2844,2260,2314,2256,2253,0,0,0,0
103,0,2882,146,2574,2624,2611,1,21,21,21
103,500,2787,2283,2258,2250,2254,0,0,0,0
104,0,2771,145,2606,2578,2578,1,21,21,21
