patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,12,21,18,21,9,0,0,0,0
0,500,10,9,24,19,19,0,0,0,0
1,0,4047,876,857,859,853,0,0,0,0
1,500,1054,924,872,873,865,0,0,0,0
2,0,1018,852,856,849,847,0,0,0,0
2,500,1011,874,872,865,863,0,0,0,0
3,0,1081,854,846,872,843,0,0,0,0
3,500,1096,866,863,861,859,0,0,0,0
4,0,1092,847,858,843,846,0,0,0,0
4,500,1128,873,871,869,872,0,0,0,0
5,0,1067,847,841,845,840,0,0,0,0
5,500,1101,876,859,863,858,0,0,0,0
6,0,1075,849,853,848,841,0,0,0,0
6,500,1086,873,896,867,870,0,0,0,0
7,0,1090,849,842,840,839,0,0,0,0
7,500,1080,862,859,888,859,0,0,0,0
8,0,1070,844,842,855,845,0,0,0,0
8,500,1066,862,858,857,893,0,0,0,0
9,0,1079,843,839,846,840,0,0,0,0
9,500,1076,860,869,858,859,0,0,0,0
10,0,1101,845,855,841,839,0,0,0,0
10,500,1091,865,858,857,859,0,0,0,0
11,0,1070,879,849,840,840,0,0,0,0
11,500,1080,862,858,858,866,0,0,0,0
12,0,1077,845,842,870,843,0,0,0,0
12,500,1067,863,860,859,862,0,0,0,0
13,0,1091,844,843,845,879,0,0,0,0
13,500,1027,863,863,860,859,0,0,0,0
14,0,1021,848,847,842,851,0,0,0,0
14,500,1043,868,859,859,859,0,0,0,0
15,0,1009,850,852,840,839,0,0,0,0
15,500,1010,862,858,866,858,0,0,0,0
16,0,1044,843,841,840,847,0,0,0,0
16,500,1072,876,859,888,861,0,0,0,0
17,0,1063,846,850,853,849,0,0,0,0
17,500,1070,863,857,870,888,0,0,0,0
18,0,1075,844,844,841,840,0,0,0,0
18,500,1083,871,860,859,867,0,0,0,0
19,0,1117,848,840,840,840,0,0,0,0
19,500,1078,864,859,865,857,0,0,0,0
20,0,1097,874,842,841,848,0,0,0,0
20,500,1083,862,859,858,862,0,0,0,0
21,0,1092,850,884,852,847,0,0,0,0
21,500,1087,861,867,874,866,0,0,0,0
22,0,1080,848,851,841,869,0,0,0,0
22,500,1075,865,858,857,858,0,0,0,0
23,0,1087,850,842,842,849,0,0,0,0
23,500,1090,862,858,859,857,0,0,0,0
24,0,1073,845,842,843,844,0,0,0,0
24,500,1081,901,866,868,864,0,0,0,0
25,0,1095,851,844,844,841,0,0,0,0
25,500,1085,861,893,870,859,0,0,0,0
26,0,1093,850,851,841,840,0,0,0,0
26,500,1077,874,865,894,865,0,0,0,0
27,0,1086,851,841,842,839,0,0,0,0
27,500,1064,871,858,857,889,0,0,0,0
28,0,1066,859,840,841,846,0,0,0,0
28,500,1075,868,866,871,876,0,0,0,0
29,0,1125,848,849,846,841,0,0,0,0
29,500,1085,889,907,869,856,0,0,0,0
30,0,1026,849,842,841,841,0,0,0,0
30,500,1028,865,860,859,866,0,0,0,0
31,0,1078,844,842,869,841,0,0,0,0
31,500,1042,868,866,867,865,0,0,0,0
32,0,1028,844,841,842,845,0,0,0,0
32,500,1016,862,859,863,859,0,0,0,0
33,0,1084,850,841,845,840,0,0,0,0
33,500,1082,868,869,865,865,0,0,0,0
34,0,1094,848,846,843,846,0,0,0,0
34,500,1090,881,875,863,861,0,0,0,0
35,0,1092,844,841,845,847,0,0,0,0
35,500,1083,866,859,888,861,0,0,0,0
36,0,1085,844,841,841,845,0,0,0,0
36,500,1087,871,861,869,895,0,0,0,0
37,0,1093,850,856,2835,848,0,0,0,0
37,500,1093,861,857,895,862,0,0,0,0
38,0,1090,852,848,848,853,0,0,0,0
38,500,1092,866,858,861,888,0,0,0,0
39,0,1087,842,845,840,842,0,0,0,0
39,500,1092,868,868,864,863,0,0,0,0
40,0,1101,854,846,846,846,0,0,0,0
40,500,1093,871,865,864,865,0,0,0,0
41,0,1079,879,847,854,848,0,0,0,0
41,500,1076,866,858,858,863,0,0,0,0
42,0,1089,844,869,873,844,0,0,0,0
42,500,1093,868,865,869,865,0,0,0,0
43,0,1084,945,881,877,849,0,0,0,0
43,500,1062,902,866,865,864,0,0,0,0
44,0,1097,884,849,848,877,0,0,0,0
44,500,1116,864,861,859,865,0,0,0,0
45,0,1087,851,846,841,872,0,0,0,0
45,500,1084,862,861,873,860,0,0,0,0
46,0,1053,845,841,846,841,0,0,0,0
46,500,1028,863,863,875,866,0,0,0,0
47,0,1075,852,878,842,844,0,0,0,0
47,500,1082,902,866,889,859,0,0,0,0
48,0,965,730,707,708,705,0,0,0,0
48,500,951,822,711,707,710,0,0,0,0
49,0,980,746,709,711,711,0,0,0,0
49,500,934,740,704,703,704,0,0,0,0
50,0,1010,746,712,707,737,0,0,0,0
50,500,1013,749,710,704,708,0,0,0,0
51,0,1006,730,719,709,706,0,0,0,0
51,500,1010,732,761,707,707,0,0,0,0
52,0,998,716,738,708,705,0,0,0,0
52,500,940,715,706,707,710,0,0,0,0
53,0,979,712,717,708,704,0,0,0,0
53,500,962,714,717,702,702,0,0,0,0
54,0,951,713,708,738,706,0,0,0,0
54,500,960,703,710,713,705,0,0,0,0
55,0,999,710,708,814,702,0,0,0,0
55,500,995,736,703,707,707,0,0,0,0
56,0,1011,710,703,703,709,0,0,0,0
56,500,993,704,711,700,741,0,0,0,0
57,0,1014,706,699,702,700,0,0,0,0
57,500,1003,705,703,703,703,0,0,0,0
58,0,992,711,733,706,704,0,0,0,0
58,500,1007,708,706,701,700,0,0,0,0
59,0,1025,707,705,704,699,0,0,0,0
59,500,1044,704,706,698,706,0,0,0,0
60,0,1005,707,704,704,699,0,0,0,0
60,500,1016,703,704,734,701,0,0,0,0
61,0,1015,709,700,703,705,0,0,0,0
61,500,1015,709,703,704,703,0,0,0,0
62,0,997,738,705,704,698,0,0,0,0
62,500,1012,711,707,697,705,0,0,0,0
63,0,953,712,701,704,698,0,0,0,0
63,500,931,706,703,703,700,0,0,0,0
64,0,938,710,708,706,697,0,0,0,0
64,500,997,707,707,731,695,0,0,0,0
65,0,1011,707,710,708,700,0,0,0,0
65,500,1011,703,709,705,702,0,0,0,0
66,0,974,736,704,705,701,0,0,0,0
66,500,991,706,704,707,700,0,0,0,0
67,0,1009,708,707,705,732,0,0,0,0
67,500,1016,703,704,706,704,0,0,0,0
68,0,1008,705,699,705,697,0,0,0,0
68,500,991,702,737,702,709,0,0,0,0
69,0,1008,706,698,702,709,0,0,0,0
69,500,1010,704,703,705,708,0,0,0,0
70,0,1020,709,705,702,701,0,0,0,0
70,500,1008,707,705,702,700,0,0,0,0
71,0,1003,708,705,704,730,0,0,0,0
71,500,941,704,705,733,699,0,0,0,0
72,0,947,706,704,706,707,0,0,0,0
72,500,935,710,705,702,704,0,0,0,0
73,0,1036,708,707,704,703,0,0,0,0
73,500,1011,706,707,701,705,0,0,0,0
74,0,1034,710,705,699,702,0,0,0,0
74,500,999,708,708,702,705,0,0,0,0
75,0,1020,712,705,734,696,0,0,0,0
75,500,1009,708,706,701,701,0,0,0,0
76,0,995,709,706,698,698,0,0,0,0
76,500,1010,734,712,700,702,0,0,0,0
77,0,1006,707,707,704,701,0,0,0,0
77,500,1010,705,712,701,702,0,0,0,0
78,0,957,706,710,703,700,0,0,0,0
78,500,950,707,703,706,697,0,0,0,0
79,0,949,709,703,707,701,0,0,0,0
79,500,1008,704,701,703,701,0,0,0,0
80,0,1005,706,696,703,699,0,0,0,0
80,500,1005,732,705,698,706,0,0,0,0
81,0,1005,705,701,699,700,0,0,0,0
81,500,1006,701,703,700,733,0,0,0,0
82,0,996,706,701,703,717,0,0,0,0
82,500,957,705,702,697,704,0,0,0,0
83,0,939,704,697,704,697,0,0,0,0
83,500,959,701,700,700,699,0,0,0,0
84,0,989,704,702,702,697,0,0,0,0
84,500,1010,747,704,702,704,0,0,0,0
85,0,1017,707,706,702,701,0,0,0,0
85,500,990,738,704,704,730,0,0,0,0
86,0,991,709,704,702,702,0,0,0,0
86,500,989,708,704,703,705,0,0,0,0
87,0,995,708,732,702,701,0,0,0,0
87,500,991,708,708,708,703,0,0,0,0
88,0,990,708,709,701,701,0,0,0,0
88,500,979,707,709,708,702,0,0,0,0
89,0,970,710,708,703,697,0,0,0,0
89,500,932,706,703,709,705,0,0,0,0
