patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,25,10,8,8,9,0,0,0,0
0,500,10,10,8,8,20,0,0,0,0
1,0,1259,252,234,230,227,0,0,0,0
1,500,306,329,270,253,258,0,0,0,0
2,0,316,296,216,211,206,0,0,0,0
2,500,330,303,233,228,224,0,0,0,0
3,0,332,281,215,211,212,0,0,0,0
3,500,322,302,258,251,248,0,0,0,0
4,0,312,240,227,236,232,0,0,0,0
4,500,334,260,259,248,252,0,0,0,0
5,0,337,241,239,228,227,0,0,0,0
5,500,338,263,259,250,249,0,0,0,0
6,0,335,241,236,230,233,0,0,0,0
6,500,340,262,260,249,248,0,0,0,0
7,0,337,240,239,227,226,0,0,0,0
7,500,336,260,259,249,251,0,0,0,0
8,0,335,238,237,227,226,0,0,0,0
8,500,336,261,259,250,248,0,0,0,0
9,0,336,240,238,229,228,0,0,0,0
9,500,345,285,235,225,224,0,0,0,0
10,0,363,266,213,207,205,0,0,0,0
10,500,342,286,235,226,224,0,0,0,0
11,0,370,267,216,206,204,0,0,0,0
11,500,364,288,235,228,226,0,0,0,0
12,0,367,267,217,208,206,0,0,0,0
12,500,366,290,237,227,226,0,0,0,0
13,0,345,268,215,209,206,0,0,0,0
13,500,354,304,235,229,227,0,0,0,0
14,0,358,256,237,232,227,0,0,0,0
14,500,308,303,236,228,226,0,0,0,0
15,0,351,278,215,210,207,0,0,0,0
15,500,368,292,237,227,226,0,0,0,0
16,0,352,278,216,209,206,0,0,0,0
16,500,360,309,237,226,226,0,0,0,0
17,0,322,269,237,231,228,0,0,0,0
17,500,328,274,259,250,248,0,0,0,0
18,0,338,243,245,231,228,0,0,0,0
18,500,335,312,260,250,247,0,0,0,0
19,0,335,289,214,209,205,0,0,0,0
19,500,349,295,234,225,225,0,0,0,0
20,0,355,254,236,229,226,0,0,0,0
20,500,337,276,235,225,224,0,0,0,0
21,0,322,288,214,209,205,0,0,0,0
21,500,350,278,260,252,249,0,0,0,0
22,0,306,255,237,230,227,0,0,0,0
22,500,327,299,237,227,226,0,0,0,0
23,0,354,310,217,208,207,0,0,0,0
23,500,360,282,234,225,226,0,0,0,0
24,0,343,239,238,229,228,0,0,0,0
24,500,335,266,259,249,249,0,0,0,0
25,0,336,241,237,228,226,0,0,0,0
25,500,335,259,257,248,247,0,0,0,0
26,0,334,243,239,228,227,0,0,0,0
26,500,335,260,258,248,246,0,0,0,0
27,0,335,241,240,229,228,0,0,0,0
27,500,337,263,263,249,249,0,0,0,0
28,0,338,242,238,229,227,0,0,0,0
28,500,336,261,259,250,248,0,0,0,0
29,0,337,241,244,229,228,0,0,0,0
