patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,12,19,19,8,8,0,0,0,0
0,500,10,9,9,15,21,0,0,0,0
1,0,1458,307,284,281,279,0,0,0,0
1,500,417,412,324,302,300,0,0,0,0
2,0,392,329,281,280,280,0,0,0,0
2,500,400,365,300,300,300,0,0,0,0
3,0,382,339,280,280,279,0,0,0,0
3,500,380,343,313,304,300,0,0,0,0
4,0,381,326,292,279,279,0,0,0,0
4,500,379,344,310,297,297,0,0,0,0
5,0,407,310,306,278,277,0,0,0,0
5,500,390,331,301,271,269,0,0,0,0
6,0,425,297,283,284,254,0,0,0,0
6,500,396,344,287,270,270,0,0,0,0
7,0,432,285,281,253,253,0,0,0,0
7,500,463,352,270,270,271,0,0,0,0
8,0,431,313,284,252,252,0,0,0,0
8,500,383,326,284,271,302,0,0,0,0
9,0,390,297,284,252,252,0,0,0,0
9,500,386,342,312,298,297,0,0,0,0
10,0,374,339,280,278,277,0,0,0,0
10,500,401,316,301,270,270,0,0,0,0
11,0,409,299,266,252,269,0,0,0,0
11,500,448,276,270,270,270,0,0,0,0
12,0,407,258,255,253,254,0,0,0,0
12,500,429,336,294,284,270,0,0,0,0
13,0,448,315,269,253,252,0,0,0,0
13,500,424,341,271,270,270,0,0,0,0
14,0,440,274,279,253,253,0,0,0,0
14,500,430,329,271,270,271,0,0,0,0
15,0,430,298,283,257,254,0,0,0,0
15,500,441,317,282,271,271,0,0,0,0
16,0,398,290,280,253,252,0,0,0,0
16,500,422,322,271,269,269,0,0,0,0
17,0,460,308,283,253,252,0,0,0,0
17,500,421,330,273,269,275,0,0,0,0
18,0,404,329,253,252,251,0,0,0,0
18,500,413,320,271,271,270,0,0,0,0
19,0,431,327,256,252,251,0,0,0,0
19,500,440,322,272,271,270,0,0,0,0
20,0,443,254,269,256,256,1,1,1,1
20,500,423,335,273,270,270,0,0,0,0
21,0,431,255,269,257,257,1,1,1,1
21,500,430,322,272,276,273,0,0,0,0
22,0,445,280,270,256,255,1,1,1,1
22,500,405,352,272,271,271,0,0,0,0
23,0,451,268,271,256,256,1,1,1,1
23,500,433,353,271,271,270,0,0,0,0
24,0,414,280,275,257,260,1,1,1,1
24,500,471,321,271,270,271,0,0,0,0
25,0,401,270,276,256,255,1,1,1,1
25,500,440,338,272,271,270,0,0,0,0
26,0,424,268,272,256,256,1,1,1,1
26,500,421,316,271,271,269,0,0,0,0
27,0,449,247,270,257,257,1,1,1,1
27,500,427,342,299,298,298,0,0,0,0
28,0,418,261,296,294,292,1,1,1,1
28,500,427,317,299,298,296,0,0,0,0
29,0,427,278,271,256,255,1,1,1,1
29,500,437,322,270,272,270,0,0,0,0
30,0,432,268,274,256,256,1,1,1,1
30,500,437,322,272,276,270,0,0,0,0
31,0,451,252,300,283,283,1,1,1,1
31,500,394,321,271,271,270,0,0,0,0
32,0,425,251,269,257,256,1,1,1,1
32,500,439,347,300,299,299,0,0,0,0
33,0,415,282,285,288,284,1,1,1,1
33,500,402,319,270,271,271,0,0,0,0
34,0,417,267,312,283,283,1,1,1,1
34,500,394,359,300,297,297,0,0,0,0
35,0,424,282,296,283,282,1,1,1,1
35,500,413,343,297,300,297,0,0,0,0
36,0,436,260,274,257,257,1,1,1,1
36,500,415,347,283,270,270,0,0,0,0
37,0,435,280,289,258,256,1,1,1,1
37,500,416,331,301,270,269,0,0,0,0
38,0,416,261,278,267,261,1,1,1,1
38,500,416,330,301,271,269,0,0,0,0
39,0,422,219,257,256,256,1,1,1,1
39,500,422,335,287,271,270,0,0,0,0
40,0,423,218,256,255,255,1,1,1,1
40,500,404,273,270,270,269,0,0,0,0
41,0,466,269,271,257,257,1,1,1,1
41,500,466,276,302,270,270,0,0,0,0
42,0,400,233,288,256,262,1,1,1,1
42,500,415,313,286,270,269,0,0,0,0
43,0,425,221,286,258,256,1,1,1,1
43,500,391,324,320,299,299,0,0,0,0
44,0,408,273,277,256,256,1,1,1,1
44,500,391,333,302,271,271,0,0,0,0
45,0,423,261,288,258,257,1,1,1,1
45,500,384,328,287,271,270,0,0,0,0
46,0,1255,357,351,345,347,0,0,0,0
46,500,449,397,363,363,359,0,0,0,0
47,0,468,382,346,348,347,0,0,0,0
47,500,467,371,325,334,332,0,0,0,0
48,0,455,355,316,315,319,0,0,0,0
48,500,497,350,329,327,328,0,0,0,0
49,0,494,337,334,316,318,0,0,0,0
49,500,499,384,331,330,332,0,0,0,0
50,0,463,390,320,317,320,0,0,0,0
50,500,492,407,330,330,330,0,0,0,0
51,0,489,390,317,317,321,0,0,0,0
51,500,460,392,329,330,325,0,0,0,0
52,0,468,400,346,346,348,0,0,0,0
52,500,467,382,328,331,330,0,0,0,0
53,0,464,398,350,344,349,0,0,0,0
53,500,462,385,331,330,327,0,0,0,0
54,0,463,392,316,315,316,0,0,0,0
54,500,457,398,331,331,326,0,0,0,0
55,0,467,397,346,343,348,0,0,0,0
55,500,462,388,331,332,330,0,0,0,0
56,0,468,398,347,345,347,0,0,0,0
56,500,458,381,331,327,332,0,0,0,0
57,0,466,401,343,346,345,0,0,0,0
57,500,459,379,328,335,329,0,0,0,0
58,0,467,395,344,341,347,0,0,0,0
58,500,521,421,359,359,328,0,0,0,0
59,0,467,351,331,313,316,0,0,0,0
59,500,506,368,339,330,357,0,0,0,0
60,0,497,318,315,315,314,0,0,0,0
60,500,445,331,327,330,323,0,0,0,0
61,0,517,320,317,315,317,0,0,0,0
61,500,478,335,328,327,327,0,0,0,0
62,0,529,372,317,314,318,0,0,0,0
62,500,471,348,327,328,326,0,0,0,0
63,0,467,357,318,315,312,0,0,0,0
63,500,490,375,343,329,327,0,0,0,0
