patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,162,123,103,78,77,0,0,0,0
0,1,500,169,162,96,96,96,0,0,0,0
0,2,0,170,129,91,78,78,0,0,0,0
0,2,500,168,161,96,95,96,0,0,0,0
0,3,0,171,128,91,78,77,0,0,0,0
0,3,500,139,180,114,95,95,0,0,0,0
1,3,0,289,122,96,95,96,0,0,0,0
1,3,500,287,139,114,113,115,0,0,0,0
0,4,0,149,129,103,77,77,0,0,0,0
0,4,500,168,148,108,95,95,0,0,0,0
2,4,0,288,121,95,96,95,0,0,0,0
2,4,500,292,142,115,115,114,0,0,0,0
0,5,0,169,120,101,78,77,0,0,0,0
0,5,500,170,159,96,95,95,0,0,0,0
2,5,0,289,120,95,94,95,0,0,0,0
2,5,500,301,126,112,112,113,0,0,0,0
0,6,0,170,118,101,77,78,0,0,0,0
0,6,500,171,160,99,96,95,0,0,0,0
3,6,0,260,124,95,95,94,0,0,0,0
3,6,500,299,126,113,114,112,0,0,0,0
0,7,0,159,129,102,77,77,0,0,0,0
0,7,500,171,128,108,95,95,0,0,0,0
3,7,0,288,118,94,94,95,0,0,0,0
3,7,500,301,128,114,113,113,0,0,0,0
0,8,0,148,140,103,77,78,0,0,0,0
0,8,500,170,128,108,95,95,0,0,0,0
4,8,0,258,123,94,94,94,0,0,0,0
4,8,500,300,125,114,116,112,0,0,0,0
0,9,0,170,118,100,77,77,0,0,0,0
0,9,500,170,127,108,98,95,0,0,0,0
4,9,0,288,121,94,94,95,0,0,0,0
4,9,500,288,138,113,113,113,0,0,0,0
0,10,0,170,130,90,78,77,0,0,0,0
0,10,500,159,172,97,95,96,0,0,0,0
5,10,0,291,110,95,95,94,0,0,0,0
5,10,500,289,137,115,113,111,0,0,0,0
0,11,0,170,128,91,77,76,0,0,0,0
0,11,500,169,160,95,94,94,0,0,0,0
5,11,0,300,110,95,95,95,0,0,0,0
5,11,500,288,140,112,114,114,0,0,0,0
0,12,0,171,130,91,78,78,0,0,0,0
0,12,500,170,162,96,97,103,0,0,0,0
6,12,0,302,110,94,94,95,0,0,0,0
6,12,500,281,140,112,114,111,0,0,0,0
0,13,0,171,128,92,78,77,0,0,0,0
0,13,500,157,171,95,95,95,0,0,0,0
6,13,0,300,109,95,95,94,0,0,0,0
6,13,500,277,150,114,117,113,0,0,0,0
0,14,0,149,138,92,77,77,0,0,0,0
0,14,500,159,172,95,95,94,0,0,0,0
7,14,0,302,108,96,95,96,0,0,0,0
7,14,500,292,137,112,113,113,0,0,0,0
0,15,0,170,128,90,78,77,0,0,0,0
0,15,500,159,160,108,95,98,0,0,0,0
7,15,0,299,107,94,94,94,0,0,0,0
7,15,500,288,137,112,112,112,0,0,0,0
0,16,0,168,128,90,77,76,0,0,0,0
0,16,500,147,170,107,95,96,0,0,0,0
8,16,0,300,108,95,95,94,0,0,0,0
8,16,500,288,136,112,115,112,0,0,0,0
0,17,0,170,128,92,77,76,0,0,0,0
0,17,500,158,160,107,95,94,0,0,0,0
8,17,0,298,107,96,94,95,0,0,0,0
8,17,500,286,137,112,111,112,0,0,0,0
0,18,0,160,128,103,76,76,0,0,0,0
0,18,500,140,159,122,95,94,0,0,0,0
9,18,0,281,135,95,93,95,0,0,0,0
9,18,500,280,140,112,112,111,0,0,0,0
0,19,0,148,138,103,76,76,0,0,0,0
0,19,500,139,179,107,105,128,0,0,0,0
9,19,0,277,119,95,94,95,0,0,0,0
9,19,500,286,137,113,115,145,0,0,0,0
0,20,0,158,138,90,76,76,0,0,0,0
0,20,500,157,170,95,94,94,0,0,0,0
10,20,0,299,107,94,93,94,0,0,0,0
10,20,500,284,136,111,111,112,0,0,0,0
0,21,0,169,129,89,78,77,0,0,0,0
0,21,500,139,191,96,95,95,0,0,0,0
10,21,0,283,121,94,94,94,0,0,0,0
10,21,500,293,138,112,112,112,0,0,0,0
0,22,0,140,152,103,77,76,0,0,0,0
0,22,500,149,170,107,94,94,0,0,0,0
11,22,0,289,120,96,93,95,0,0,0,0
11,22,500,289,139,111,113,134,0,0,0,0
0,23,0,140,130,105,77,76,0,0,0,0
0,23,500,149,160,119,95,95,0,0,0,0
11,23,0,258,147,94,94,94,0,0,0,0
11,23,500,288,141,111,112,112,0,0,0,0
0,24,0,150,117,105,77,77,0,0,0,0
0,24,500,149,159,119,94,95,0,0,0,0
12,24,0,269,123,93,94,94,0,0,0,0
12,24,500,289,140,112,112,110,0,0,0,0
0,25,0,140,139,103,76,76,0,0,0,0
0,25,500,149,168,106,94,94,0,0,0,0
12,25,0,287,119,94,94,94,0,0,0,0
12,25,500,319,113,113,112,111,0,0,0,0
0,26,0,174,138,102,77,76,0,0,0,0
0,26,500,147,159,118,95,94,0,0,0,0
13,26,0,285,119,93,93,93,0,0,0,0
13,26,500,299,126,112,112,113,0,0,0,0
0,27,0,147,139,102,77,77,0,0,0,0
0,27,500,160,156,110,95,94,0,0,0,0
13,27,0,315,95,94,93,94,0,0,0,0
13,27,500,286,137,112,112,112,0,0,0,0
0,28,0,159,140,90,77,77,0,0,0,0
0,28,500,156,159,106,94,94,0,0,0,0
14,28,0,279,120,95,95,94,0,0,0,0
14,28,500,288,138,111,112,113,0,0,0,0
0,29,0,140,149,102,77,77,0,0,0,0
0,29,500,160,159,95,95,94,0,0,0,0
14,29,0,292,119,95,93,94,0,0,0,0
14,29,500,278,137,112,112,113,0,0,0,0
0,30,0,156,117,113,76,76,0,0,0,0
0,30,500,157,159,108,94,95,0,0,0,0
15,30,0,311,124,95,96,95,0,0,0,0
15,30,500,278,137,112,111,112,0,0,0,0
0,31,0,156,129,101,77,77,0,0,0,0
0,31,500,161,148,108,95,95,0,0,0,0
15,31,0,287,120,95,94,94,0,0,0,0
15,31,500,297,129,112,111,113,0,0,0,0
0,32,0,160,131,100,76,75,0,0,0,0
0,32,500,157,139,118,94,94,0,0,0,0
16,32,0,287,119,94,94,94,0,0,0,0
16,32,500,277,141,112,112,112,0,0,0,0
0,33,0,147,138,103,77,76,0,0,0,0
0,33,500,159,147,107,95,94,0,0,0,0
16,33,0,276,138,111,94,94,0,0,0,0
16,33,500,293,138,112,112,112,0,0,0,0
0,34,0,170,127,89,77,76,0,0,0,0
0,34,500,156,159,106,94,94,0,0,0,0
17,34,0,298,107,95,96,93,0,0,0,0
17,34,500,291,140,113,111,112,0,0,0,0
