patch_start,patch_end,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,1,0,371,201,196,194,195,0,0,0,0
0,1,500,352,249,229,223,223,0,0,0,0
0,2,0,366,207,194,193,193,0,0,0,0
0,2,500,363,237,226,224,224,0,0,0,0
0,3,0,362,207,194,198,194,0,0,0,0
0,3,500,363,238,224,224,223,0,0,0,0
1,3,0,565,263,260,260,260,0,0,0,0
1,3,500,570,290,293,291,289,0,0,0,0
0,4,0,364,208,194,193,194,0,0,0,0
0,4,500,364,239,225,224,225,0,0,0,0
2,4,0,565,264,259,259,261,0,0,0,0
2,4,500,567,289,289,289,287,0,0,0,0
0,5,0,365,206,195,194,193,0,0,0,0
0,5,500,312,263,224,223,223,0,0,0,0
2,5,0,568,260,260,259,259,0,0,0,0
2,5,500,569,290,289,292,289,0,0,0,0
0,6,0,365,207,193,193,193,0,0,0,0
0,6,500,365,237,224,223,224,0,0,0,0
3,6,0,566,260,261,263,260,0,0,0,0
3,6,500,566,290,289,290,289,0,0,0,0
0,7,0,366,209,194,195,194,0,0,0,0
0,7,500,364,238,230,224,223,0,0,0,0
3,7,0,565,261,260,259,259,0,0,0,0
3,7,500,567,291,289,289,292,0,0,0,0
0,8,0,364,209,194,193,200,0,0,0,0
0,8,500,354,249,225,224,223,0,0,0,0
4,8,0,565,261,260,258,261,0,0,0,0
4,8,500,568,290,290,290,290,0,0,0,0
0,9,0,354,220,195,194,193,0,0,0,0
0,9,500,352,248,224,228,223,0,0,0,0
4,9,0,565,262,261,259,260,0,0,0,0
4,9,500,567,290,289,289,290,0,0,0,0
0,10,0,368,208,194,193,193,0,0,0,0
0,10,500,353,250,224,223,223,0,0,0,0
5,10,0,567,260,259,259,261,0,0,0,0
5,10,500,575,291,290,291,290,0,0,0,0
0,11,0,362,207,193,194,193,0,0,0,0
0,11,500,364,238,224,223,223,0,0,0,0
5,11,0,571,260,263,260,260,0,0,0,0
5,11,500,568,290,289,289,289,0,0,0,0
0,12,0,365,208,197,194,193,0,0,0,0
0,12,500,352,249,224,223,224,0,0,0,0
6,12,0,564,260,259,259,261,0,0,0,0
6,12,500,568,294,292,289,289,0,0,0,0
0,13,0,364,207,194,193,193,0,0,0,0
0,13,500,353,249,224,223,223,0,0,0,0
6,13,0,571,261,259,260,259,0,0,0,0
6,13,500,566,291,290,289,290,0,0,0,0
0,14,0,360,208,194,193,192,0,0,0,0
0,14,500,371,226,224,224,223,0,0,0,0
7,14,0,522,261,260,260,260,0,0,0,0
7,14,500,567,291,304,310,289,0,0,0,0
0,15,0,330,221,194,193,193,0,0,0,0
0,15,500,319,255,224,223,224,0,0,0,0
7,15,0,527,261,282,272,260,0,0,0,0
7,15,500,566,290,289,289,290,0,0,0,0
0,16,0,333,225,194,194,193,0,0,0,0
0,16,500,326,299,226,224,224,0,0,0,0
8,16,0,547,260,261,258,258,0,0,0,0
8,16,500,557,290,290,291,325,0,0,0,0
0,17,0,332,222,193,193,192,0,0,0,0
0,17,500,328,252,224,223,223,0,0,0,0
8,17,0,548,260,258,260,295,0,0,0,0
8,17,500,552,290,291,289,290,0,0,0,0
0,18,0,324,226,194,193,192,0,0,0,0
0,18,500,339,253,226,259,225,0,0,0,0
9,18,0,548,261,259,259,259,0,0,0,0
9,18,500,548,291,289,290,291,0,0,0,0
0,19,0,367,236,194,194,193,0,0,0,0
0,19,500,311,266,225,224,224,0,0,0,0
9,19,0,564,261,261,259,259,0,0,0,0
9,19,500,555,292,291,289,289,0,0,0,0
0,20,0,330,223,194,193,192,0,0,0,0
0,20,500,329,254,226,224,224,0,0,0,0
10,20,0,573,261,260,259,259,0,0,0,0
10,20,500,540,290,290,288,289,0,0,0,0
0,21,0,330,222,193,228,193,0,0,0,0
0,21,500,309,254,224,224,224,0,0,0,0
10,21,0,521,262,261,260,260,0,0,0,0
10,21,500,547,312,306,290,290,0,0,0,0
0,22,0,333,223,195,195,194,0,0,0,0
0,22,500,330,255,226,225,225,0,0,0,0
11,22,0,548,294,260,260,260,0,0,0,0
11,22,500,546,290,290,290,289,0,0,0,0
0,23,0,331,222,193,193,193,0,0,0,0
0,23,500,299,251,224,224,223,0,0,0,0
11,23,0,546,261,260,258,259,0,0,0,0
11,23,500,540,289,290,325,290,0,0,0,0
0,24,0,332,223,195,193,194,0,0,0,0
0,24,500,307,254,225,223,224,0,0,0,0
12,24,0,547,260,259,293,260,0,0,0,0
12,24,500,552,290,289,290,291,0,0,0,0
0,25,0,330,222,193,193,193,0,0,0,0
0,25,500,327,253,257,224,223,0,0,0,0
12,25,0,567,261,259,260,259,0,0,0,0
12,25,500,545,293,290,290,290,0,0,0,0
0,26,0,307,225,193,192,192,0,0,0,0
0,26,500,362,237,224,223,224,0,0,0,0
13,26,0,546,260,260,259,259,0,0,0,0
13,26,500,570,291,290,289,289,0,0,0,0
0,27,0,355,208,193,193,192,0,0,0,0
0,27,500,329,255,224,223,257,0,0,0,0
13,27,0,547,263,260,259,259,0,0,0,0
13,27,500,549,290,290,290,289,0,0,0,0
0,28,0,331,223,228,193,193,0,0,0,0
0,28,500,328,253,223,224,224,0,0,0,0
14,28,0,551,262,260,259,262,0,0,0,0
14,28,500,563,309,291,289,290,0,0,0,0
0,29,0,311,223,194,193,193,0,0,0,0
0,29,500,331,253,223,224,224,0,0,0,0
14,29,0,580,261,259,259,260,0,0,0,0
14,29,500,546,291,290,292,288,0,0,0,0
0,30,0,332,222,193,193,227,0,0,0,0
0,30,500,328,253,223,223,225,0,0,0,0
15,30,0,563,261,260,260,261,0,0,0,0
15,30,500,556,289,323,290,292,0,0,0,0
0,31,0,342,222,194,194,193,0,0,0,0
0,31,500,328,254,224,223,223,0,0,0,0
15,31,0,548,266,295,262,260,0,0,0,0
15,31,500,545,290,289,287,287,0,0,0,0
0,32,0,331,223,194,194,193,0,0,0,0
0,32,500,329,289,225,224,222,0,0,0,0
16,32,0,547,261,259,259,258,0,0,0,0
16,32,500,546,290,289,289,293,0,0,0,0
0,33,0,353,219,193,194,193,0,0,0,0
0,33,500,327,252,223,223,223,0,0,0,0
16,33,0,547,260,259,262,259,0,0,0,0
16,33,500,549,289,289,288,288,0,0,0,0
0,34,0,329,222,194,193,193,0,0,0,0
0,34,500,328,252,223,227,223,0,0,0,0
17,34,0,564,261,258,259,258,0,0,0,0
17,34,500,544,290,289,289,288,0,0,0,0
0,35,0,332,222,193,193,194,0,0,0,0
0,35,500,328,253,223,223,223,0,0,0,0
17,35,0,548,260,259,258,258,0,0,0,0
17,35,500,549,290,289,289,289,0,0,0,0
0,36,0,311,235,194,194,194,0,0,0,0
0,36,500,328,253,225,224,223,0,0,0,0
18,36,0,569,261,260,260,259,0,0,0,0
18,36,500,550,290,289,289,288,0,0,0,0
0,37,0,333,222,195,196,194,0,0,0,0
0,37,500,327,253,223,222,223,0,0,0,0
18,37,0,547,261,259,259,259,0,0,0,0
18,37,500,548,290,292,289,288,0,0,0,0
0,38,0,331,223,193,193,193,0,0,0,0
0,38,500,327,252,224,224,223,0,0,0,0
19,38,0,550,265,259,257,258,0,0,0,0
19,38,500,549,289,289,289,287,0,0,0,0
0,39,0,330,223,193,193,194,0,0,0,0
0,39,500,334,254,224,225,224,0,0,0,0
19,39,0,543,261,259,259,259,0,0,0,0
19,39,500,525,290,287,289,293,0,0,0,0
0,40,0,332,222,193,193,192,0,0,0,0
0,40,500,350,252,224,225,224,0,0,0,0
20,40,0,550,260,260,263,258,0,0,0,0
20,40,500,547,290,288,288,288,0,0,0,0
0,41,0,363,208,194,193,192,0,0,0,0
0,41,500,326,252,223,226,222,0,0,0,0
20,41,0,564,261,260,259,258,0,0,0,0
20,41,500,546,290,288,288,288,0,0,0,0
0,42,0,333,223,193,194,193,0,0,0,0
0,42,500,327,252,224,223,223,0,0,0,0
21,42,0,551,261,260,259,259,0,0,0,0
21,42,500,553,291,289,289,288,0,0,0,0
0,43,0,335,223,194,193,193,0,0,0,0
0,43,500,329,254,225,224,223,0,0,0,0
21,43,0,557,261,259,258,259,0,0,0,0
21,43,500,545,289,288,288,288,0,0,0,0
0,44,0,311,226,193,196,194,0,0,0,0
0,44,500,327,252,224,224,222,0,0,0,0
22,44,0,566,262,259,258,258,0,0,0,0
22,44,500,549,294,289,289,287,0,0,0,0
0,45,0,363,208,193,193,193,0,0,0,0
0,45,500,327,255,224,224,223,0,0,0,0
22,45,0,557,263,260,259,259,0,0,0,0
22,45,500,567,290,288,289,288,0,0,0,0
0,46,0,332,224,195,193,194,0,0,0,0
0,46,500,334,252,223,223,222,0,0,0,0
23,46,0,547,260,260,259,259,0,0,0,0
23,46,500,564,289,289,294,289,0,0,0,0
0,47,0,329,222,193,193,193,0,0,0,0
0,47,500,359,238,223,223,224,0,0,0,0
23,47,0,563,262,260,263,259,0,0,0,0
23,47,500,549,289,288,288,287,0,0,0,0
0,48,0,334,223,194,195,194,0,0,0,0
0,48,500,330,256,229,225,224,0,0,0,0
24,48,0,549,262,260,258,257,0,0,0,0
24,48,500,566,290,288,289,289,0,0,0,0
0,49,0,328,225,194,193,193,0,0,0,0
0,49,500,360,239,224,222,222,0,0,0,0
24,49,0,565,266,263,260,259,0,0,0,0
24,49,500,551,290,289,289,288,0,0,0,0
0,50,0,332,223,193,193,193,0,0,0,0
0,50,500,327,251,223,223,226,0,0,0,0
25,50,0,547,260,260,259,258,0,0,0,0
25,50,500,545,290,288,289,289,0,0,0,0
0,51,0,331,221,197,193,193,0,0,0,0
0,51,500,321,255,223,223,222,0,0,0,0
25,51,0,527,260,259,258,258,0,0,0,0
25,51,500,564,293,291,288,288,0,0,0,0
0,52,0,343,220,193,193,192,0,0,0,0
0,52,500,360,238,224,223,222,0,0,0,0
26,52,0,545,260,258,262,260,0,0,0,0
26,52,500,565,291,289,289,289,0,0,0,0
0,53,0,332,221,193,192,193,0,0,0,0
0,53,500,332,252,225,223,224,0,0,0,0
26,53,0,538,261,259,259,259,0,0,0,0
26,53,500,564,289,288,293,288,0,0,0,0
0,54,0,354,220,193,192,193,0,0,0,0
0,54,500,359,238,224,224,223,0,0,0,0
27,54,0,553,261,262,259,258,0,0,0,0
27,54,500,566,289,289,289,288,0,0,0,0
0,55,0,362,207,193,192,193,0,0,0,0
0,55,500,308,258,225,226,224,0,0,0,0
27,55,0,564,261,259,259,261,0,0,0,0
27,55,500,563,291,296,289,293,0,0,0,0
0,56,0,366,208,195,194,194,0,0,0,0
0,56,500,341,251,225,223,223,0,0,0,0
28,56,0,563,261,259,259,263,0,0,0,0
28,56,500,563,292,292,290,290,0,0,0,0
0,57,0,364,207,192,192,192,0,0,0,0
0,57,500,337,248,223,227,223,0,0,0,0
28,57,0,563,263,259,259,259,0,0,0,0
28,57,500,555,289,288,287,292,0,0,0,0
0,58,0,334,226,194,193,192,0,0,0,0
0,58,500,337,249,223,223,224,0,0,0,0
29,58,0,564,262,260,258,258,0,0,0,0
29,58,500,568,291,289,289,288,0,0,0,0
0,59,0,364,207,193,193,192,0,0,0,0
0,59,500,359,238,224,223,223,0,0,0,0
29,59,0,553,260,258,259,258,0,0,0,0
29,59,500,565,290,289,289,288,0,0,0,0
0,60,0,364,208,194,196,193,0,0,0,0
0,60,500,360,237,224,223,222,0,0,0,0
30,60,0,563,262,259,259,259,0,0,0,0
30,60,500,563,293,292,290,289,0,0,0,0
0,61,0,340,219,194,193,192,0,0,0,0
0,61,500,360,237,223,224,223,0,0,0,0
30,61,0,544,263,261,259,259,0,0,0,0
30,61,500,565,291,291,290,289,0,0,0,0
0,62,0,327,221,193,192,192,0,0,0,0
0,62,500,363,238,224,223,223,0,0,0,0
31,62,0,552,260,259,259,258,0,0,0,0
31,62,500,562,290,289,295,290,0,0,0,0
0,63,0,330,222,194,192,193,0,0,0,0
0,63,500,329,253,225,223,222,0,0,0,0
31,63,0,561,266,261,268,260,0,0,0,0
31,63,500,565,291,293,289,289,0,0,0,0
0,64,0,361,207,193,193,194,0,0,0,0
0,64,500,306,253,228,226,224,0,0,0,0
32,64,0,549,261,262,261,260,0,0,0,0
32,64,500,562,290,290,290,289,0,0,0,0
0,65,0,333,211,193,193,192,0,0,0,0
0,65,500,329,252,223,222,222,0,0,0,0
32,65,0,548,260,261,258,258,0,0,0,0
32,65,500,568,291,289,288,288,0,0,0,0
0,66,0,334,224,193,193,192,0,0,0,0
0,66,500,360,239,223,222,228,0,0,0,0
33,66,0,549,260,259,258,260,0,0,0,0
33,66,500,563,290,290,290,289,0,0,0,0
0,67,0,362,207,197,193,192,0,0,0,0
0,67,500,321,253,223,223,223,0,0,0,0
33,67,0,543,261,259,258,259,0,0,0,0
33,67,500,544,325,291,290,289,0,0,0,0
0,68,0,346,207,192,193,193,0,0,0,0
0,68,500,341,237,222,222,222,0,0,0,0
34,68,0,546,261,261,258,259,0,0,0,0
34,68,500,545,290,288,287,288,0,0,0,0
0,69,0,342,207,194,194,193,0,0,0,0
0,69,500,350,239,225,223,224,0,0,0,0
34,69,0,544,261,259,258,258,0,0,0,0
34,69,500,529,289,289,292,289,0,0,0,0
0,70,0,345,207,194,193,193,0,0,0,0
0,70,500,345,240,224,223,224,0,0,0,0
35,70,0,544,259,259,261,259,0,0,0,0
35,70,500,546,289,289,288,287,0,0,0,0
0,71,0,341,208,193,192,192,0,0,0,0
0,71,500,341,237,227,223,223,0,0,0,0
35,71,0,543,259,258,259,258,0,0,0,0
35,71,500,545,289,289,288,288,0,0,0,0
0,72,0,327,221,194,192,191,0,0,0,0
0,72,500,330,248,223,223,222,0,0,0,0
36,72,0,532,260,258,258,257,0,0,0,0
36,72,500,533,293,291,289,291,0,0,0,0
0,73,0,334,220,193,192,192,0,0,0,0
0,73,500,313,250,222,223,224,0,0,0,0
36,73,0,563,260,260,258,258,0,0,0,0
36,73,500,545,289,290,289,289,0,0,0,0
0,74,0,346,208,197,193,193,0,0,0,0
0,74,500,342,237,223,222,221,0,0,0,0
37,74,0,545,261,258,257,258,0,0,0,0
37,74,500,543,293,289,288,288,0,0,0,0
0,75,0,345,208,194,192,192,0,0,0,0
0,75,500,341,237,224,221,223,0,0,0,0
37,75,0,544,263,259,258,258,0,0,0,0
37,75,500,546,291,289,292,290,0,0,0,0
0,76,0,342,207,195,194,194,0,0,0,0
0,76,500,316,240,223,223,223,0,0,0,0
38,76,0,547,260,259,259,259,0,0,0,0
38,76,500,552,291,290,294,290,0,0,0,0
0,77,0,344,208,193,193,194,0,0,0,0
0,77,500,343,243,225,223,222,0,0,0,0
38,77,0,545,261,259,263,259,0,0,0,0
38,77,500,547,290,288,288,289,0,0,0,0
0,78,0,343,208,193,193,192,0,0,0,0
0,78,500,340,236,229,224,224,0,0,0,0
39,78,0,547,262,259,258,257,0,0,0,0
39,78,500,544,295,289,287,288,0,0,0,0
0,79,0,375,196,193,193,192,0,0,0,0
0,79,500,322,260,224,223,223,0,0,0,0
39,79,0,547,261,259,259,259,0,0,0,0
39,79,500,531,290,294,290,289,0,0,0,0
0,80,0,332,221,192,192,193,0,0,0,0
0,80,500,308,255,223,223,222,0,0,0,0
40,80,0,549,260,260,259,259,0,0,0,0
40,80,500,566,290,289,289,288,0,0,0,0
0,81,0,368,206,193,196,193,0,0,0,0
0,81,500,351,248,223,222,222,0,0,0,0
40,81,0,564,260,260,259,258,0,0,0,0
40,81,500,546,315,303,289,289,0,0,0,0
0,82,0,362,207,193,195,193,0,0,0,0
0,82,500,352,247,223,224,223,0,0,0,0
41,82,0,567,262,259,260,259,0,0,0,0
41,82,500,565,290,288,289,288,0,0,0,0
0,83,0,363,207,194,193,193,0,0,0,0
0,83,500,367,237,224,223,223,0,0,0,0
41,83,0,565,260,266,261,259,0,0,0,0
41,83,500,566,291,290,293,290,0,0,0,0
0,84,0,380,195,194,194,194,0,0,0,0
0,84,500,363,238,224,224,223,0,0,0,0
42,84,0,565,260,262,259,258,0,0,0,0
42,84,500,549,289,289,289,288,0,0,0,0
0,85,0,353,219,193,192,193,0,0,0,0
0,85,500,364,241,225,223,224,0,0,0,0
42,85,0,566,261,259,259,259,0,0,0,0
42,85,500,566,291,289,289,294,0,0,0,0
0,86,0,367,208,193,193,193,0,0,0,0
0,86,500,368,237,223,225,223,0,0,0,0
43,86,0,564,262,259,257,264,0,0,0,0
43,86,500,551,290,290,292,288,0,0,0,0
0,87,0,361,208,193,193,193,0,0,0,0
0,87,500,351,248,224,228,224,0,0,0,0
43,87,0,567,261,260,258,259,0,0,0,0
43,87,500,564,290,288,288,289,0,0,0,0
0,88,0,394,212,194,194,193,0,0,0,0
0,88,500,363,237,225,224,223,0,0,0,0
44,88,0,567,260,260,259,258,0,0,0,0
44,88,500,550,292,289,289,288,0,0,0,0
0,89,0,352,220,193,192,192,0,0,0,0
0,89,500,362,237,225,223,223,0,0,0,0
44,89,0,570,260,258,259,259,0,0,0,0
44,89,500,565,289,290,289,287,0,0,0,0
0,90,0,354,219,198,193,193,0,0,0,0
0,90,500,322,263,223,222,222,0,0,0,0
45,90,0,565,261,259,258,259,0,0,0,0
45,90,500,565,294,289,289,289,0,0,0,0
0,91,0,364,207,194,192,192,0,0,0,0
0,91,500,351,248,223,223,224,0,0,0,0
45,91,0,646,267,260,260,259,0,0,0,0
45,91,500,551,295,290,289,289,0,0,0,0
0,92,0,365,207,194,194,198,0,0,0,0
0,92,500,354,248,225,223,223,0,0,0,0
