patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,7,15,4,4,3,0,0,0,0
0,500,4,4,15,4,3,0,0,0,0
1,0,133,140,113,81,57,0,0,0,0
1,500,92,169,135,85,84,0,0,0,0
2,0,104,92,97,81,57,0,0,0,0
2,500,101,133,135,84,83,0,0,0,0
3,0,104,101,97,80,57,0,0,0,0
3,500,101,131,134,83,84,0,0,0,0
4,0,90,101,98,85,57,0,0,0,0
4,500,101,132,134,83,84,0,0,0,0
5,0,103,107,98,68,57,0,0,0,0
5,500,100,164,110,83,84,0,0,0,0
6,0,121,97,94,57,57,0,0,0,0
6,500,120,145,96,83,83,0,0,0,0
7,0,109,106,94,57,56,0,0,0,0
7,500,108,155,97,83,83,0,0,0,0
8,0,111,106,96,56,57,0,0,0,0
8,500,99,138,121,84,83,0,0,0,0
9,0,101,111,99,69,56,0,0,0,0
9,500,102,120,126,83,83,0,0,0,0
10,0,102,98,75,82,56,0,0,0,0
10,500,131,146,96,83,83,0,0,0,0
11,0,123,96,93,56,56,0,0,0,0
11,500,128,144,96,83,83,0,0,0,0
12,0,119,86,94,57,57,0,0,0,0
12,500,110,127,107,83,84,0,0,0,0
13,0,122,117,83,61,58,0,0,0,0
13,500,99,158,110,84,84,0,0,0,0
14,0,132,87,93,57,56,0,0,0,0
14,500,129,128,109,83,83,0,0,0,0
15,0,101,110,83,68,56,0,0,0,0
15,500,100,147,109,83,82,0,0,0,0
16,0,101,117,84,67,56,0,0,0,0
16,500,118,155,96,84,83,0,0,0,0
17,0,133,106,82,56,57,0,0,0,0
17,500,114,137,107,83,83,0,0,0,0
18,0,132,107,82,57,56,0,0,0,0
18,500,119,158,97,84,83,0,0,0,0
19,0,135,87,94,57,57,0,0,0,0
19,500,99,157,109,82,83,0,0,0,0
20,0,135,86,95,57,56,0,0,0,0
20,500,100,137,121,84,83,0,0,0,0
21,0,100,118,84,69,57,0,0,0,0
21,500,133,137,95,83,83,0,0,0,0
22,0,131,106,83,57,57,0,0,0,0
22,500,110,147,110,83,83,0,0,0,0
23,0,133,107,82,57,56,0,0,0,0
23,500,118,158,97,83,83,0,0,0,0
24,0,122,117,82,56,58,0,0,0,0
24,500,122,135,108,84,83,0,0,0,0
25,0,100,119,74,69,56,0,0,0,0
25,500,99,149,110,83,83,0,0,0,0
26,0,101,116,83,69,56,0,0,0,0
26,500,119,154,95,83,83,0,0,0,0
27,0,131,106,82,56,56,0,0,0,0
27,500,118,146,96,84,84,0,0,0,0
28,0,122,118,82,56,56,0,0,0,0
28,500,119,155,97,82,81,0,0,0,0
29,0,121,95,93,57,56,0,0,0,0
29,500,99,138,125,83,83,0,0,0,0
30,0,101,120,84,69,57,0,0,0,0
30,500,98,145,108,83,84,0,0,0,0
31,0,132,106,82,56,56,0,0,0,0
31,500,120,157,96,82,82,0,0,0,0
32,0,120,115,82,56,57,0,0,0,0
32,500,119,157,97,83,82,0,0,0,0
33,0,131,105,82,56,57,0,0,0,0
33,500,118,157,98,83,82,0,0,0,0
34,0,119,107,92,56,56,0,0,0,0
34,500,109,137,109,83,83,0,0,0,0
35,0,119,116,82,56,56,0,0,0,0
35,500,117,156,100,82,83,0,0,0,0
36,0,132,105,82,57,56,0,0,0,0
36,500,119,157,96,83,83,0,0,0,0
37,0,130,96,92,57,56,0,0,0,0
37,500,118,154,96,86,83,0,0,0,0
38,0,120,115,82,57,56,0,0,0,0
38,500,118,144,97,82,82,0,0,0,0
39,0,118,116,82,57,56,0,0,0,0
39,500,110,136,110,83,83,0,0,0,0
40,0,120,106,82,57,57,0,0,0,0
40,500,130,144,96,83,83,0,0,0,0
41,0,128,106,82,57,56,0,0,0,0
41,500,118,156,97,83,86,0,0,0,0
42,0,120,115,82,56,56,0,0,0,0
42,500,130,145,95,82,82,0,0,0,0
43,0,118,86,83,67,55,0,0,0,0
43,500,118,156,95,82,82,0,0,0,0
44,0,120,116,82,57,56,0,0,0,0
44,500,110,166,96,82,82,0,0,0,0
45,0,118,106,92,56,56,0,0,0,0
45,500,119,155,96,82,83,0,0,0,0
46,0,112,117,83,68,56,0,0,0,0
46,500,118,155,96,83,83,0,0,0,0
47,0,119,115,82,55,56,0,0,0,0
47,500,118,156,96,82,82,0,0,0,0
48,0,119,105,82,56,57,0,0,0,0
48,500,118,156,95,83,83,0,0,0,0
49,0,132,106,81,56,56,0,0,0,0
49,500,119,125,108,82,82,0,0,0,0
50,0,131,110,83,57,57,0,0,0,0
50,500,120,156,97,83,83,0,0,0,0
51,0,118,105,93,56,57,0,0,0,0
51,500,118,144,96,83,82,0,0,0,0
52,0,121,106,82,56,56,0,0,0,0
52,500,118,143,96,82,82,0,0,0,0
53,0,130,106,81,56,56,0,0,0,0
53,500,110,167,97,83,83,0,0,0,0
54,0,128,110,83,57,57,0,0,0,0
54,500,110,166,95,83,83,0,0,0,0
55,0,119,116,82,56,56,0,0,0,0
55,500,119,155,96,83,82,0,0,0,0
56,0,121,97,92,55,56,0,0,0,0
56,500,119,156,96,83,83,0,0,0,0
57,0,129,106,82,56,56,0,0,0,0
57,500,118,144,95,83,83,0,0,0,0
58,0,130,106,84,57,56,0,0,0,0
58,500,118,156,95,83,82,0,0,0,0
59,0,120,106,82,56,56,0,0,0,0
59,500,120,157,95,83,82,0,0,0,0
60,0,118,87,82,67,56,0,0,0,0
60,500,119,156,96,83,83,0,0,0,0
61,0,130,86,93,56,56,0,0,0,0
61,500,130,144,96,83,83,0,0,0,0
62,0,127,106,82,60,58,0,0,0,0
62,500,118,157,96,83,83,0,0,0,0
63,0,119,105,83,57,57,0,0,0,0
63,500,118,156,95,82,82,0,0,0,0
64,0,118,116,83,56,56,0,0,0,0
64,500,119,126,108,83,82,0,0,0,0
65,0,130,105,82,56,56,0,0,0,0
65,500,118,145,96,82,83,0,0,0,0
66,0,128,106,83,57,56,0,0,0,0
66,500,101,147,108,83,82,0,0,0,0
67,0,120,105,92,57,56,0,0,0,0
67,500,117,155,95,82,83,0,0,0,0
68,0,130,105,81,57,57,0,0,0,0
68,500,118,156,96,82,83,0,0,0,0
69,0,119,107,82,57,56,0,0,0,0
69,500,109,127,107,84,83,0,0,0,0
70,0,121,116,83,56,56,0,0,0,0
70,500,118,161,96,82,82,0,0,0,0
71,0,119,116,84,57,56,0,0,0,0
71,500,99,157,109,83,83,0,0,0,0
72,0,117,115,81,57,56,0,0,0,0
72,500,118,155,95,83,83,0,0,0,0
73,0,118,115,82,56,56,0,0,0,0
73,500,118,156,95,82,82,0,0,0,0
74,0,119,105,91,56,56,0,0,0,0
