patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,19,5,4,4,14,0,0,0,0
0,500,4,4,4,4,4,0,0,0,0
1,0,113,92,95,57,57,0,0,0,0
1,500,120,156,118,82,82,0,0,0,0
2,0,120,96,97,70,56,0,0,0,0
2,500,99,155,124,83,83,0,0,0,0
3,0,100,99,95,81,56,0,0,0,0
3,500,119,137,124,87,84,0,0,0,0
4,0,121,98,115,68,57,0,0,0,0
4,500,113,165,118,82,83,0,0,0,0
5,0,109,97,104,82,56,0,0,0,0
5,500,109,147,145,83,83,0,0,0,0
6,0,112,116,115,57,56,0,0,0,0
6,500,119,146,120,83,83,0,0,0,0
7,0,121,107,90,79,56,0,0,0,0
7,500,110,127,141,83,82,0,0,0,0
8,0,120,87,83,82,56,0,0,0,0
8,500,97,156,124,83,82,0,0,0,0
9,0,115,129,96,67,57,0,0,0,0
9,500,130,135,128,83,83,0,0,0,0
10,0,114,97,103,69,56,0,0,0,0
10,500,116,137,133,84,83,0,0,0,0
11,0,115,117,116,56,56,0,0,0,0
11,500,114,151,122,83,82,0,0,0,0
12,0,110,107,124,56,56,0,0,0,0
12,500,119,175,107,83,83,0,0,0,0
13,0,115,126,106,56,56,0,0,0,0
13,500,91,138,146,83,83,0,0,0,0
14,0,94,109,93,82,57,0,0,0,0
14,500,123,137,129,83,83,0,0,0,0
15,0,132,86,125,57,57,0,0,0,0
15,500,113,177,108,83,83,0,0,0,0
16,0,93,106,84,84,57,0,0,0,0
16,500,111,155,120,82,82,0,0,0,0
17,0,122,97,84,81,57,0,0,0,0
17,500,121,147,120,83,83,0,0,0,0
18,0,120,105,126,57,57,0,0,0,0
18,500,120,147,119,83,83,0,0,0,0
19,0,110,108,117,69,57,0,0,0,0
19,500,116,169,123,83,83,0,0,0,0
20,0,103,99,85,85,56,0,0,0,0
20,500,132,178,106,84,83,0,0,0,0
21,0,131,116,112,57,56,0,0,0,0
21,500,139,175,96,83,83,0,0,0,0
22,0,103,116,85,81,57,0,0,0,0
22,500,131,188,96,83,84,0,0,0,0
23,0,102,117,84,83,56,0,0,0,0
23,500,92,148,133,83,83,0,0,0,0
24,0,119,96,126,57,58,0,0,0,0
24,500,111,170,120,82,82,0,0,0,0
25,0,114,107,94,81,57,0,0,0,0
25,500,123,177,107,83,83,0,0,0,0
26,0,91,107,95,84,56,0,0,0,0
26,500,119,136,142,83,82,0,0,0,0
27,0,113,110,118,57,56,0,0,0,0
27,500,96,155,143,83,83,0,0,0,0
28,0,111,97,114,68,57,0,0,0,0
28,500,119,149,112,83,83,0,0,0,0
29,0,112,106,116,57,57,0,0,0,0
29,500,120,128,143,82,83,0,0,0,0
30,0,123,98,85,81,56,0,0,0,0
30,500,122,146,122,83,82,0,0,0,0
31,0,145,78,126,57,57,0,0,0,0
31,500,129,166,116,82,83,0,0,0,0
32,0,142,116,103,57,56,0,0,0,0
32,500,132,147,120,83,83,0,0,0,0
33,0,101,117,86,80,57,0,0,0,0
33,500,129,137,129,83,82,0,0,0,0
34,0,142,115,102,56,57,0,0,0,0
34,500,140,178,95,83,85,0,0,0,0
35,0,132,78,99,81,57,0,0,0,0
35,500,112,147,133,83,83,0,0,0,0
36,0,112,108,114,69,57,0,0,0,0
36,500,109,136,132,83,83,0,0,0,0
37,0,112,126,103,57,56,0,0,0,0
37,500,110,176,108,83,82,0,0,0,0
38,0,113,116,115,57,56,0,0,0,0
38,500,109,136,135,86,83,0,0,0,0
39,0,112,116,115,57,57,0,0,0,0
39,500,114,146,124,83,83,0,0,0,0
40,0,118,105,124,56,56,0,0,0,0
40,500,107,157,121,83,83,0,0,0,0
41,0,100,116,85,84,56,0,0,0,0
41,500,115,146,130,83,83,0,0,0,0
42,0,102,117,94,82,56,0,0,0,0
42,500,110,136,135,84,83,0,0,0,0
43,0,112,98,124,56,57,0,0,0,0
43,500,118,175,107,82,82,0,0,0,0
44,0,116,119,106,70,57,0,0,0,0
44,500,119,128,133,82,82,0,0,0,0
45,0,111,116,116,56,56,0,0,0,0
45,500,108,136,132,84,83,0,0,0,0
46,0,110,116,114,57,56,0,0,0,0
46,500,119,179,107,83,83,0,0,0,0
47,0,113,97,114,70,56,0,0,0,0
47,500,89,159,146,83,82,0,0,0,0
48,0,100,109,104,80,56,0,0,0,0
48,500,99,128,136,95,83,0,0,0,0
49,0,98,109,96,84,55,0,0,0,0
49,500,98,159,116,83,83,0,0,0,0
50,0,99,87,106,94,56,0,0,0,0
50,500,99,134,130,84,83,0,0,0,0
51,0,100,87,105,94,57,0,0,0,0
51,500,98,146,135,84,83,0,0,0,0
52,0,101,97,95,91,56,0,0,0,0
52,500,100,147,134,84,84,0,0,0,0
53,0,122,97,128,56,57,0,0,0,0
53,500,100,148,134,85,84,0,0,0,0
