patch,offset,count-ms,lookup-mus-1,lookup-mus-50,lookup-mus-100,lookup-mus-inf,results1,results50,results100,resultsinf
0,0,17,5,4,3,3,0,0,0,0
0,500,15,4,4,4,4,0,0,0,0
1,0,343,116,95,92,92,0,0,0,0
1,500,188,153,109,107,126,0,0,0,0
2,0,197,154,94,93,93,0,0,0,0
2,500,175,170,107,107,107,0,0,0,0
3,0,177,164,91,91,92,0,0,0,0
3,500,185,151,107,106,106,0,0,0,0
4,0,185,145,104,91,91,0,0,0,0
4,500,184,173,107,106,107,0,0,0,0
5,0,161,158,105,91,91,0,0,0,0
5,500,164,172,106,106,106,0,0,0,0
6,0,184,144,92,91,91,0,0,0,0
6,500,184,167,107,106,106,0,0,0,0
7,0,187,155,92,92,93,0,0,0,0
7,500,186,150,106,106,106,0,0,0,0
8,0,189,153,92,91,92,0,0,0,0
8,500,173,167,107,106,106,0,0,0,0
9,0,184,153,92,92,92,0,0,0,0
9,500,174,179,106,107,106,0,0,0,0
10,0,184,135,92,91,92,0,0,0,0
10,500,183,167,106,105,106,0,0,0,0
11,0,175,148,93,91,91,0,0,0,0
11,500,186,168,107,106,106,0,0,0,0
12,0,181,165,92,91,91,0,0,0,0
12,500,185,168,106,105,105,0,0,0,0
13,0,173,164,92,91,92,0,0,0,0
13,500,185,167,106,106,106,0,0,0,0
14,0,186,134,96,93,92,0,0,0,0
14,500,186,167,105,105,106,0,0,0,0
15,0,185,135,92,91,91,0,0,0,0
15,500,183,167,106,105,105,0,0,0,0
16,0,175,155,91,91,90,0,0,0,0
16,500,185,168,109,106,105,0,0,0,0
17,0,185,136,93,93,97,0,0,0,0
17,500,187,167,107,106,105,0,0,0,0
18,0,184,135,92,92,91,0,0,0,0
18,500,184,166,106,105,106,0,0,0,0
19,0,183,147,104,92,91,0,0,0,0
19,500,184,167,106,106,105,0,0,0,0
20,0,185,153,92,91,92,0,0,0,0
20,500,168,172,106,106,106,0,0,0,0
21,0,173,163,92,92,91,0,0,0,0
21,500,184,149,106,105,106,0,0,0,0
22,0,184,135,92,92,91,0,0,0,0
22,500,173,159,106,106,106,0,0,0,0
23,0,173,145,92,91,92,0,0,0,0
23,500,183,152,107,106,105,0,0,0,0
24,0,182,134,115,92,92,0,0,0,0
24,500,182,159,119,106,106,0,0,0,0
25,0,186,146,104,93,91,0,0,0,0
25,500,183,171,106,105,105,0,0,0,0
26,0,182,134,115,92,92,0,0,0,0
26,500,182,174,108,106,106,0,0,0,0
27,0,173,122,119,91,91,0,0,0,0
27,500,182,159,120,106,106,0,0,0,0
28,0,145,146,123,92,92,0,0,0,0
28,500,175,151,132,106,106,0,0,0,0
29,0,163,144,119,92,91,0,0,0,0
29,500,174,150,136,107,106,0,0,0,0
30,0,165,145,119,91,91,0,0,0,0
30,500,173,136,132,105,105,0,0,0,0
31,0,183,135,118,91,91,0,0,0,0
31,500,173,151,132,105,105,0,0,0,0
32,0,186,113,118,91,91,0,0,0,0
32,500,182,127,130,105,109,0,0,0,0
33,0,173,121,119,91,92,0,0,0,0
33,500,183,158,118,106,105,0,0,0,0
34,0,175,135,120,91,92,0,0,0,0
34,500,173,150,132,105,105,0,0,0,0
35,0,172,120,118,90,90,0,0,0,0
35,500,180,127,120,104,105,0,0,0,0
36,0,156,144,119,90,90,0,0,0,0
36,500,182,149,130,105,105,0,0,0,0
37,0,173,133,120,90,90,0,0,0,0
37,500,172,150,131,105,105,0,0,0,0
38,0,173,121,118,90,90,0,0,0,0
38,500,182,127,130,106,106,0,0,0,0
39,0,172,137,120,91,90,0,0,0,0
39,500,162,159,132,105,105,0,0,0,0
40,0,172,121,119,91,90,0,0,0,0
40,500,182,159,119,106,105,0,0,0,0
41,0,172,133,120,91,91,0,0,0,0
41,500,174,138,132,105,104,0,0,0,0
42,0,185,143,108,91,91,0,0,0,0
42,500,163,162,132,105,105,0,0,0,0
43,0,173,134,119,90,90,0,0,0,0
43,500,173,149,133,105,105,0,0,0,0
44,0,173,135,120,91,90,0,0,0,0
44,500,173,148,132,105,105,0,0,0,0
45,0,162,132,139,95,91,0,0,0,0
45,500,172,138,132,106,105,0,0,0,0
46,0,183,142,105,91,90,0,0,0,0
46,500,173,150,131,105,104,0,0,0,0
47,0,172,133,119,91,90,0,0,0,0
47,500,162,150,131,104,104,0,0,0,0
48,0,173,133,119,90,91,0,0,0,0
48,500,167,161,133,105,106,0,0,0,0
49,0,173,133,119,90,90,0,0,0,0
49,500,172,149,132,105,105,0,0,0,0
50,0,175,133,118,90,90,0,0,0,0
50,500,172,149,132,105,105,0,0,0,0
51,0,163,131,130,90,91,0,0,0,0
51,500,185,128,131,105,105,0,0,0,0
52,0,182,143,105,91,90,0,0,0,0
52,500,172,149,132,105,105,0,0,0,0
53,0,166,132,119,91,91,0,0,0,0
53,500,183,137,119,105,105,0,0,0,0
54,0,163,156,119,90,90,0,0,0,0
54,500,182,144,129,104,104,0,0,0,0
55,0,173,121,120,90,91,0,0,0,0
55,500,164,151,133,105,105,0,0,0,0
56,0,164,154,121,91,91,0,0,0,0
56,500,142,151,148,105,105,0,0,0,0
57,0,174,143,119,90,90,0,0,0,0
57,500,164,149,133,108,105,0,0,0,0
58,0,166,134,121,90,90,0,0,0,0
58,500,165,170,133,104,104,0,0,0,0
59,0,164,143,131,90,90,0,0,0,0
59,500,164,170,132,105,104,0,0,0,0
60,0,164,152,120,91,90,0,0,0,0
60,500,164,170,132,108,105,0,0,0,0
61,0,163,144,121,91,91,0,0,0,0
61,500,164,170,133,104,104,0,0,0,0
62,0,144,123,132,90,90,0,0,0,0
62,500,165,170,133,106,105,0,0,0,0
63,0,177,142,120,90,90,0,0,0,0
63,500,165,174,133,105,109,0,0,0,0
64,0,143,132,142,90,90,0,0,0,0
64,500,164,170,132,106,105,0,0,0,0
65,0,165,144,119,90,91,0,0,0,0
65,500,164,170,131,105,105,0,0,0,0
66,0,178,144,120,91,91,0,0,0,0
66,500,164,168,131,104,104,0,0,0,0
67,0,157,148,149,92,90,0,0,0,0
67,500,172,137,131,104,104,0,0,0,0
68,0,184,143,106,90,90,0,0,0,0
68,500,173,160,129,105,104,0,0,0,0
69,0,174,133,119,91,90,0,0,0,0
69,500,172,149,132,106,105,0,0,0,0
70,0,166,141,128,91,90,0,0,0,0
70,500,182,158,118,106,105,0,0,0,0
71,0,183,112,118,90,90,0,0,0,0
71,500,182,149,129,104,104,0,0,0,0
72,0,173,133,119,90,91,0,0,0,0
72,500,172,149,135,105,105,0,0,0,0
73,0,171,137,120,90,91,0,0,0,0
73,500,173,136,130,105,104,0,0,0,0
74,0,184,142,105,90,90,0,0,0,0
74,500,162,158,131,104,105,0,0,0,0
75,0,140,121,145,90,90,0,0,0,0
75,500,173,138,131,104,104,0,0,0,0
76,0,184,112,117,94,92,0,0,0,0
76,500,164,169,130,105,105,0,0,0,0
77,0,181,132,117,91,90,0,0,0,0
77,500,163,179,134,105,105,0,0,0,0
78,0,143,124,130,91,91,0,0,0,0
78,500,142,151,132,105,105,0,0,0,0
79,0,164,134,117,92,91,0,0,0,0
79,500,189,174,106,105,106,0,0,0,0
80,0,173,132,106,91,92,0,0,0,0
80,500,163,196,106,104,105,0,0,0,0
81,0,162,142,106,91,90,0,0,0,0
81,500,162,196,106,105,105,0,0,0,0
82,0,165,142,105,91,90,0,0,0,0
82,500,179,207,106,106,106,0,0,0,0
83,0,165,142,106,91,91,0,0,0,0
83,500,163,196,106,106,105,0,0,0,0
84,0,165,133,107,91,90,0,0,0,0
84,500,163,195,105,105,105,0,0,0,0
85,0,173,133,105,91,91,0,0,0,0
85,500,162,210,118,105,104,0,0,0,0
86,0,162,142,106,90,90,0,0,0,0
86,500,141,149,132,104,105,0,0,0,0
87,0,165,167,103,91,91,0,0,0,0
87,500,163,158,118,105,105,0,0,0,0
88,0,163,157,114,90,90,0,0,0,0
88,500,172,149,135,124,105,0,0,0,0
89,0,162,122,118,91,91,0,0,0,0
89,500,161,197,106,106,105,0,0,0,0
90,0,171,133,106,91,90,0,0,0,0
