version,added,durationmin,rate,accsizegb,cumulsize
0,30035245,7.731466667,64,0.693596743,30035245
1,16259671,30.851366667,8,1.217272368,46294916
2,14904445,131.35895,1,1.816053402,61199361
3,14685341,181.082116667,1,2.418699122,75884702
4,17090306,234.276683333,1,2.899759674,92975008
5,13221294,282.752633333,0,3.515640966,106196302
6,14825275,313.269983333,0,4.143443246,121021577
7,15889687,363.354666667,0,4.710294729,136911264
8,15147259,434.623866667,0,5.339141585,152058523
9,13489672,483.882533333,0,5.864939979,165548195
